date,open,high,low,close,volume,barCount,average
2024-04-16 00:00:00+00:00,4.401,4.401,4.3965,4.3995,15,13,4.39915
2024-04-16 00:15:00+00:00,4.399,4.3995,4.3985,4.399,8,6,4.39925
2024-04-16 00:30:00+00:00,4.399,4.3995,4.398,4.398,8,6,4.39845
2024-04-16 00:45:00+00:00,4.3975,4.3975,4.3935,4.3935,28,23,4.39565
2024-04-16 01:00:00+00:00,4.3935,4.3945,4.3915,4.3945,37,16,4.39275
2024-04-16 01:15:00+00:00,4.394,4.394,4.391,4.391,6,4,4.3929
2024-04-16 01:30:00+00:00,4.3915,4.3915,4.388,4.39,12,8,4.3901
2024-04-16 01:45:00+00:00,4.3895,4.3905,4.3895,4.39,5,5,4.39
2024-04-16 02:00:00+00:00,4.3895,4.392,4.3875,4.39,40,30,4.3901
2024-04-16 02:15:00+00:00,4.3895,4.3925,4.387,4.3925,51,44,4.38925
2024-04-16 02:30:00+00:00,4.3935,4.399,4.3925,4.398,71,47,4.39705
2024-04-16 02:45:00+00:00,4.396,4.396,4.3845,4.3895,93,60,4.38995
2024-04-16 03:00:00+00:00,4.3895,4.3955,4.381,4.389,569,353,4.3887
2024-04-16 03:15:00+00:00,4.388,4.388,4.3715,4.376,278,171,4.3764
2024-04-16 03:30:00+00:00,4.3765,4.3865,4.3735,4.3825,268,173,4.3806
2024-04-16 03:45:00+00:00,4.38,4.384,4.3685,4.378,276,175,4.37465
2024-04-16 04:00:00+00:00,4.38,4.3885,4.3695,4.371,293,225,4.3787
2024-04-16 04:15:00+00:00,4.3735,4.3745,4.3705,4.3705,51,32,4.3727
2024-04-16 04:30:00+00:00,4.3705,4.3705,4.363,4.365,200,128,4.3666
2024-04-16 04:45:00+00:00,4.365,4.3695,4.36,4.3665,569,289,4.36585
2024-04-16 05:00:00+00:00,4.366,4.369,4.364,4.366,218,131,4.36665
2024-04-16 05:15:00+00:00,4.3655,4.377,4.3625,4.3745,445,233,4.36975
2024-04-16 05:30:00+00:00,4.374,4.374,4.3705,4.3735,17,14,4.37195
2024-04-16 05:45:00+00:00,4.3735,4.3755,4.373,4.3755,24,20,4.37455
2024-04-16 06:00:00+00:00,4.375,4.375,4.3705,4.3715,51,25,4.3725
2024-04-16 06:15:00+00:00,4.3735,4.3735,4.3735,4.3735,3,2,4.3735
2024-04-16 06:30:00+00:00,4.3735,4.3735,4.3685,4.3695,83,57,4.3699
2024-04-16 06:45:00+00:00,4.3695,4.372,4.3695,4.372,33,21,4.37065
2024-04-16 07:00:00+00:00,4.372,4.3845,4.372,4.382,110,69,4.3803
2024-04-16 07:15:00+00:00,4.3815,4.388,4.3805,4.383,93,55,4.3847
2024-04-16 07:30:00+00:00,4.3845,4.3895,4.3755,4.378,314,221,4.38255
2024-04-16 07:45:00+00:00,4.3785,4.379,4.3735,4.374,130,81,4.37565
2024-04-16 08:00:00+00:00,4.3745,4.377,4.367,4.367,138,95,4.3732
2024-04-16 08:15:00+00:00,4.3675,4.369,4.355,4.3555,392,231,4.36365
2024-04-16 08:30:00+00:00,4.355,4.356,4.341,4.343,1066,489,4.3474
2024-04-16 08:45:00+00:00,4.344,4.355,4.34,4.3495,658,343,4.34775
2024-04-16 09:00:00+00:00,4.349,4.363,4.3485,4.3615,198,132,4.35655
2024-04-16 09:15:00+00:00,4.361,4.367,4.359,4.365,306,167,4.3639
2024-04-16 09:30:00+00:00,4.366,4.367,4.3555,4.365,281,164,4.36095
2024-04-16 09:45:00+00:00,4.363,4.3655,4.3475,4.356,322,226,4.35605
2024-04-16 10:00:00+00:00,4.3575,4.361,4.344,4.351,266,187,4.35065
2024-04-16 10:15:00+00:00,4.349,4.3575,4.3485,4.3545,238,107,4.3529
2024-04-16 10:30:00+00:00,4.355,4.363,4.3525,4.353,76,61,4.3572
2024-04-16 10:45:00+00:00,4.352,4.352,4.339,4.342,285,191,4.34305
2024-04-16 11:00:00+00:00,4.3435,4.3475,4.3385,4.3465,195,138,4.3434
2024-04-16 11:15:00+00:00,4.3465,4.349,4.3265,4.33,318,212,4.3336
2024-04-16 11:30:00+00:00,4.3295,4.3335,4.321,4.332,417,226,4.32805
2024-04-16 11:45:00+00:00,4.3315,4.34,4.331,4.339,169,112,4.33415
2024-04-16 12:00:00+00:00,4.3395,4.3405,4.336,4.34,142,124,4.3384
2024-04-16 12:15:00+00:00,4.339,4.341,4.331,4.3325,457,192,4.336
2024-04-16 12:30:00+00:00,4.332,4.3385,4.3305,4.3375,140,97,4.3361
2024-04-16 12:45:00+00:00,4.3375,4.34,4.3335,4.3375,82,49,4.33755
2024-04-16 13:00:00+00:00,4.3375,4.345,4.3365,4.3425,221,166,4.3411
2024-04-16 13:15:00+00:00,4.342,4.345,4.339,4.34,242,128,4.3424
2024-04-16 13:30:00+00:00,4.34,4.3455,4.338,4.3415,231,154,4.3415
2024-04-16 13:45:00+00:00,4.341,4.3485,4.341,4.3415,249,157,4.3452
2024-04-16 14:00:00+00:00,4.341,4.3435,4.3235,4.332,1151,662,4.33005
2024-04-16 14:15:00+00:00,4.3325,4.3335,4.324,4.3265,458,290,4.32905
2024-04-16 14:30:00+00:00,4.327,4.334,4.327,4.3325,403,210,4.3307
2024-04-16 14:45:00+00:00,4.3335,4.3335,4.32,4.325,799,371,4.32645
2024-04-16 15:00:00+00:00,4.3245,4.327,4.3125,4.3225,1813,1045,4.3188
2024-04-16 15:15:00+00:00,4.323,4.332,4.322,4.332,815,476,4.32805
2024-04-16 15:30:00+00:00,4.3315,4.3325,4.3195,4.3305,780,562,4.32815
2024-04-16 15:45:00+00:00,4.33,4.335,4.324,4.3285,896,576,4.33
2024-04-16 16:00:00+00:00,4.3275,4.331,4.3155,4.3215,1091,593,4.3224
2024-04-16 16:15:00+00:00,4.3215,4.323,4.3055,4.312,895,570,4.31385
2024-04-16 16:30:00+00:00,4.3125,4.3265,4.312,4.3245,605,377,4.31715
2024-04-16 16:45:00+00:00,4.3255,4.33,4.321,4.326,649,364,4.32575
2024-04-16 17:00:00+00:00,4.326,4.3315,4.322,4.3225,866,480,4.32785
2024-04-16 17:15:00+00:00,4.3235,4.3325,4.323,4.332,483,345,4.3284
2024-04-16 17:30:00+00:00,4.3315,4.3355,4.329,4.3315,507,338,4.33225
2024-04-16 17:45:00+00:00,4.331,4.335,4.328,4.329,289,187,4.33105
2024-04-16 18:00:00+00:00,4.329,4.331,4.324,4.3255,295,174,4.32745
2024-04-16 18:15:00+00:00,4.325,4.328,4.324,4.324,194,134,4.32615
2024-04-16 18:30:00+00:00,4.3245,4.329,4.3235,4.3275,268,183,4.326
2024-04-16 18:45:00+00:00,4.327,4.3345,4.324,4.3315,820,504,4.3296
2024-04-16 19:00:00+00:00,4.332,4.337,4.3285,4.3355,417,197,4.33195
2024-04-16 19:15:00+00:00,4.336,4.3425,4.335,4.339,157,112,4.33915
2024-04-16 19:30:00+00:00,4.3365,4.338,4.322,4.3345,288,213,4.32905
2024-04-16 19:45:00+00:00,4.3345,4.3365,4.3265,4.334,118,89,4.33245
2024-04-16 20:00:00+00:00,4.3335,4.35,4.3325,4.338,116,78,4.34205
2024-04-16 20:15:00+00:00,4.338,4.338,4.3275,4.329,51,44,4.3325
2024-04-16 20:30:00+00:00,4.329,4.3365,4.329,4.3365,29,23,4.33385
2024-04-16 20:45:00+00:00,4.3345,4.3395,4.334,4.3395,29,13,4.33585
2024-04-16 21:00:00+00:00,4.3385,4.3405,4.3335,4.3335,29,20,4.336
2024-04-16 21:15:00+00:00,4.3315,4.337,4.3315,4.336,33,21,4.3351
2024-04-16 21:30:00+00:00,4.3335,4.3335,4.3275,4.332,20,16,4.3311
2024-04-16 21:45:00+00:00,4.3325,4.3325,4.3285,4.3285,7,6,4.3298
2024-04-16 22:00:00+00:00,4.3285,4.3295,4.327,4.3275,14,8,4.32815
2024-04-16 22:15:00+00:00,4.328,4.328,4.3275,4.3275,8,4,4.32765
2024-04-16 22:30:00+00:00,4.327,4.3275,4.326,4.327,12,10,4.32685
2024-04-16 22:45:00+00:00,4.3275,4.3275,4.324,4.3255,33,22,4.32545
2024-04-17 00:00:00+00:00,4.3225,4.327,4.322,4.327,6,5,4.3241
2024-04-17 00:15:00+00:00,4.327,4.328,4.326,4.328,5,3,4.3268
2024-04-17 00:30:00+00:00,4.3285,4.3285,4.3255,4.3255,3,3,4.327
2024-04-17 00:45:00+00:00,4.3265,4.3265,4.326,4.326,3,3,4.32615
2024-04-17 01:00:00+00:00,4.329,4.3305,4.329,4.3295,55,12,4.3295
2024-04-17 01:15:00+00:00,4.3275,4.3275,4.3275,4.3275,2,2,4.3275
2024-04-17 01:30:00+00:00,4.3295,4.335,4.3295,4.335,20,11,4.3327
2024-04-17 01:45:00+00:00,4.336,4.336,4.3345,4.3355,23,8,4.33525
2024-04-17 02:00:00+00:00,4.3365,4.3395,4.334,4.334,37,28,4.3367
2024-04-17 02:15:00+00:00,4.3365,4.338,4.333,4.333,44,21,4.33495
2024-04-17 02:30:00+00:00,4.331,4.331,4.327,4.327,39,28,4.33015
2024-04-17 02:45:00+00:00,4.328,4.3325,4.3275,4.3315,76,52,4.32885
2024-04-17 03:00:00+00:00,4.3315,4.3315,4.3235,4.325,156,109,4.3273
2024-04-17 03:15:00+00:00,4.3265,4.329,4.3205,4.3215,140,95,4.32475
2024-04-17 03:30:00+00:00,4.322,4.327,4.3185,4.326,104,68,4.3233
2024-04-17 03:45:00+00:00,4.3245,4.3335,4.3225,4.331,76,44,4.3268
2024-04-17 04:00:00+00:00,4.33,4.337,4.328,4.3335,57,44,4.33305
2024-04-17 04:15:00+00:00,4.3325,4.336,4.3315,4.336,10,10,4.33315
2024-04-17 04:30:00+00:00,4.338,4.3405,4.3345,4.3385,44,35,4.33825
2024-04-17 04:45:00+00:00,4.3375,4.338,4.3255,4.327,138,80,4.3302
2024-04-17 05:00:00+00:00,4.3265,4.334,4.326,4.331,50,42,4.3307
2024-04-17 05:15:00+00:00,4.331,4.3345,4.327,4.328,77,58,4.33015
2024-04-17 05:30:00+00:00,4.3275,4.328,4.326,4.327,6,5,4.3274
2024-04-17 05:45:00+00:00,4.3265,4.3265,4.325,4.326,21,15,4.32555
2024-04-17 06:00:00+00:00,4.3255,4.3285,4.3255,4.3275,33,18,4.3273
2024-04-17 06:15:00+00:00,4.3275,4.3285,4.3275,4.328,14,9,4.3281
2024-04-17 06:30:00+00:00,4.3265,4.3265,4.324,4.3245,19,12,4.32495
2024-04-17 06:45:00+00:00,4.3245,4.3285,4.3245,4.3275,14,13,4.3268
2024-04-17 07:00:00+00:00,4.3265,4.3265,4.322,4.3235,37,25,4.3236
2024-04-17 07:15:00+00:00,4.3235,4.325,4.3225,4.3245,21,13,4.3237
2024-04-17 07:30:00+00:00,4.325,4.3285,4.321,4.327,183,99,4.3248
2024-04-17 07:45:00+00:00,4.3275,4.329,4.3215,4.3235,88,60,4.32545
2024-04-17 08:00:00+00:00,4.3245,4.328,4.3135,4.32,288,180,4.3179
2024-04-17 08:15:00+00:00,4.3195,4.332,4.316,4.332,146,95,4.3228
2024-04-17 08:30:00+00:00,4.3335,4.339,4.3335,4.3365,247,144,4.33625
2024-04-17 08:45:00+00:00,4.336,4.3495,4.3355,4.3485,486,252,4.3436
2024-04-17 09:00:00+00:00,4.3475,4.3565,4.345,4.354,271,185,4.3509
2024-04-17 09:15:00+00:00,4.3535,4.354,4.3475,4.3505,127,90,4.3512
2024-04-17 09:30:00+00:00,4.3495,4.3535,4.3425,4.3495,168,113,4.34655
2024-04-17 09:45:00+00:00,4.3495,4.355,4.3495,4.353,181,81,4.3522
2024-04-17 10:00:00+00:00,4.353,4.3615,4.3495,4.3575,103,73,4.3568
2024-04-17 10:15:00+00:00,4.356,4.359,4.3545,4.3555,87,55,4.3565
2024-04-17 10:30:00+00:00,4.354,4.361,4.352,4.3605,119,47,4.35705
2024-04-17 10:45:00+00:00,4.3625,4.364,4.3555,4.356,73,53,4.36025
2024-04-17 11:00:00+00:00,4.356,4.356,4.3435,4.353,326,198,4.34915
2024-04-17 11:15:00+00:00,4.352,4.3535,4.349,4.353,29,27,4.35085
2024-04-17 11:30:00+00:00,4.354,4.3545,4.346,4.346,129,85,4.34985
2024-04-17 11:45:00+00:00,4.3475,4.3535,4.345,4.3535,205,86,4.3485
2024-04-17 12:00:00+00:00,4.355,4.359,4.3485,4.35,175,124,4.3539
2024-04-17 12:15:00+00:00,4.349,4.3505,4.3435,4.348,79,59,4.34665
2024-04-17 12:30:00+00:00,4.348,4.35,4.3445,4.347,41,32,4.3472
2024-04-17 12:45:00+00:00,4.3465,4.3465,4.3425,4.346,58,38,4.3444
2024-04-17 13:00:00+00:00,4.3465,4.371,4.3465,4.371,238,137,4.3597
2024-04-17 13:15:00+00:00,4.372,4.3725,4.3615,4.363,286,143,4.36565
2024-04-17 13:30:00+00:00,4.363,4.371,4.363,4.37,176,132,4.3677
2024-04-17 13:45:00+00:00,4.37,4.371,4.3645,4.366,155,104,4.36755
2024-04-17 14:00:00+00:00,4.366,4.374,4.365,4.372,438,275,4.3707
2024-04-17 14:15:00+00:00,4.3705,4.371,4.3665,4.3695,246,166,4.3687
2024-04-17 14:30:00+00:00,4.3695,4.374,4.3695,4.3735,405,238,4.37185
2024-04-17 14:45:00+00:00,4.374,4.379,4.37,4.3755,1355,730,4.37615
2024-04-17 15:00:00+00:00,4.375,4.382,4.372,4.379,1050,639,4.3759
2024-04-17 15:15:00+00:00,4.378,4.395,4.378,4.3925,1489,722,4.3889
2024-04-17 15:30:00+00:00,4.392,4.403,4.3915,4.401,1984,930,4.3988
2024-04-17 15:45:00+00:00,4.4015,4.4045,4.3945,4.4035,680,476,4.39975
2024-04-17 16:00:00+00:00,4.4045,4.4045,4.395,4.3995,961,532,4.40095
2024-04-17 16:15:00+00:00,4.3995,4.4,4.389,4.396,906,510,4.3946
2024-04-17 16:30:00+00:00,4.3955,4.397,4.387,4.393,516,314,4.39155
2024-04-17 16:45:00+00:00,4.3925,4.397,4.3805,4.389,737,374,4.3879
2024-04-17 17:00:00+00:00,4.3895,4.397,4.3885,4.3935,567,292,4.3932
2024-04-17 17:15:00+00:00,4.392,4.3965,4.388,4.388,863,543,4.3934
2024-04-17 17:30:00+00:00,4.3885,4.3905,4.3815,4.39,570,414,4.3851
2024-04-17 17:45:00+00:00,4.3905,4.3905,4.379,4.3805,876,410,4.38695
2024-04-17 18:00:00+00:00,4.381,4.3825,4.358,4.3675,1049,575,4.3677
2024-04-17 18:15:00+00:00,4.3675,4.377,4.367,4.372,185,138,4.3714
2024-04-17 18:30:00+00:00,4.3715,4.374,4.3645,4.3645,288,183,4.36965
2024-04-17 18:45:00+00:00,4.3645,4.373,4.361,4.363,1030,551,4.36475
2024-04-17 19:00:00+00:00,4.3635,4.3675,4.3585,4.3595,820,296,4.36205
2024-04-17 19:15:00+00:00,4.358,4.363,4.3535,4.3625,323,186,4.35715
2024-04-17 19:30:00+00:00,4.363,4.3735,4.363,4.369,651,231,4.36945
2024-04-17 19:45:00+00:00,4.369,4.373,4.367,4.372,58,45,4.371
2024-04-17 20:00:00+00:00,4.3735,4.377,4.3735,4.3765,81,54,4.375
2024-04-17 20:15:00+00:00,4.3735,4.3755,4.3715,4.372,89,38,4.3733
2024-04-17 20:30:00+00:00,4.371,4.3815,4.371,4.38,99,56,4.3753
2024-04-17 20:45:00+00:00,4.381,4.3825,4.375,4.3765,51,25,4.37685
2024-04-17 21:00:00+00:00,4.3725,4.3725,4.3635,4.365,153,55,4.3676
2024-04-17 21:15:00+00:00,4.363,4.365,4.363,4.363,23,18,4.3636
2024-04-17 21:30:00+00:00,4.3645,4.3655,4.362,4.364,31,25,4.36355
2024-04-17 21:45:00+00:00,4.363,4.366,4.363,4.366,25,23,4.36485
2024-04-17 22:00:00+00:00,4.3655,4.3685,4.365,4.368,40,30,4.3669
2024-04-17 22:15:00+00:00,4.368,4.3685,4.3675,4.3675,27,16,4.3681
2024-04-17 22:30:00+00:00,4.368,4.3695,4.3675,4.3675,18,14,4.36865
2024-04-17 22:45:00+00:00,4.3665,4.367,4.363,4.3635,19,13,4.365
2024-04-18 00:00:00+00:00,4.3655,4.3685,4.363,4.366,9,8,4.36565
2024-04-18 00:15:00+00:00,4.366,4.366,4.3655,4.366,5,5,4.3659
2024-04-18 00:30:00+00:00,4.3655,4.3655,4.3645,4.3645,3,3,4.36515
2024-04-18 00:45:00+00:00,4.365,4.3655,4.365,4.3655,4,3,4.3654
2024-04-18 01:00:00+00:00,4.3645,4.3645,4.3635,4.364,7,5,4.36395
2024-04-18 01:15:00+00:00,4.364,4.3655,4.364,4.364,34,11,4.36435
2024-04-18 01:30:00+00:00,4.3645,4.366,4.3635,4.366,11,8,4.3648
2024-04-18 01:45:00+00:00,4.3655,4.366,4.3645,4.365,14,11,4.36535
2024-04-18 02:00:00+00:00,4.3655,4.3675,4.363,4.3635,44,35,4.36525
2024-04-18 02:15:00+00:00,4.3635,4.3655,4.363,4.365,24,17,4.36415
2024-04-18 02:30:00+00:00,4.365,4.367,4.364,4.367,28,22,4.36555
2024-04-18 02:45:00+00:00,4.365,4.371,4.365,4.3695,93,62,4.36895
2024-04-18 03:00:00+00:00,4.3695,4.3815,4.368,4.3785,422,312,4.37495
2024-04-18 03:15:00+00:00,4.3775,4.378,4.358,4.3605,171,134,4.37015
2024-04-18 03:30:00+00:00,4.3595,4.3615,4.348,4.355,389,249,4.3532
2024-04-18 03:45:00+00:00,4.355,4.3625,4.355,4.361,251,171,4.35925
2024-04-18 04:00:00+00:00,4.3605,4.373,4.3575,4.373,313,226,4.36275
2024-04-18 04:15:00+00:00,4.3725,4.3725,4.369,4.372,105,59,4.37105
2024-04-18 04:30:00+00:00,4.372,4.38,4.3715,4.3755,186,92,4.3763
2024-04-18 04:45:00+00:00,4.3735,4.3795,4.3735,4.378,110,74,4.37715
2024-04-18 05:00:00+00:00,4.378,4.386,4.378,4.3825,159,106,4.38305
2024-04-18 05:15:00+00:00,4.3815,4.388,4.3805,4.388,145,108,4.38535
