date,open,high,low,close,volume,barCount,average
2024-02-26 02:00:00+00:00,566.0,568.0,565.25,567.75,162,86,566.975
2024-02-26 02:15:00+00:00,568.0,568.75,568.0,568.75,27,15,568.6
2024-02-26 02:30:00+00:00,568.75,569.0,568.25,568.25,95,19,568.825
2024-02-26 02:45:00+00:00,568.25,568.25,567.5,567.5,12,5,567.65
2024-02-26 03:00:00+00:00,567.75,567.75,567.0,567.0,13,7,567.45
2024-02-26 03:15:00+00:00,567.0,567.0,566.25,566.25,12,5,566.725
2024-02-26 03:30:00+00:00,566.0,566.25,566.0,566.25,12,4,566.025
2024-02-26 03:45:00+00:00,566.0,566.25,566.0,566.0,22,7,566.15
2024-02-26 04:00:00+00:00,566.25,566.5,566.25,566.5,2,2,566.375
2024-02-26 04:15:00+00:00,566.5,566.5,566.0,566.0,7,2,566.075
2024-02-26 04:30:00+00:00,566.25,567.25,566.25,567.25,4,4,566.625
2024-02-26 04:45:00+00:00,567.0,567.0,566.75,566.75,3,3,566.825
2024-02-26 05:00:00+00:00,567.25,567.25,567.25,567.25,2,1,567.25
2024-02-26 05:15:00+00:00,567.25,567.25,567.25,567.25,4,1,567.25
2024-02-26 05:30:00+00:00,567.0,567.25,567.0,567.25,5,3,567.2
2024-02-26 05:45:00+00:00,567.0,567.0,567.0,567.0,1,1,567.0
2024-02-26 06:00:00+00:00,567.5,567.5,567.5,567.5,1,1,567.5
2024-02-26 06:15:00+00:00,567.25,567.25,567.25,567.25,5,2,567.25
2024-02-26 06:30:00+00:00,567.25,567.25,567.25,567.25,0,0,567.25
2024-02-26 06:45:00+00:00,567.0,567.0,566.5,566.5,6,3,566.75
2024-02-26 07:00:00+00:00,567.0,567.0,567.0,567.0,4,2,567.0
2024-02-26 07:15:00+00:00,567.25,567.75,567.25,567.75,4,4,567.5
2024-02-26 07:30:00+00:00,568.25,568.25,568.0,568.25,8,4,568.175
2024-02-26 07:45:00+00:00,568.25,568.5,568.25,568.25,8,6,568.275
2024-02-26 08:00:00+00:00,568.25,568.75,568.25,568.25,26,16,568.625
2024-02-26 08:15:00+00:00,568.25,568.5,568.25,568.5,10,3,568.4
2024-02-26 08:30:00+00:00,568.25,568.5,568.25,568.25,17,6,568.375
2024-02-26 08:45:00+00:00,568.5,568.5,568.0,568.0,7,4,568.4
2024-02-26 09:00:00+00:00,567.75,568.5,567.75,568.25,14,7,568.05
2024-02-26 09:15:00+00:00,568.25,568.5,568.25,568.5,3,3,568.425
2024-02-26 09:30:00+00:00,568.25,568.5,567.75,568.25,20,15,568.05
2024-02-26 09:45:00+00:00,568.25,568.5,567.75,567.75,15,8,568.05
2024-02-26 10:00:00+00:00,568.0,570.0,568.0,569.0,120,33,569.1
2024-02-26 10:15:00+00:00,568.75,568.75,568.5,568.5,7,4,568.725
2024-02-26 10:30:00+00:00,567.75,568.5,567.25,568.0,42,22,567.75
2024-02-26 10:45:00+00:00,568.5,568.5,566.5,567.25,17,16,567.625
2024-02-26 11:00:00+00:00,567.25,567.5,566.0,566.0,11,8,566.9
2024-02-26 11:15:00+00:00,566.0,567.0,565.5,565.5,19,12,566.6
2024-02-26 11:30:00+00:00,565.0,565.25,562.0,562.25,41,32,563.1
2024-02-26 11:45:00+00:00,562.5,562.75,561.0,561.0,24,19,562.025
2024-02-26 12:00:00+00:00,560.5,560.5,558.5,559.5,155,59,559.525
2024-02-26 12:15:00+00:00,559.25,559.5,558.5,559.0,50,19,558.85
