date,open,high,low,close,volume,barCount,average
2024-03-28 01:00:00+00:00,1.98,1.985,1.98,1.984,281,141,1.98286637
2024-03-28 01:15:00+00:00,1.982,1.985,1.982,1.985,207,94,1.98321214
2024-03-28 01:30:00+00:00,1.984,1.984,1.98,1.98,116,35,1.98194432
2024-03-28 01:45:00+00:00,1.98,1.982,1.978,1.979,187,66,1.98010022
2024-03-28 02:00:00+00:00,1.979,1.98,1.978,1.978,92,29,1.97860189
2024-03-28 02:15:00+00:00,1.978,1.981,1.978,1.979,50,26,1.97917817
2024-03-28 02:30:00+00:00,1.978,1.979,1.977,1.978,59,27,1.97767984
2024-03-28 02:45:00+00:00,1.977,1.979,1.977,1.978,22,13,1.9777951
2024-03-28 03:00:00+00:00,1.979,1.981,1.977,1.979,105,32,1.97917817
2024-03-28 03:15:00+00:00,1.98,1.982,1.98,1.982,53,27,1.9814833
2024-03-28 03:30:00+00:00,1.982,1.984,1.982,1.982,24,9,1.98275111
2024-03-28 03:45:00+00:00,1.982,1.984,1.982,1.984,15,10,1.98286637
2024-03-28 04:00:00+00:00,1.982,1.982,1.98,1.982,72,26,1.9814833
2024-03-28 04:15:00+00:00,1.981,1.984,1.981,1.982,37,11,1.98275111
2024-03-28 04:30:00+00:00,1.982,1.984,1.981,1.981,48,26,1.98205958
2024-03-28 04:45:00+00:00,1.981,1.982,1.979,1.979,86,40,1.98102227
2024-03-28 05:00:00+00:00,1.979,1.979,1.975,1.975,96,46,1.97733408
2024-03-28 05:15:00+00:00,1.975,1.977,1.974,1.975,69,35,1.97537472
2024-03-28 05:30:00+00:00,1.975,1.981,1.973,1.981,160,53,1.97710356
2024-03-28 05:45:00+00:00,1.98,1.98,1.978,1.979,53,33,1.97906292
2024-03-28 06:00:00+00:00,1.979,1.98,1.978,1.98,64,33,1.97860189
2024-03-28 06:15:00+00:00,1.979,1.98,1.977,1.98,49,38,1.97860189
2024-03-28 06:30:00+00:00,1.98,1.984,1.98,1.984,181,58,1.98171381
2024-03-28 06:45:00+00:00,1.982,1.982,1.981,1.982,78,36,1.98217483
2024-03-28 07:00:00+00:00,1.982,1.982,1.978,1.98,249,86,1.98021548
2024-03-28 07:15:00+00:00,1.98,1.982,1.979,1.981,84,44,1.98056125
2024-03-28 07:30:00+00:00,1.98,1.982,1.978,1.98,136,46,1.98044599
2024-03-28 07:45:00+00:00,1.98,1.981,1.977,1.977,95,38,1.97975445
2024-03-28 08:00:00+00:00,1.978,1.978,1.966,1.971,625,264,1.97180178
2024-03-28 08:15:00+00:00,1.971,1.971,1.961,1.963,449,222,1.9646559
2024-03-28 08:30:00+00:00,1.963,1.963,1.961,1.961,245,124,1.96142873
2024-03-28 08:45:00+00:00,1.962,1.967,1.962,1.966,83,48,1.96511693
2024-03-28 09:00:00+00:00,1.966,1.967,1.964,1.966,124,69,1.96557795
2024-03-28 09:15:00+00:00,1.966,1.97,1.966,1.966,140,61,1.96845935
