date,open,high,low,close,volume,barCount,average
2024-01-29 00:00:00+00:00,962.5,963.0,957.5,959.0,33,26,960.0
2024-01-29 00:15:00+00:00,958.0,962.0,957.5,962.0,12,10,959.15
2024-01-29 00:30:00+00:00,962.0,962.0,959.0,959.0,3,3,961.0
2024-01-29 00:45:00+00:00,958.5,959.0,958.0,958.0,6,5,958.25
2024-01-29 01:00:00+00:00,956.5,958.0,953.5,955.5,37,28,955.65
2024-01-29 01:15:00+00:00,955.5,955.5,955.5,955.5,0,0,955.5
2024-01-29 01:30:00+00:00,953.0,955.5,951.0,953.5,32,24,952.9
2024-01-29 01:45:00+00:00,955.0,956.5,955.0,956.0,6,5,955.9
2024-01-29 02:00:00+00:00,956.5,959.5,956.5,959.5,21,19,958.2
2024-01-29 02:15:00+00:00,958.5,958.5,957.0,957.0,6,5,957.6
2024-01-29 02:30:00+00:00,957.5,959.0,957.5,959.0,2,2,958.25
2024-01-29 02:45:00+00:00,959.0,960.0,958.5,959.0,13,11,959.05
2024-01-29 03:00:00+00:00,958.0,958.0,957.5,957.5,3,3,957.85
2024-01-29 03:15:00+00:00,956.0,956.0,956.0,956.0,3,2,956.0
2024-01-29 03:30:00+00:00,955.5,955.5,955.5,955.5,1,1,955.5
2024-01-29 03:45:00+00:00,957.0,957.0,957.0,957.0,1,1,957.0
2024-01-29 04:00:00+00:00,958.5,959.5,957.5,959.5,5,5,958.3
2024-01-29 04:15:00+00:00,957.5,957.5,956.0,956.0,13,12,957.25
2024-01-29 04:30:00+00:00,957.5,958.5,957.5,958.5,4,4,958.15
2024-01-29 04:45:00+00:00,957.0,958.0,957.0,958.0,2,2,957.5
2024-01-29 05:00:00+00:00,956.5,959.5,956.5,959.0,8,6,958.4
2024-01-29 05:15:00+00:00,959.0,959.0,958.5,958.5,4,4,958.75
2024-01-29 05:30:00+00:00,958.5,958.5,958.5,958.5,0,0,958.5
2024-01-29 05:45:00+00:00,959.5,961.0,959.0,960.0,32,25,960.45
2024-01-29 06:00:00+00:00,960.0,960.0,958.0,958.0,3,3,958.65
2024-01-29 06:15:00+00:00,958.5,958.5,958.0,958.0,2,2,958.25
2024-01-29 06:30:00+00:00,955.5,956.0,955.0,955.0,6,6,955.6
2024-01-29 06:45:00+00:00,955.0,955.0,954.5,954.5,2,2,954.75
2024-01-29 07:00:00+00:00,954.0,956.5,954.0,956.5,3,3,955.5
2024-01-29 07:15:00+00:00,956.0,957.0,956.0,957.0,2,2,956.5
2024-01-29 07:30:00+00:00,957.0,957.0,955.5,955.5,3,3,956.5
2024-01-29 07:45:00+00:00,954.5,954.5,953.0,953.0,8,6,953.75
2024-01-29 08:00:00+00:00,953.5,957.0,953.5,955.5,10,7,955.25
2024-01-29 08:15:00+00:00,956.5,957.5,956.5,957.5,4,4,957.25
2024-01-29 08:30:00+00:00,957.5,958.0,957.5,958.0,2,2,957.75
2024-01-29 08:45:00+00:00,960.0,960.5,948.5,949.5,52,38,953.4
2024-01-29 09:00:00+00:00,951.0,954.0,951.0,953.0,10,9,952.35
2024-01-29 09:15:00+00:00,952.5,954.5,952.5,954.5,29,23,953.15
2024-01-29 09:30:00+00:00,953.5,957.5,953.5,953.5,18,14,955.7
2024-01-29 09:45:00+00:00,954.0,954.5,952.0,952.0,11,11,953.2
2024-01-29 10:00:00+00:00,952.0,953.0,950.0,951.5,13,11,951.3
2024-01-29 10:15:00+00:00,951.0,952.5,951.0,952.5,2,2,951.75
2024-01-29 10:30:00+00:00,953.5,954.0,951.0,951.0,15,14,952.55
2024-01-29 10:45:00+00:00,950.5,954.0,950.5,951.5,23,22,952.1
2024-01-29 11:00:00+00:00,950.0,951.5,947.0,949.5,37,19,949.5
