date,open,high,low,close,volume,barCount,average
2024-03-14 23:00:00+00:00,2058.4,2060.3,2057.4,2059.9,436,252,2059.0
2024-03-14 23:15:00+00:00,2060.0,2060.1,2058.3,2059.3,329,168,2059.17
2024-03-14 23:30:00+00:00,2059.5,2059.5,2057.7,2058.0,101,63,2058.83
2024-03-14 23:45:00+00:00,2058.1,2058.3,2056.9,2057.3,208,133,2057.53
2024-03-15 00:00:00+00:00,2057.2,2057.3,2054.9,2055.4,251,142,2055.84
2024-03-15 00:15:00+00:00,2055.5,2056.1,2054.9,2055.0,155,114,2055.52
2024-03-15 00:30:00+00:00,2055.0,2055.8,2053.7,2053.9,136,106,2054.76
2024-03-15 00:45:00+00:00,2053.9,2055.6,2053.8,2055.4,135,72,2054.94
2024-03-15 01:00:00+00:00,2055.5,2056.5,2055.2,2055.5,259,176,2055.89
2024-03-15 01:15:00+00:00,2055.4,2056.6,2055.1,2055.8,286,171,2055.73
2024-03-15 01:30:00+00:00,2055.8,2056.8,2055.8,2056.5,184,124,2056.38
2024-03-15 01:45:00+00:00,2056.5,2057.1,2056.0,2056.7,232,126,2056.46
2024-03-15 02:00:00+00:00,2056.8,2058.2,2056.7,2057.3,149,95,2057.3
2024-03-15 02:15:00+00:00,2057.4,2057.7,2056.5,2057.5,137,76,2057.1
2024-03-15 02:30:00+00:00,2057.5,2058.7,2057.5,2058.3,132,98,2058.14
2024-03-15 02:45:00+00:00,2058.2,2059.3,2057.6,2057.9,109,82,2058.58
2024-03-15 03:00:00+00:00,2057.4,2057.8,2056.1,2056.5,181,131,2056.7
2024-03-15 03:15:00+00:00,2056.4,2056.8,2055.8,2056.8,132,106,2056.13
2024-03-15 03:30:00+00:00,2056.8,2057.3,2056.0,2056.4,91,72,2056.56
2024-03-15 03:45:00+00:00,2056.1,2057.1,2056.1,2056.8,60,53,2056.73
2024-03-15 04:00:00+00:00,2057.0,2057.6,2056.9,2056.9,47,39,2057.19
