date,open,high,low,close,volume,barCount,average
2023-05-02 02:00:00+00:00,584.5,587.5,584.25,587.0,1587,347,585.95
2023-05-02 02:15:00+00:00,587.0,587.25,586.25,586.5,149,50,586.75
2023-05-02 02:30:00+00:00,586.75,587.5,586.75,587.5,352,64,587.275
2023-05-02 02:45:00+00:00,587.25,587.5,587.0,587.0,157,40,587.25
2023-05-02 03:00:00+00:00,587.0,587.25,587.0,587.25,98,48,587.075
2023-05-02 03:15:00+00:00,587.25,587.5,586.75,587.0,236,60,587.1
2023-05-02 03:30:00+00:00,586.5,587.5,586.5,587.5,292,58,587.125
2023-05-02 03:45:00+00:00,587.25,587.5,587.0,587.5,64,29,587.225
2023-05-02 04:00:00+00:00,587.25,589.0,587.25,588.5,935,161,588.25
2023-05-02 04:15:00+00:00,588.25,588.5,587.75,587.75,97,36,588.175
2023-05-02 04:30:00+00:00,588.0,588.25,587.5,587.5,99,37,587.825
2023-05-02 04:45:00+00:00,587.5,587.75,587.5,587.75,48,20,587.725
2023-05-02 05:00:00+00:00,587.5,588.0,587.5,588.0,86,23,587.85
2023-05-02 05:15:00+00:00,588.0,588.0,587.75,587.75,74,18,587.95
2023-05-02 05:30:00+00:00,588.0,588.75,588.0,588.25,106,38,588.325
2023-05-02 05:45:00+00:00,588.5,588.5,588.0,588.5,96,45,588.275
2023-05-02 06:00:00+00:00,588.5,588.75,588.5,588.75,73,24,588.575
2023-05-02 06:15:00+00:00,588.5,588.75,588.25,588.5,114,35,588.475
2023-05-02 06:30:00+00:00,588.5,588.75,588.25,588.25,53,21,588.575
2023-05-02 06:45:00+00:00,588.25,588.75,588.25,588.5,56,21,588.35
2023-05-02 07:00:00+00:00,588.25,588.5,588.25,588.25,52,20,588.45
2023-05-02 07:15:00+00:00,588.5,588.5,588.25,588.25,13,10,588.375
2023-05-02 07:30:00+00:00,588.25,588.75,588.0,588.75,76,30,588.35
2023-05-02 07:45:00+00:00,588.5,588.5,588.0,588.5,86,16,588.425
2023-05-02 08:00:00+00:00,588.25,588.75,588.0,588.25,82,36,588.325
2023-05-02 08:15:00+00:00,588.25,588.75,588.0,588.25,93,35,588.4
2023-05-02 08:30:00+00:00,588.25,588.25,588.0,588.0,57,27,588.175
2023-05-02 08:45:00+00:00,588.0,588.5,588.0,588.0,151,54,588.225
2023-05-02 09:00:00+00:00,588.0,588.25,587.25,587.25,436,115,587.725
2023-05-02 09:15:00+00:00,587.25,587.5,587.0,587.25,363,77,587.2
2023-05-02 09:30:00+00:00,587.5,588.0,587.25,587.75,206,72,587.475
2023-05-02 09:45:00+00:00,587.75,588.0,586.5,586.75,218,68,587.175
2023-05-02 10:00:00+00:00,586.5,587.25,586.0,587.0,270,102,586.5
2023-05-02 10:15:00+00:00,587.0,587.75,586.5,587.75,219,81,587.2
2023-05-02 10:30:00+00:00,587.75,588.0,587.0,588.0,176,74,587.625
