date,open,high,low,close,volume,barCount,average
2024-03-27 01:00:00+00:00,49.78,49.79,49.5,49.51,1027,428,49.63646317
2024-03-27 01:15:00+00:00,49.52,49.59,49.51,49.58,214,166,49.52852206
2024-03-27 01:30:00+00:00,49.57,49.58,49.54,49.54,57,33,49.5624464
2024-03-27 01:45:00+00:00,49.56,49.57,49.54,49.56,41,27,49.55627834
2024-03-27 02:00:00+00:00,49.55,49.56,49.47,49.51,227,136,49.50796184
2024-03-27 02:15:00+00:00,49.53,49.55,49.5,49.54,61,36,49.52955007
2024-03-27 02:30:00+00:00,49.53,49.55,49.45,49.47,89,36,49.47403749
2024-03-27 02:45:00+00:00,49.46,49.47,49.45,49.46,114,49,49.45244927
2024-03-27 03:00:00+00:00,49.46,49.46,49.4,49.4,251,115,49.42160895
2024-03-27 03:15:00+00:00,49.41,49.42,49.34,49.35,244,105,49.38357256
2024-03-27 03:30:00+00:00,49.35,49.35,49.26,49.28,344,148,49.30647177
2024-03-27 03:45:00+00:00,49.28,49.29,49.26,49.26,35,21,49.27768747
2024-03-27 04:00:00+00:00,49.26,49.3,49.26,49.27,57,31,49.27871548
2024-03-27 04:15:00+00:00,49.28,49.29,49.22,49.28,158,80,49.25198721
2024-03-27 04:30:00+00:00,49.27,49.27,49.22,49.23,97,58,49.23862307
2024-03-27 04:45:00+00:00,49.23,49.24,49.22,49.22,30,18,49.22834296
2024-03-27 05:00:00+00:00,49.23,49.23,49.21,49.21,17,11,49.21909087
2024-03-27 05:15:00+00:00,49.23,49.23,49.21,49.21,57,32,49.22011888
2024-03-27 05:30:00+00:00,49.2,49.21,49.18,49.2,48,27,49.19750265
2024-03-27 05:45:00+00:00,49.19,49.2,49.17,49.17,47,26,49.1831105
2024-03-27 06:00:00+00:00,49.17,49.18,49.15,49.16,36,21,49.16563432
2024-03-27 06:15:00+00:00,49.16,49.2,49.16,49.18,25,17,49.1738584
2024-03-27 06:30:00+00:00,49.19,49.23,49.17,49.21,80,42,49.2026427
2024-03-27 06:45:00+00:00,49.22,49.24,49.19,49.19,58,37,49.22320291
2024-03-27 07:00:00+00:00,49.2,49.26,49.2,49.23,106,42,49.22628694
2024-03-27 07:15:00+00:00,49.23,49.25,49.2,49.21,49,29,49.22525893
2024-03-27 07:30:00+00:00,49.23,49.23,49.14,49.15,280,103,49.16666233
2024-03-27 07:45:00+00:00,49.16,49.21,49.12,49.17,233,93,49.16974636
2024-03-27 08:00:00+00:00,49.17,49.17,49.11,49.12,239,122,49.13376599
2024-03-27 08:15:00+00:00,49.11,49.12,49.06,49.09,151,76,49.0864775
2024-03-27 08:30:00+00:00,49.08,49.16,49.07,49.14,94,46,49.09675761
2024-03-27 08:45:00+00:00,49.14,49.25,49.14,49.2,161,87,49.20161469
2024-03-27 09:00:00+00:00,49.19,49.25,49.16,49.21,174,81,49.19955867
2024-03-27 09:15:00+00:00,49.2,49.2,49.12,49.13,274,83,49.14610212
2024-03-27 09:30:00+00:00,49.13,49.23,49.13,49.21,291,82,49.20778275
2024-03-27 09:45:00+00:00,49.21,49.21,49.12,49.14,291,127,49.16769034
2024-03-27 10:00:00+00:00,49.12,49.19,49.11,49.16,82,45,49.14199007
2024-03-27 10:15:00+00:00,49.16,49.16,48.99,48.99,757,288,49.05049713
2024-03-27 10:30:00+00:00,49.01,49.09,48.96,49.08,483,115,49.00320865
2024-03-27 10:45:00+00:00,49.09,49.1,49.02,49.02,278,141,49.06900132
2024-03-27 11:00:00+00:00,49.03,49.12,49.02,49.09,178,68,49.0761974
2024-03-27 11:15:00+00:00,49.08,49.17,49.08,49.14,73,24,49.1440461
2024-03-27 11:30:00+00:00,49.14,49.17,49.11,49.14,181,88,49.13787803
2024-03-27 11:45:00+00:00,49.15,49.18,49.15,49.17,33,24,49.17180238
2024-03-27 12:00:00+00:00,49.17,49.17,49.1,49.16,131,81,49.12142986
2024-03-27 12:15:00+00:00,49.17,49.2,49.17,49.18,102,52,49.19133458
2024-03-27 12:30:00+00:00,49.18,49.26,49.18,49.25,283,139,49.23656705
2024-03-27 12:45:00+00:00,49.24,49.25,49.19,49.21,136,54,49.22834296
2024-03-27 13:00:00+00:00,49.21,49.21,49.14,49.14,183,90,49.17591442
2024-03-27 13:15:00+00:00,49.14,49.2,49.13,49.17,233,95,49.15638222
2024-03-27 13:30:00+00:00,49.18,49.2,49.13,49.17,330,131,49.16460631
2024-03-27 14:30:00+00:00,49.17,49.18,48.72,48.9,7035,2648,48.86339921
2024-03-27 14:45:00+00:00,48.89,49.09,48.79,48.99,2582,881,48.96208822
2024-03-27 15:00:00+00:00,49.01,49.22,48.98,49.19,1447,591,49.11834583
2024-03-27 15:15:00+00:00,49.19,49.33,49.01,49.07,2457,755,49.15741023
2024-03-27 15:30:00+00:00,49.06,49.28,49.04,49.27,1788,643,49.15535421
2024-03-27 15:45:00+00:00,49.28,49.39,49.05,49.05,2059,830,49.21395082
2024-03-27 16:00:00+00:00,49.04,49.12,48.91,48.92,1901,676,49.0083487
2024-03-27 16:15:00+00:00,48.91,49.11,48.89,49.07,1018,399,49.00012461
2024-03-27 16:30:00+00:00,49.07,49.07,48.97,49.05,976,370,49.0186288
2024-03-27 16:45:00+00:00,49.05,49.05,48.89,49.03,1151,451,48.96620026
2024-03-27 17:00:00+00:00,49.01,49.08,48.96,49.01,1072,389,49.01143273
2024-03-27 17:15:00+00:00,49.01,49.01,48.89,48.91,989,444,48.91993979
2024-03-27 17:30:00+00:00,48.9,49.03,48.84,49.03,1453,525,48.92405183
2024-03-27 17:45:00+00:00,49.04,49.04,48.96,48.98,942,433,48.99601257
2024-03-27 18:00:00+00:00,48.98,49.05,48.97,49.05,806,370,49.00423666
2024-03-27 18:15:00+00:00,49.06,49.19,49.03,49.1,1420,479,49.1152618
2024-03-27 18:30:00+00:00,49.1,49.17,49.04,49.06,1502,444,49.10395368
2024-03-27 18:45:00+00:00,49.07,49.08,48.99,49.05,1843,561,49.03507697
2024-03-27 19:00:00+00:00,49.05,49.08,48.98,49.02,4200,1282,49.02582488
2024-03-27 19:15:00+00:00,49.02,49.07,48.98,49.04,1139,233,49.01965682
2024-03-28 01:00:00+00:00,49.04,49.07,48.98,49.07,1020,325,49.03096493
2024-03-28 01:15:00+00:00,49.08,49.11,49.04,49.11,59,46,49.07105734
2024-03-28 01:30:00+00:00,49.11,49.12,49.09,49.1,50,20,49.09675761
2024-03-28 01:45:00+00:00,49.1,49.16,49.09,49.14,56,27,49.1245139
2024-03-28 02:00:00+00:00,49.15,49.18,49.09,49.09,144,104,49.13685002
2024-03-28 02:15:00+00:00,49.09,49.1,49.04,49.06,149,110,49.06077724
2024-03-28 02:30:00+00:00,49.05,49.17,49.05,49.13,184,87,49.12759793
2024-03-28 02:45:00+00:00,49.12,49.13,49.08,49.08,46,36,49.10806573
2024-03-28 03:00:00+00:00,49.1,49.13,49.06,49.12,110,54,49.09470159
2024-03-28 03:15:00+00:00,49.14,49.2,49.14,49.2,50,24,49.15843824
2024-03-28 03:30:00+00:00,49.21,49.23,49.16,49.19,47,26,49.20881076
2024-03-28 03:45:00+00:00,49.19,49.22,49.18,49.22,29,27,49.20161469
