Date,10Y_Open,10Y_High,10Y_Low,10Y_Close,10Y_Volume,10Y_Barcount,10Y_Average,10Y_Spread,2YY_Open,2YY_High,2YY_Low,2YY_Close,2YY_Volume,2YY_Barcount,2YY_Average,2YY_Spread,DA_Open,DA_High,DA_Low,DA_Close,DA_Volume,DA_Barcount,DA_Average,DA_Spread,ES_Open,ES_High,ES_Low,ES_Close,ES_Volume,ES_Barcount,ES_Average,ES_Spread,GF_Open,GF_High,GF_Low,GF_Close,GF_Volume,GF_Barcount,GF_Average,GF_Spread,HE_Open,HE_High,HE_Low,HE_Close,HE_Volume,HE_Barcount,HE_Average,HE_Spread,KE_Open,KE_High,KE_Low,KE_Close,KE_Volume,KE_Barcount,KE_Average,KE_Spread,LE_Open,LE_High,LE_Low,LE_Close,LE_Volume,LE_Barcount,LE_Average,LE_Spread,NQ_Open,NQ_High,NQ_Low,NQ_Close,NQ_Volume,NQ_Barcount,NQ_Average,NQ_Spread,RTY_Open,RTY_High,RTY_Low,RTY_Close,RTY_Volume,RTY_Barcount,RTY_Average,RTY_Spread,VXM_Open,VXM_High,VXM_Low,VXM_Close,VXM_Volume,VXM_Barcount,VXM_Average,VXM_Spread,ZC_Open,ZC_High,ZC_Low,ZC_Close,ZC_Volume,ZC_Barcount,ZC_Average,ZC_Spread,ZL_Open,ZL_High,ZL_Low,ZL_Close,ZL_Volume,ZL_Barcount,ZL_Average,ZL_Spread,ZM_Open,ZM_High,ZM_Low,ZM_Close,ZM_Volume,ZM_Barcount,ZM_Average,ZM_Spread,ZS_Open,ZS_High,ZS_Low,ZS_Close,ZS_Volume,ZS_Barcount,ZS_Average,ZS_Spread,ZW_Open,ZW_High,ZW_Low,ZW_Close,ZW_Volume,ZW_Barcount,ZW_Average,ZW_Spread
2023-12-29 15:30:00+00:00,3.883,3.883,3.86,3.86,95.0,48.0,3.8709,0.02300000000000013,4.184,4.184,4.184,4.184,0.0,0.0,4.184,0.0,15.83,15.83,15.78,15.81,15.0,4.0,15.80413889,0.05000000000000071,4828.5,4833.5,4827.0,4833.0,42571.0,11099.0,4831.15,6.5,224.4,224.45,223.425,223.55,538.0,365.0,223.91,1.0249999999999773,75.75,76.225,75.225,75.675,1908.0,905.0,75.87862069,1.0,645.75,646.5,643.0,646.0,1029.0,619.0,644.825,3.5,172.05,172.3,171.65,171.675,3204.0,1263.0,172.08139563,0.6500000000000057,17089.0,17100.0,17073.75,17097.0,20047.0,12953.0,17089.625,26.25,2074.0,2079.8,2068.7,2076.3,12191.0,7023.0,2074.63,11.100000000000364,15.3,15.3,15.24,15.28,132.0,37.0,15.2788307,0.0600000000000005,473.75,474.75,472.25,473.75,7993.0,1169.0,473.6,2.5,48.01,48.08,47.78,47.86,3142.0,1789.0,47.89,0.29999999999999716,388.5,390.3,387.6,387.8,3476.0,1549.0,388.91,2.6999999999999886,1310.5,1310.5,1305.5,1305.5,6480.0,2351.0,1308.375,5.0,630.25,632.0,626.25,629.5,3081.0,1133.0,628.7,5.75
2023-12-29 15:45:00+00:00,3.86,3.878,3.86,3.875,18.0,14.0,3.8722,0.018000000000000238,4.184,4.184,4.184,4.184,0.0,0.0,4.184,0.0,15.83,15.84,15.82,15.84,4.0,4.0,15.82777778,0.019999999999999574,4833.0,4833.5,4831.0,4831.75,21501.0,5599.0,4832.15,2.5,223.525,224.15,222.85,223.325,252.0,174.0,223.4475,1.3000000000000114,75.675,76.15,75.575,75.775,509.0,285.0,75.92551724,0.5750000000000028,646.25,647.75,645.5,646.25,511.0,271.0,646.625,2.25,171.675,172.0,171.5,171.9,1177.0,544.0,171.82040133,0.5,17096.75,17107.5,17086.0,17096.0,15883.0,9944.0,17099.1,21.5,2076.3,2078.9,2071.4,2072.6,5823.0,3622.0,2074.47,7.5,15.29,15.33,15.29,15.33,20.0,14.0,15.31393679,0.040000000000000924,473.75,474.25,473.25,474.25,3997.0,588.0,473.725,1.0,47.86,48.17,47.75,48.11,2209.0,1099.0,48.011,0.4200000000000017,387.8,387.9,386.9,387.0,1749.0,850.0,387.45,1.0,1305.5,1306.5,1303.0,1304.5,4931.0,1509.0,1304.325,3.5,629.75,631.25,628.75,629.25,996.0,468.0,630.1,2.5
2023-12-29 16:00:00+00:00,3.872,3.873,3.871,3.871,30.0,11.0,3.8716,0.002000000000000224,4.184,4.184,4.184,4.184,0.0,0.0,4.184,0.0,15.85,15.9,15.85,15.9,8.0,6.0,15.87608333,0.05000000000000071,4832.0,4835.0,4830.5,4830.75,23893.0,5771.0,4832.7,4.5,223.3,223.375,222.875,223.375,134.0,110.0,223.135,0.5,75.75,76.05,75.625,75.9,710.0,317.0,75.86482759,0.42499999999999716,646.25,646.25,643.0,644.25,465.0,274.0,644.475,3.25,171.9,171.925,171.425,171.7,954.0,393.0,171.62528909,0.5,17096.25,17105.75,17084.25,17095.5,15328.0,9492.0,17094.55,21.5,2072.7,2072.9,2064.8,2065.4,7430.0,4061.0,2069.76,8.099999999999909,15.33,15.39,15.33,15.39,51.0,29.0,15.36440181,0.0600000000000005,474.25,474.5,473.5,474.25,2368.0,406.0,474.0,1.0,48.12,48.14,47.89,47.93,1118.0,474.0,47.994,0.25,387.0,388.6,386.5,388.6,1374.0,553.0,387.35,2.1000000000000227,1304.5,1306.5,1304.25,1305.75,1995.0,719.0,1305.175,2.25,629.25,629.5,626.0,627.5,855.0,378.0,627.525,3.5
2023-12-29 16:15:00+00:00,3.868,3.87,3.861,3.87,13.0,10.0,3.8682,0.008999999999999897,4.184,4.184,4.184,4.184,0.0,0.0,4.184,0.0,15.9,15.9,15.9,15.9,0.0,0.0,15.89972222,0.0,4830.75,4831.75,4829.25,4831.5,19106.0,4917.0,4830.8,2.5,223.425,223.45,222.8,222.9,139.0,95.0,223.095,0.6499999999999773,75.9,75.975,75.75,75.85,233.0,107.0,75.8537931,0.22499999999999432,644.25,644.75,643.25,644.0,426.0,288.0,644.1,1.5,171.725,171.775,171.15,171.425,643.0,274.0,171.40230367,0.625,17095.75,17098.5,17084.25,17094.75,8624.0,5432.0,17090.7,14.25,2065.4,2069.1,2064.2,2064.5,6155.0,3308.0,2066.46,4.900000000000091,15.38,15.38,15.3,15.32,36.0,17.0,15.35123702,0.08000000000000007,474.5,475.0,474.0,474.5,1952.0,331.0,474.425,1.0,47.94,48.03,47.9,48.0,662.0,358.0,47.987,0.13000000000000256,388.5,388.8,387.5,388.6,1081.0,444.0,388.07,1.3000000000000114,1305.75,1306.25,1303.0,1304.75,2617.0,871.0,1304.25,3.25,627.25,628.0,626.5,626.5,781.0,350.0,627.1,1.5
2023-12-29 16:30:00+00:00,3.864,3.868,3.864,3.868,7.0,7.0,3.8661,0.0040000000000000036,4.184,4.184,4.184,4.184,0.0,0.0,4.184,0.0,15.9,15.9,15.9,15.9,0.0,0.0,15.89972222,0.0,4831.75,4832.25,4822.5,4823.25,42614.0,10207.0,4826.65,9.75,222.875,223.55,222.875,223.475,167.0,120.0,223.1875,0.6750000000000114,75.85,75.95,75.625,75.725,355.0,187.0,75.74896552,0.32500000000000284,644.25,644.5,641.5,643.0,529.0,307.0,643.0,3.0,171.4,171.75,171.35,171.65,729.0,310.0,171.52393208,0.4000000000000057,17095.0,17095.5,17030.5,17036.25,23009.0,13749.0,17061.425,65.0,2064.5,2065.2,2058.4,2059.6,7138.0,3868.0,2062.18,6.799999999999727,15.35,15.46,15.34,15.46,243.0,71.0,15.38414898,0.120000000000001,474.75,475.0,474.25,474.5,2187.0,354.0,474.725,0.75,47.99,48.13,47.93,48.1,837.0,449.0,48.042,0.20000000000000284,388.5,389.9,387.6,387.6,1246.0,554.0,389.18,2.2999999999999545,1305.0,1307.0,1304.25,1304.25,1729.0,713.0,1305.35,2.75,626.75,627.0,624.25,626.5,1358.0,473.0,625.575,2.75
2023-12-29 16:45:00+00:00,3.866,3.866,3.854,3.854,40.0,11.0,3.8571,0.01200000000000001,4.184,4.184,4.184,4.184,0.0,0.0,4.184,0.0,15.9,15.9,15.9,15.9,1.0,1.0,15.89972222,0.0,4823.25,4824.75,4814.5,4818.75,62362.0,15842.0,4818.75,10.25,223.525,223.525,222.925,223.15,84.0,62.0,223.145,0.5999999999999943,75.725,75.85,75.525,75.65,284.0,164.0,75.6937931,0.32499999999998863,643.25,646.5,642.0,646.25,472.0,238.0,643.8,4.5,171.625,171.65,171.2,171.3,392.0,205.0,171.35669301,0.45000000000001705,17036.25,17041.0,17001.0,17019.5,28060.0,16583.0,17016.75,40.0,2059.6,2059.8,2052.7,2055.4,11193.0,6151.0,2055.87,7.100000000000364,15.46,15.56,15.46,15.56,171.0,52.0,15.51908804,0.09999999999999964,474.75,474.75,474.0,474.5,1200.0,267.0,474.275,0.75,48.1,48.12,47.82,47.88,621.0,351.0,47.943,0.29999999999999716,387.7,388.1,387.3,387.6,803.0,383.0,387.69,0.8000000000000114,1304.25,1304.5,1303.0,1303.75,1781.0,661.0,1303.7,1.5,626.5,627.75,625.0,627.75,788.0,303.0,625.9,2.75
2023-12-29 17:00:00+00:00,3.852,3.856,3.85,3.851,47.0,23.0,3.8518,0.005999999999999783,4.184,4.184,4.184,4.184,0.0,0.0,4.184,0.0,15.92,15.92,15.9,15.91,11.0,4.0,15.90691667,0.019999999999999574,4819.0,4821.25,4811.5,4811.5,40582.0,10973.0,4817.225,9.75,223.15,223.425,222.975,223.3,114.0,85.0,223.1775,0.45000000000001705,75.65,75.65,74.925,75.15,1155.0,386.0,75.24137931,0.7250000000000085,646.0,646.0,643.25,644.0,502.0,228.0,644.375,2.75,171.35,171.55,171.275,171.45,243.0,140.0,171.38963404,0.2750000000000057,17019.75,17027.5,16973.5,16974.5,19776.0,12233.0,17001.5,54.0,2055.5,2058.5,2051.3,2051.4,8531.0,4358.0,2055.14,7.199999999999818,15.52,15.68,15.52,15.67,248.0,96.0,15.59039729,0.16000000000000014,474.25,474.5,473.5,474.0,4480.0,432.0,473.9,1.0,47.89,47.89,47.65,47.67,2168.0,729.0,47.756,0.240000000000002,387.6,387.7,386.7,386.8,1309.0,548.0,387.06,1.0,1303.75,1303.75,1301.0,1301.25,2643.0,809.0,1301.925,2.75,627.5,627.5,625.0,626.5,775.0,323.0,626.075,2.5
2023-12-29 17:15:00+00:00,3.849,3.859,3.849,3.858,54.0,29.0,3.8524,0.009999999999999787,4.184,4.184,4.184,4.184,0.0,0.0,4.184,0.0,15.89,15.89,15.88,15.89,13.0,7.0,15.88533333,0.009999999999999787,4811.75,4812.0,4803.25,4803.5,60970.0,16402.0,4807.825,8.75,223.275,223.275,222.825,223.175,113.0,79.0,223.0075,0.45000000000001705,75.15,75.225,74.925,75.225,623.0,252.0,75.06206897,0.29999999999999716,644.0,644.0,640.0,640.0,397.0,211.0,642.075,4.0,171.425,171.525,171.275,171.5,172.0,101.0,171.37696441,0.25,16975.0,16977.5,16940.25,16943.5,25576.0,15431.0,16958.3,37.25,2051.4,2054.4,2047.7,2050.4,7251.0,4233.0,2050.86,6.7000000000000455,15.69,15.81,15.67,15.81,359.0,114.0,15.7330158,0.14000000000000057,474.25,474.25,473.0,473.25,2415.0,400.0,473.475,1.25,47.66,47.71,47.56,47.59,1818.0,695.0,47.625,0.14999999999999858,386.8,386.8,386.0,386.2,771.0,334.0,386.37,0.8000000000000114,1301.25,1301.25,1298.75,1298.75,2751.0,813.0,1299.925,2.5,626.75,626.75,624.0,624.0,836.0,357.0,624.925,2.75
2023-12-29 17:30:00+00:00,3.855,3.86,3.85,3.85,79.0,28.0,3.8543,0.009999999999999787,4.184,4.184,4.184,4.184,0.0,0.0,4.184,0.0,15.83,15.83,15.8,15.8,21.0,9.0,15.81955556,0.02999999999999936,4803.75,4807.25,4801.75,4805.25,36557.0,10595.0,4804.6,5.5,223.2,223.425,222.8,222.8,134.0,90.0,223.1025,0.625,75.2,75.2,74.775,74.9,563.0,261.0,74.95724138,0.42499999999999716,640.0,640.25,637.25,638.0,612.0,299.0,638.55,3.0,171.475,171.525,171.275,171.3,176.0,100.0,171.41497329,0.25,16943.5,16962.0,16938.25,16956.75,15211.0,9410.0,16950.525,23.75,2050.4,2051.0,2048.2,2049.8,5279.0,3007.0,2049.97,2.800000000000182,15.82,15.83,15.73,15.75,350.0,127.0,15.78567494,0.09999999999999964,473.5,473.5,472.5,472.5,3538.0,411.0,472.9,1.0,47.59,47.81,47.59,47.65,1050.0,499.0,47.712,0.21999999999999886,386.2,387.0,386.2,386.7,970.0,342.0,386.63,0.8000000000000114,1299.0,1301.0,1298.5,1300.25,1766.0,632.0,1299.85,2.5,623.75,624.5,623.25,623.75,991.0,375.0,623.85,1.25
2023-12-29 17:45:00+00:00,3.847,3.847,3.844,3.846,22.0,14.0,3.8452,0.0030000000000001137,4.184,4.184,4.184,4.184,0.0,0.0,4.184,0.0,15.79,15.79,15.77,15.79,66.0,34.0,15.77433333,0.019999999999999574,4805.25,4809.0,4803.75,4806.0,33772.0,8131.0,4806.8,5.25,222.825,223.3,222.725,223.225,134.0,88.0,222.945,0.575000000000017,74.875,74.975,74.65,74.675,720.0,285.0,74.79172414,0.32499999999998863,638.25,639.0,637.25,638.25,456.0,230.0,637.95,1.75,171.3,171.55,171.275,171.5,360.0,147.0,171.39976974,0.2750000000000057,16956.75,16986.25,16955.25,16976.75,16638.0,9725.0,16973.325,31.0,2049.8,2054.1,2049.3,2051.9,4986.0,2664.0,2051.07,4.799999999999727,15.74,15.75,15.63,15.74,308.0,78.0,15.69352144,0.11999999999999922,472.75,472.75,471.75,472.0,5559.0,550.0,472.3,1.0,47.65,47.8,47.64,47.78,969.0,426.0,47.712,0.1599999999999966,386.6,387.1,386.2,386.6,774.0,296.0,386.65,0.9000000000000341,1300.5,1301.5,1299.5,1300.5,1203.0,442.0,1300.525,2.0,623.75,623.75,621.5,622.25,1567.0,417.0,622.55,2.25
2023-12-29 18:00:00+00:00,3.847,3.854,3.847,3.854,16.0,8.0,3.8498,0.007000000000000117,4.184,4.184,4.184,4.184,0.0,0.0,4.184,0.0,15.84,15.88,15.75,15.77,30.0,17.0,15.7805,0.13000000000000078,4806.0,4809.75,4799.5,4800.75,39693.0,9354.0,4804.275,10.25,223.25,223.575,223.175,223.5,107.0,79.0,223.3775,0.39999999999997726,74.675,75.675,74.675,75.475,1223.0,452.0,75.27172414,1.0,638.5,641.25,638.0,640.0,569.0,246.0,640.025,3.25,171.45,171.6,171.325,171.325,353.0,135.0,171.48338927,0.2750000000000057,16976.5,16992.75,16954.5,16955.75,15838.0,9177.0,16973.15,38.25,2051.9,2054.1,2048.8,2049.7,3874.0,2350.0,2051.14,5.299999999999727,15.7,15.75,15.68,15.73,340.0,78.0,15.71107449,0.07000000000000028,472.25,472.75,472.0,472.0,2065.0,363.0,472.425,0.75,47.77,47.99,47.77,47.9,836.0,399.0,47.896,0.21999999999999886,386.5,386.7,386.1,386.3,884.0,259.0,386.31,0.5999999999999659,1300.5,1301.75,1299.25,1299.75,1945.0,456.0,1300.45,2.5,622.5,624.5,622.0,623.25,821.0,258.0,623.575,2.5
