Date,Open,High,Low,Close,Volume,Barcount,Average
2023-12-29 01:00:00+00:00,3.832,3.838,3.832,3.835,13,6,3.8339
2023-12-29 01:15:00+00:00,3.838,3.838,3.838,3.838,3,1,3.838
2023-12-29 01:30:00+00:00,3.839,3.846,3.839,3.842,12,5,3.8432
2023-12-29 01:45:00+00:00,3.843,3.845,3.84,3.84,8,5,3.8424
2023-12-29 02:00:00+00:00,3.838,3.838,3.838,3.838,1,1,3.838
2023-12-29 02:15:00+00:00,3.838,3.838,3.838,3.838,0,0,3.838
2023-12-29 02:30:00+00:00,3.834,3.835,3.834,3.835,4,3,3.8342
2023-12-29 02:45:00+00:00,3.832,3.832,3.832,3.832,1,1,3.832
2023-12-29 03:00:00+00:00,3.831,3.831,3.831,3.831,1,1,3.831
2023-12-29 03:15:00+00:00,3.83,3.83,3.826,3.826,7,3,3.8266
2023-12-29 03:30:00+00:00,3.826,3.829,3.826,3.828,3,3,3.8277
2023-12-29 03:45:00+00:00,3.828,3.829,3.828,3.829,3,2,3.8283
2023-12-29 04:00:00+00:00,3.83,3.83,3.83,3.83,6,3,3.83
2023-12-29 04:15:00+00:00,3.832,3.832,3.832,3.832,1,1,3.832
2023-12-29 04:30:00+00:00,3.834,3.834,3.834,3.834,2,1,3.834
2023-12-29 04:45:00+00:00,3.834,3.834,3.831,3.833,5,5,3.8326
2023-12-29 05:00:00+00:00,3.836,3.836,3.836,3.836,1,1,3.836
2023-12-29 05:15:00+00:00,3.836,3.836,3.836,3.836,0,0,3.836
2023-12-29 05:30:00+00:00,3.836,3.836,3.836,3.836,0,0,3.836
2023-12-29 05:45:00+00:00,3.836,3.836,3.836,3.836,0,0,3.836
2023-12-29 06:00:00+00:00,3.836,3.836,3.836,3.836,2,1,3.836
2023-12-29 06:15:00+00:00,3.836,3.836,3.836,3.836,2,1,3.836
2023-12-29 06:30:00+00:00,3.836,3.836,3.832,3.832,4,2,3.835
2023-12-29 06:45:00+00:00,3.832,3.832,3.832,3.832,0,0,3.832
2023-12-29 07:00:00+00:00,3.832,3.832,3.832,3.832,0,0,3.832
2023-12-29 07:15:00+00:00,3.832,3.832,3.825,3.83,47,10,3.8287
2023-12-29 07:30:00+00:00,3.834,3.836,3.829,3.829,5,3,3.8334
2023-12-29 07:45:00+00:00,3.83,3.83,3.83,3.83,5,2,3.83
2023-12-29 08:00:00+00:00,3.829,3.829,3.829,3.829,1,1,3.829
2023-12-29 08:15:00+00:00,3.829,3.829,3.829,3.829,0,0,3.829
2023-12-29 08:30:00+00:00,3.829,3.829,3.829,3.829,0,0,3.829
2023-12-29 08:45:00+00:00,3.831,3.831,3.831,3.831,1,1,3.831
