date,open,high,low,close,volume,barCount,average
2023-09-29 02:00:00+00:00,4.562,4.565,4.562,4.564,22,8,4.56227454
2023-09-29 02:15:00+00:00,4.562,4.565,4.562,4.564,22,11,4.5627733
2023-09-29 02:30:00+00:00,4.565,4.572,4.565,4.569,38,32,4.56855894
2023-09-29 02:45:00+00:00,4.569,4.569,4.569,4.569,26,16,4.56865869
2023-09-29 03:00:00+00:00,4.573,4.573,4.567,4.571,5,4,4.57025473
2023-09-29 03:15:00+00:00,4.571,4.571,4.569,4.57,4,4,4.56985572
2023-09-29 03:30:00+00:00,4.571,4.578,4.571,4.576,22,14,4.57484333
2023-09-29 03:45:00+00:00,4.579,4.579,4.576,4.576,5,5,4.57683838
2023-09-29 04:00:00+00:00,4.574,4.58,4.574,4.575,9,7,4.57633962
2023-09-29 04:15:00+00:00,4.575,4.575,4.575,4.575,0,0,4.57464383
2023-09-29 04:30:00+00:00,4.578,4.58,4.577,4.577,7,4,4.57833467
2023-09-29 04:45:00+00:00,4.579,4.582,4.579,4.582,3,3,4.58062897
2023-09-29 05:00:00+00:00,4.583,4.584,4.583,4.584,10,4,4.58272377
2023-09-29 05:15:00+00:00,4.582,4.582,4.582,4.582,5,1,4.5816265
2023-09-29 05:30:00+00:00,4.582,4.582,4.578,4.578,3,2,4.57893318
2023-09-29 05:45:00+00:00,4.579,4.58,4.579,4.58,2,2,4.57913269
2023-09-29 06:00:00+00:00,4.572,4.578,4.572,4.578,6,5,4.57434457
2023-09-29 06:15:00+00:00,4.578,4.578,4.578,4.578,1,1,4.5776364
2023-09-29 06:30:00+00:00,4.576,4.576,4.576,4.576,1,1,4.57564135
2023-09-29 06:45:00+00:00,4.571,4.574,4.57,4.573,24,7,4.57165126
2023-09-29 07:00:00+00:00,4.566,4.566,4.563,4.563,17,4,4.56466859
2023-09-29 07:15:00+00:00,4.563,4.563,4.561,4.561,3,3,4.56167602
2023-09-29 07:30:00+00:00,4.56,4.563,4.557,4.563,12,7,4.55998023
2023-09-29 07:45:00+00:00,4.555,4.555,4.549,4.555,29,15,4.55110227
2023-09-29 08:00:00+00:00,4.556,4.557,4.554,4.556,6,6,4.55519212
2023-09-29 08:15:00+00:00,4.55,4.555,4.547,4.555,11,8,4.54950623
2023-09-29 08:30:00+00:00,4.55,4.552,4.539,4.54,68,19,4.54002976
2023-09-29 08:45:00+00:00,4.539,4.542,4.526,4.54,234,43,4.53733644
2023-09-29 09:00:00+00:00,4.54,4.541,4.537,4.537,14,13,4.53903223
2023-09-29 09:15:00+00:00,4.539,4.539,4.527,4.529,63,18,4.53424412
2023-09-29 09:30:00+00:00,4.526,4.53,4.525,4.529,14,10,4.52686244
2023-09-29 09:45:00+00:00,4.531,4.538,4.529,4.53,11,9,4.53035378
2023-09-29 10:00:00+00:00,4.53,4.533,4.529,4.529,14,6,4.52965551
2023-09-29 10:15:00+00:00,4.529,4.529,4.523,4.523,7,7,4.52636368
2023-09-29 10:30:00+00:00,4.523,4.523,4.523,4.523,0,0,4.5227726
2023-09-29 10:45:00+00:00,4.525,4.528,4.519,4.528,35,27,4.52247334
2023-09-29 11:00:00+00:00,4.532,4.532,4.522,4.522,28,11,4.52456814
2023-09-29 11:15:00+00:00,4.522,4.527,4.52,4.527,43,12,4.52157557
2023-09-29 11:30:00+00:00,4.529,4.535,4.529,4.529,24,16,4.53224907
2023-09-29 11:45:00+00:00,4.53,4.53,4.528,4.528,3,3,4.52875774
2023-09-29 12:00:00+00:00,4.526,4.531,4.523,4.523,16,9,4.52496715
2023-09-29 12:15:00+00:00,4.524,4.529,4.524,4.529,15,15,4.52825898
2023-09-29 12:30:00+00:00,4.529,4.534,4.529,4.531,7,6,4.53145105
2023-09-29 12:45:00+00:00,4.527,4.528,4.527,4.527,5,4,4.5269622
2023-09-29 13:00:00+00:00,4.534,4.541,4.533,4.541,49,33,4.53653842
2023-09-29 13:15:00+00:00,4.541,4.547,4.541,4.547,50,19,4.54272307
2023-09-29 13:30:00+00:00,4.549,4.56,4.544,4.547,73,35,4.5522993
2023-09-29 13:45:00+00:00,4.547,4.548,4.545,4.545,39,17,4.5462144
2023-09-29 14:00:00+00:00,4.546,4.546,4.527,4.527,24,12,4.53673793
2023-09-29 14:15:00+00:00,4.528,4.531,4.521,4.527,148,37,4.52496715
2023-09-29 14:30:00+00:00,4.521,4.54,4.509,4.509,173,64,4.51918151
2023-09-29 14:45:00+00:00,4.514,4.52,4.51,4.517,96,35,4.51469265
2023-09-29 15:00:00+00:00,4.515,4.521,4.505,4.505,83,35,4.5102038
2023-09-29 15:15:00+00:00,4.504,4.511,4.502,4.505,118,40,4.50551544
2023-09-29 15:30:00+00:00,4.504,4.51,4.49,4.51,260,106,4.49803401
2023-09-29 15:45:00+00:00,4.508,4.511,4.498,4.499,107,55,4.50431841
2023-09-29 16:00:00+00:00,4.505,4.515,4.496,4.515,160,57,4.50820875
2023-09-29 16:15:00+00:00,4.514,4.516,4.506,4.511,66,22,4.51349563
2023-09-29 16:30:00+00:00,4.51,4.516,4.502,4.506,68,28,4.51030355
2023-09-29 16:45:00+00:00,4.504,4.514,4.504,4.508,77,21,4.51120132
2023-09-29 17:00:00+00:00,4.511,4.528,4.511,4.521,61,35,4.51948077
2023-09-29 17:15:00+00:00,4.521,4.537,4.52,4.536,185,50,4.52895724
2023-09-29 17:30:00+00:00,4.537,4.554,4.537,4.552,138,59,4.54451861
2023-09-29 17:45:00+00:00,4.551,4.551,4.54,4.54,182,37,4.54511713
2023-09-29 18:00:00+00:00,4.541,4.548,4.541,4.548,62,27,4.54451861
2023-09-29 18:15:00+00:00,4.549,4.55,4.544,4.544,123,26,4.5481097
2023-09-29 18:30:00+00:00,4.545,4.548,4.539,4.539,135,23,4.54481787
2023-09-29 18:45:00+00:00,4.537,4.548,4.537,4.548,269,67,4.54112703
2023-09-29 19:00:00+00:00,4.55,4.559,4.548,4.553,118,35,4.5543941
2023-09-29 19:15:00+00:00,4.553,4.553,4.546,4.546,33,19,4.54970574
2023-09-29 19:30:00+00:00,4.543,4.549,4.542,4.549,37,11,4.54322183
2023-09-29 19:45:00+00:00,4.549,4.554,4.548,4.552,32,21,4.55050376
2023-09-29 20:00:00+00:00,4.55,4.55,4.545,4.546,73,24,4.54781044
2023-09-29 20:15:00+00:00,4.548,4.554,4.548,4.552,21,11,4.55000499
2023-09-29 20:30:00+00:00,4.551,4.555,4.55,4.555,189,9,4.55090277
2023-09-29 20:45:00+00:00,4.553,4.559,4.551,4.555,71,24,4.55349633
2023-09-29 21:00:00+00:00,4.558,4.573,4.556,4.567,114,34,4.56307255
2023-09-29 21:15:00+00:00,4.566,4.579,4.566,4.566,89,24,4.5734468
2023-09-29 21:30:00+00:00,4.57,4.572,4.558,4.558,43,16,4.56337181
2023-09-29 21:45:00+00:00,4.556,4.566,4.552,4.564,239,37,4.55589038
2023-09-29 22:00:00+00:00,4.555,4.565,4.555,4.565,32,9,4.56267355
2023-09-29 22:15:00+00:00,4.566,4.566,4.561,4.561,2,2,4.56317231
2023-09-29 22:30:00+00:00,4.561,4.562,4.561,4.562,10,5,4.56077825
2023-09-29 22:45:00+00:00,4.564,4.564,4.557,4.557,9,3,4.560878
2023-10-02 00:00:00+00:00,4.559,4.599,4.559,4.584,54,41,4.58441956
2023-10-02 00:15:00+00:00,4.58,4.586,4.58,4.586,3,2,4.58362154
2023-10-02 00:30:00+00:00,4.585,4.597,4.585,4.597,8,7,4.58870891
2023-10-02 00:45:00+00:00,4.597,4.597,4.591,4.591,15,9,4.59339728
2023-10-02 01:00:00+00:00,4.592,4.592,4.591,4.591,4,3,4.59110297
2023-10-02 01:15:00+00:00,4.591,4.591,4.591,4.591,3,2,4.59060421
2023-10-02 01:30:00+00:00,4.583,4.587,4.58,4.587,6,6,4.58212526
2023-10-02 01:45:00+00:00,4.584,4.59,4.584,4.584,29,11,4.58591585
2023-10-02 02:00:00+00:00,4.59,4.592,4.59,4.592,4,4,4.59060421
2023-10-02 02:15:00+00:00,4.591,4.599,4.591,4.597,74,12,4.59798589
2023-10-02 02:30:00+00:00,4.594,4.596,4.592,4.596,36,12,4.59309802
2023-10-02 02:45:00+00:00,4.594,4.599,4.594,4.596,194,13,4.59798589
2023-10-02 03:00:00+00:00,4.596,4.598,4.592,4.595,27,13,4.59409554
2023-10-02 03:15:00+00:00,4.598,4.599,4.598,4.599,2,2,4.59808564
2023-10-02 03:30:00+00:00,4.596,4.596,4.595,4.595,3,3,4.59489356
2023-10-02 03:45:00+00:00,4.595,4.595,4.595,4.595,1,1,4.5945943
