date,Open,High,Low,Close,Volume,Barcount,Average
2024-01-29 00:00:00+00:00,4.12,4.12,4.103,4.119,4,4,4.11477451
2024-01-29 00:15:00+00:00,4.119,4.119,4.115,4.115,24,3,4.11577404
2024-01-29 00:30:00+00:00,4.111,4.111,4.108,4.108,3,2,4.11007671
2024-01-29 00:45:00+00:00,4.114,4.114,4.114,4.114,1,1,4.11407484
2024-01-29 01:00:00+00:00,4.112,4.112,4.112,4.112,1,1,4.11207577
2024-01-29 01:15:00+00:00,4.112,4.112,4.112,4.112,0,0,4.11207577
2024-01-29 01:30:00+00:00,4.112,4.112,4.112,4.112,0,0,4.11207577
2024-01-29 01:45:00+00:00,4.112,4.112,4.112,4.112,1,1,4.11207577
2024-01-29 02:00:00+00:00,4.108,4.108,4.108,4.108,9,1,4.10807764
2024-01-29 02:15:00+00:00,4.109,4.109,4.109,4.109,1,1,4.10907717
2024-01-29 02:30:00+00:00,4.106,4.108,4.105,4.108,51,3,4.10547886
2024-01-29 02:45:00+00:00,4.105,4.105,4.103,4.103,2,2,4.10407951
2024-01-29 03:00:00+00:00,4.103,4.103,4.103,4.103,0,0,4.10307998
2024-01-29 03:15:00+00:00,4.11,4.11,4.109,4.109,9,2,4.10917713
2024-01-29 03:30:00+00:00,4.109,4.109,4.109,4.109,0,0,4.10907717
2024-01-29 03:45:00+00:00,4.108,4.108,4.108,4.108,1,1,4.10807764
2024-01-29 04:00:00+00:00,4.108,4.108,4.108,4.108,0,0,4.10807764
2024-01-29 04:15:00+00:00,4.108,4.108,4.108,4.108,0,0,4.10807764
2024-01-29 04:30:00+00:00,4.108,4.108,4.108,4.108,0,0,4.10807764
2024-01-29 04:45:00+00:00,4.108,4.108,4.108,4.108,1,1,4.10807764
2024-01-29 05:00:00+00:00,4.108,4.108,4.108,4.108,0,0,4.10807764
2024-01-29 05:15:00+00:00,4.108,4.108,4.108,4.108,0,0,4.10807764
2024-01-29 05:30:00+00:00,4.105,4.105,4.105,4.105,1,1,4.10507905
2024-01-29 05:45:00+00:00,4.102,4.102,4.102,4.102,1,1,4.10208045
2024-01-29 06:00:00+00:00,4.102,4.102,4.102,4.102,0,0,4.10208045
2024-01-29 06:15:00+00:00,4.103,4.103,4.103,4.103,1,1,4.10307998
2024-01-29 06:30:00+00:00,4.103,4.103,4.103,4.103,0,0,4.10307998
2024-01-29 06:45:00+00:00,4.103,4.103,4.103,4.103,0,0,4.10307998
2024-01-29 07:00:00+00:00,4.103,4.103,4.103,4.103,0,0,4.10307998
2024-01-29 07:15:00+00:00,4.102,4.102,4.097,4.102,12,9,4.09908185
2024-01-29 07:30:00+00:00,4.101,4.102,4.099,4.102,4,3,4.10088101
2024-01-29 07:45:00+00:00,4.098,4.1,4.098,4.099,3,3,4.09908185
2024-01-29 08:00:00+00:00,4.097,4.097,4.094,4.095,7,3,4.09478386
2024-01-29 08:15:00+00:00,4.095,4.095,4.093,4.093,3,2,4.09378433
2024-01-29 08:30:00+00:00,4.091,4.091,4.091,4.091,1,1,4.09108559
2024-01-29 08:45:00+00:00,4.091,4.091,4.089,4.089,6,3,4.0897862
2024-01-29 09:00:00+00:00,4.094,4.094,4.094,4.094,1,1,4.09408419
2024-01-29 09:15:00+00:00,4.098,4.098,4.098,4.098,1,1,4.09808232
2024-01-29 09:30:00+00:00,4.098,4.098,4.093,4.093,6,3,4.09708279
2024-01-29 09:45:00+00:00,4.093,4.093,4.093,4.093,0,0,4.09308466
2024-01-29 10:00:00+00:00,4.088,4.088,4.082,4.082,8,4,4.08668765
2024-01-29 10:15:00+00:00,4.081,4.083,4.079,4.079,9,4,4.0818899
2024-01-29 10:30:00+00:00,4.078,4.078,4.073,4.073,7,3,4.07519303
2024-01-29 10:45:00+00:00,4.073,4.073,4.073,4.073,19,3,4.07309401
2024-01-29 11:00:00+00:00,4.075,4.077,4.075,4.077,6,2,4.07539294
2024-01-29 11:15:00+00:00,4.075,4.075,4.072,4.073,5,4,4.07349383
2024-01-29 11:30:00+00:00,4.072,4.072,4.072,4.072,1,1,4.07209448
2024-01-29 11:45:00+00:00,4.071,4.071,4.071,4.071,2,1,4.07109495
2024-01-29 12:00:00+00:00,4.07,4.074,4.07,4.074,2,2,4.07209448
2024-01-29 12:15:00+00:00,4.078,4.079,4.078,4.079,5,3,4.07849149
2024-01-29 12:30:00+00:00,4.078,4.079,4.078,4.079,3,3,4.07839153
2024-01-29 12:45:00+00:00,4.078,4.078,4.076,4.076,2,2,4.07709214
2024-01-29 13:00:00+00:00,4.078,4.079,4.076,4.076,17,6,4.07779181
2024-01-29 13:15:00+00:00,4.081,4.081,4.081,4.081,3,2,4.08109027
2024-01-29 13:30:00+00:00,4.078,4.081,4.076,4.081,34,7,4.07809167
2024-01-29 13:45:00+00:00,4.086,4.087,4.083,4.087,5,4,4.08528831
2024-01-29 14:00:00+00:00,4.084,4.084,4.075,4.078,5,5,4.08029065
2024-01-29 14:15:00+00:00,4.083,4.083,4.077,4.078,22,4,4.07779181
2024-01-29 14:30:00+00:00,4.077,4.077,4.065,4.067,11,9,4.06769654
2024-01-29 14:45:00+00:00,4.073,4.074,4.069,4.074,14,5,4.0696956
2024-01-29 15:00:00+00:00,4.075,4.081,4.075,4.081,52,9,4.07829158
2024-01-29 15:15:00+00:00,4.078,4.083,4.078,4.083,3,2,4.07979088
2024-01-29 15:30:00+00:00,4.081,4.081,4.075,4.079,34,11,4.07709214
2024-01-29 15:45:00+00:00,4.081,4.086,4.081,4.084,23,10,4.08378901
2024-01-29 16:00:00+00:00,4.086,4.088,4.079,4.079,19,10,4.08368906
2024-01-29 16:15:00+00:00,4.089,4.095,4.089,4.095,3,3,4.0927848
2024-01-29 16:30:00+00:00,4.088,4.089,4.079,4.079,14,4,4.08119022
2024-01-29 16:45:00+00:00,4.081,4.083,4.081,4.083,3,2,4.08238966
2024-01-29 17:00:00+00:00,4.085,4.087,4.082,4.087,38,8,4.08568812
2024-01-29 17:15:00+00:00,4.082,4.082,4.079,4.079,4,3,4.0803906
2024-01-29 17:30:00+00:00,4.076,4.078,4.076,4.078,3,3,4.07709214
2024-01-29 17:45:00+00:00,4.075,4.075,4.075,4.075,1,1,4.07509308
2024-01-29 18:00:00+00:00,4.075,4.078,4.075,4.078,5,3,4.0756928
2024-01-29 18:15:00+00:00,4.078,4.078,4.078,4.078,0,0,4.07809167
2024-01-29 18:30:00+00:00,4.073,4.073,4.069,4.069,6,3,4.07209448
2024-01-29 18:45:00+00:00,4.065,4.066,4.065,4.066,11,3,4.06519771
2024-01-29 19:00:00+00:00,4.066,4.066,4.066,4.066,0,0,4.06609729
2024-01-29 19:15:00+00:00,4.071,4.072,4.069,4.07,7,5,4.07079509
2024-01-29 19:30:00+00:00,4.073,4.073,4.07,4.07,2,2,4.07159471
2024-01-29 19:45:00+00:00,4.072,4.074,4.072,4.072,14,4,4.07229439
2024-01-29 20:00:00+00:00,4.073,4.073,4.072,4.072,12,3,4.07229439
2024-01-29 20:15:00+00:00,4.073,4.073,4.073,4.073,1,1,4.07309401
2024-01-29 20:30:00+00:00,4.07,4.07,4.07,4.07,1,1,4.07009542
2024-01-29 20:45:00+00:00,4.066,4.066,4.066,4.066,1,1,4.06609729
2024-01-29 21:00:00+00:00,4.063,4.063,4.035,4.044,101,30,4.04890533
2024-01-29 21:15:00+00:00,4.045,4.045,4.036,4.038,8,7,4.03900996
2024-01-29 21:30:00+00:00,4.049,4.053,4.049,4.05,34,5,4.04930514
2024-01-29 21:45:00+00:00,4.049,4.049,4.049,4.049,2,1,4.04910524
2024-01-29 22:00:00+00:00,4.046,4.054,4.046,4.051,20,8,4.05160407
2024-01-29 22:15:00+00:00,4.051,4.051,4.051,4.051,0,0,4.0511043
2024-01-29 22:30:00+00:00,4.051,4.051,4.051,4.051,0,0,4.0511043
2024-01-29 22:45:00+00:00,4.048,4.048,4.046,4.046,30,2,4.04620659
2024-01-30 00:00:00+00:00,4.058,4.058,4.038,4.038,19,7,4.04040931
2024-01-30 00:15:00+00:00,4.038,4.038,4.038,4.038,0,0,4.03811038
