Date,Open,High,Low,Close,Volume,Barcount,Average
2024-03-28 01:00:00+00:00,4.174,4.174,4.174,4.174,0,0,4.17354167
2024-03-28 01:15:00+00:00,4.188,4.188,4.188,4.188,5,2,4.1875
2024-03-28 01:30:00+00:00,4.191,4.191,4.186,4.186,4,3,4.18899554
2024-03-28 01:45:00+00:00,4.192,4.192,4.188,4.188,2,2,4.18999256
2024-03-28 02:00:00+00:00,4.188,4.194,4.188,4.194,4,3,4.19218601
2024-03-28 02:15:00+00:00,4.189,4.189,4.189,4.189,1,1,4.18949405
2024-03-28 02:30:00+00:00,4.19,4.19,4.19,4.19,2,2,4.19049107
2024-03-28 02:45:00+00:00,4.19,4.196,4.189,4.196,10,7,4.19198661
2024-03-28 03:00:00+00:00,4.196,4.196,4.196,4.196,0,0,4.19647321
2024-03-28 03:15:00+00:00,4.196,4.196,4.196,4.196,0,0,4.19647321
2024-03-28 03:30:00+00:00,4.194,4.194,4.194,4.194,5,1,4.19447917
2024-03-28 03:45:00+00:00,4.194,4.194,4.194,4.194,0,0,4.19447917
2024-03-28 04:00:00+00:00,4.192,4.195,4.192,4.195,11,2,4.19278423
2024-03-28 04:15:00+00:00,4.189,4.189,4.189,4.189,1,1,4.18949405
2024-03-28 04:30:00+00:00,4.189,4.189,4.187,4.189,8,7,4.18859673
2024-03-28 04:45:00+00:00,4.188,4.194,4.188,4.194,7,6,4.19039137
2024-03-28 05:00:00+00:00,4.194,4.194,4.194,4.194,0,0,4.19447917
2024-03-28 05:15:00+00:00,4.188,4.188,4.188,4.188,2,2,4.18799851
2024-03-28 05:30:00+00:00,4.192,4.192,4.188,4.188,5,4,4.18989286
2024-03-28 05:45:00+00:00,4.192,4.193,4.192,4.193,3,2,4.19318304
2024-03-28 06:00:00+00:00,4.193,4.193,4.193,4.193,0,0,4.19348214
2024-03-28 06:15:00+00:00,4.192,4.192,4.192,4.192,1,1,4.19248512
2024-03-28 06:30:00+00:00,4.192,4.192,4.192,4.192,0,0,4.19248512
2024-03-28 06:45:00+00:00,4.186,4.192,4.186,4.191,10,6,4.19039137
2024-03-28 07:00:00+00:00,4.188,4.192,4.188,4.192,9,2,4.19208631
2024-03-28 07:15:00+00:00,4.192,4.192,4.192,4.192,0,0,4.19248512
2024-03-28 07:30:00+00:00,4.192,4.192,4.192,4.192,0,0,4.19248512
2024-03-28 07:45:00+00:00,4.192,4.192,4.192,4.192,0,0,4.19248512
2024-03-28 08:00:00+00:00,4.188,4.188,4.188,4.188,1,1,4.1875
