date,open,high,low,close,volume,barCount,average
2023-07-03 01:45:00+00:00,4.657,4.657,4.657,4.657,1,1,4.65658019
2023-07-03 02:00:00+00:00,4.657,4.657,4.657,4.657,0,0,4.65658019
2023-07-03 02:15:00+00:00,4.668,4.668,4.668,4.668,1,1,4.66825325
2023-07-03 02:30:00+00:00,4.668,4.668,4.668,4.668,0,0,4.66825325
2023-07-03 02:45:00+00:00,4.673,4.677,4.673,4.677,6,3,4.67428433
2023-07-03 03:00:00+00:00,4.677,4.677,4.677,4.677,0,0,4.67700805
2023-07-03 03:15:00+00:00,4.677,4.677,4.677,4.677,0,0,4.67700805
2023-07-03 03:30:00+00:00,4.668,4.668,4.663,4.666,7,4,4.6644595
2023-07-03 03:45:00+00:00,4.666,4.666,4.666,4.666,0,0,4.66630774
2023-07-03 04:00:00+00:00,4.666,4.666,4.666,4.666,0,0,4.66630774
2023-07-03 04:15:00+00:00,4.673,4.673,4.673,4.673,2,2,4.67311703
2023-07-03 04:30:00+00:00,4.673,4.673,4.673,4.673,1,1,4.67311703
2023-07-03 04:45:00+00:00,4.673,4.673,4.673,4.673,0,0,4.67311703
2023-07-03 05:00:00+00:00,4.673,4.673,4.673,4.673,0,0,4.67311703
2023-07-03 05:15:00+00:00,4.673,4.673,4.673,4.673,0,0,4.67311703
2023-07-03 05:30:00+00:00,4.677,4.677,4.677,4.677,1,1,4.67700805
2023-07-03 05:45:00+00:00,4.676,4.677,4.676,4.677,2,2,4.67652167
2023-07-03 06:00:00+00:00,4.677,4.677,4.677,4.677,0,0,4.67700805
2023-07-03 06:15:00+00:00,4.677,4.677,4.677,4.677,0,0,4.67700805
2023-07-03 06:30:00+00:00,4.677,4.677,4.677,4.677,2,1,4.67700805
2023-07-03 06:45:00+00:00,4.677,4.677,4.677,4.677,0,0,4.67700805
2023-07-03 07:00:00+00:00,4.677,4.677,4.677,4.677,0,0,4.67700805
2023-07-03 07:15:00+00:00,4.664,4.664,4.664,4.664,4,1,4.66436223
2023-07-03 07:30:00+00:00,4.664,4.664,4.664,4.664,0,0,4.66436223
2023-07-03 07:45:00+00:00,4.674,4.674,4.668,4.668,3,2,4.67019876
2023-07-03 08:00:00+00:00,4.668,4.668,4.668,4.668,0,0,4.66825325
2023-07-03 08:15:00+00:00,4.674,4.681,4.674,4.681,7,2,4.67603529
2023-07-03 08:30:00+00:00,4.681,4.681,4.681,4.681,0,0,4.68089907
2023-07-03 08:45:00+00:00,4.681,4.681,4.681,4.681,0,0,4.68089907
2023-07-03 09:00:00+00:00,4.684,4.686,4.684,4.686,2,2,4.68479009
2023-07-03 09:15:00+00:00,4.702,4.702,4.698,4.698,4,3,4.69938142
2023-07-03 09:30:00+00:00,4.713,4.713,4.713,4.713,1,1,4.713
2023-07-03 09:45:00+00:00,4.717,4.722,4.717,4.722,2,2,4.71932291
2023-07-03 10:00:00+00:00,4.716,4.716,4.716,4.716,4,2,4.71591827
2023-07-03 10:15:00+00:00,4.719,4.729,4.719,4.729,3,3,4.72340848
2023-07-03 10:30:00+00:00,4.729,4.729,4.729,4.729,0,0,4.72856409
2023-07-03 10:45:00+00:00,4.723,4.723,4.71,4.71,4,2,4.71640464
2023-07-03 11:00:00+00:00,4.716,4.716,4.713,4.713,5,3,4.71416731
2023-07-03 11:15:00+00:00,4.704,4.705,4.704,4.705,6,6,4.70492613
2023-07-03 11:30:00+00:00,4.705,4.705,4.705,4.705,0,0,4.70521796
2023-07-03 11:45:00+00:00,4.706,4.708,4.706,4.708,2,2,4.70716347
2023-07-03 12:00:00+00:00,4.708,4.708,4.708,4.708,0,0,4.70813622
2023-07-03 12:15:00+00:00,4.71,4.71,4.71,4.71,2,2,4.71008173
2023-07-03 12:30:00+00:00,4.718,4.719,4.718,4.719,6,2,4.71864198
2023-07-03 12:45:00+00:00,4.719,4.719,4.719,4.719,0,0,4.71883653
2023-07-03 13:00:00+00:00,4.719,4.719,4.719,4.719,0,0,4.71883653
2023-07-03 13:15:00+00:00,4.719,4.719,4.719,4.719,0,0,4.71883653
2023-07-03 13:30:00+00:00,4.726,4.726,4.726,4.726,1,1,4.72564582
2023-07-03 13:45:00+00:00,4.726,4.726,4.726,4.726,0,0,4.72564582
2023-07-03 14:00:00+00:00,4.713,4.713,4.713,4.713,3,2,4.713
2023-07-03 14:15:00+00:00,4.713,4.713,4.713,4.713,0,0,4.713
2023-07-03 14:30:00+00:00,4.697,4.697,4.695,4.695,3,2,4.69675498
2023-07-03 14:45:00+00:00,4.694,4.694,4.694,4.694,2,1,4.69354489
2023-07-03 15:00:00+00:00,4.693,4.694,4.693,4.694,3,3,4.69325307
2023-07-03 15:15:00+00:00,4.683,4.687,4.683,4.687,6,6,4.68459554
2023-07-03 15:30:00+00:00,4.68,4.689,4.68,4.68,9,6,4.68089907
2023-07-03 15:45:00+00:00,4.673,4.676,4.673,4.676,2,2,4.67457616
2023-07-03 16:00:00+00:00,4.67,4.67,4.639,4.649,12,9,4.65541288
