date,Open,High,Low,Close,Volume,Barcount,Average
2024-03-28 06:15:00+00:00,4.422,4.422,4.422,4.422,1,1,4.42158623
2024-03-28 06:30:00+00:00,4.422,4.422,4.422,4.422,0,0,4.42158623
2024-03-28 06:45:00+00:00,4.422,4.422,4.422,4.422,0,0,4.42158623
2024-03-28 07:00:00+00:00,4.423,4.423,4.423,4.423,1,1,4.42256903
2024-03-28 07:15:00+00:00,4.421,4.421,4.421,4.421,1,1,4.42060344
2024-03-28 07:30:00+00:00,4.421,4.421,4.421,4.421,0,0,4.42060344
2024-03-28 07:45:00+00:00,4.421,4.421,4.421,4.421,0,0,4.42060344
2024-03-28 08:00:00+00:00,4.423,4.423,4.423,4.423,1,1,4.42256903
2024-03-28 08:15:00+00:00,4.423,4.423,4.423,4.423,4,1,4.42256903
2024-03-28 08:30:00+00:00,4.423,4.423,4.423,4.423,0,0,4.42256903
2024-03-28 08:45:00+00:00,4.423,4.423,4.423,4.423,0,0,4.42256903
2024-03-28 09:00:00+00:00,4.423,4.423,4.423,4.423,0,0,4.42256903
2024-03-28 09:15:00+00:00,4.423,4.423,4.423,4.423,0,0,4.42256903
2024-03-28 09:30:00+00:00,4.446,4.447,4.446,4.447,2,2,4.44664746
2024-03-28 09:45:00+00:00,4.447,4.447,4.447,4.447,0,0,4.44713886
2024-03-28 10:00:00+00:00,4.447,4.447,4.447,4.447,0,0,4.44713886
2024-03-28 10:15:00+00:00,4.446,4.448,4.446,4.448,4,3,4.44713886
2024-03-28 10:30:00+00:00,4.448,4.448,4.448,4.448,0,0,4.44812165
2024-03-28 10:45:00+00:00,4.448,4.448,4.448,4.448,0,0,4.44812165
2024-03-28 11:00:00+00:00,4.448,4.448,4.448,4.448,0,0,4.44812165
2024-03-28 11:15:00+00:00,4.448,4.448,4.448,4.448,0,0,4.44812165
2024-03-28 11:30:00+00:00,4.448,4.448,4.448,4.448,0,0,4.44812165
2024-03-28 11:45:00+00:00,4.448,4.448,4.448,4.448,0,0,4.44812165
2024-03-28 12:00:00+00:00,4.448,4.448,4.448,4.448,0,0,4.44812165
2024-03-28 12:15:00+00:00,4.448,4.448,4.448,4.448,0,0,4.44812165
2024-03-28 12:30:00+00:00,4.447,4.447,4.445,4.445,3,3,4.44586122
2024-03-28 12:45:00+00:00,4.445,4.445,4.445,4.445,0,0,4.44517327
2024-03-28 13:00:00+00:00,4.445,4.445,4.445,4.445,0,0,4.44517327
2024-03-28 13:15:00+00:00,4.448,4.448,4.448,4.448,1,1,4.44812165
2024-03-28 13:30:00+00:00,4.45,4.451,4.447,4.447,4,3,4.4488096
2024-03-28 13:45:00+00:00,4.447,4.447,4.447,4.447,0,0,4.44713886
2024-03-28 14:00:00+00:00,4.442,4.452,4.442,4.452,3,3,4.44713886
2024-03-28 14:15:00+00:00,4.452,4.453,4.443,4.443,4,3,4.44792509
2024-03-28 14:30:00+00:00,4.459,4.46,4.45,4.46,9,6,4.45627883
2024-03-28 14:45:00+00:00,4.452,4.452,4.442,4.442,3,2,4.44546811
2024-03-28 15:00:00+00:00,4.423,4.43,4.423,4.43,2,2,4.4265002
2024-03-28 15:15:00+00:00,4.43,4.43,4.43,4.43,0,0,4.43043137
2024-03-28 15:30:00+00:00,4.423,4.423,4.423,4.423,1,1,4.42256903
2024-03-28 15:45:00+00:00,4.423,4.423,4.423,4.423,0,0,4.42256903
2024-03-28 16:00:00+00:00,4.431,4.431,4.431,4.431,1,1,4.43141417
2024-03-28 16:15:00+00:00,4.431,4.431,4.431,4.431,0,0,4.43141417
2024-03-28 16:30:00+00:00,4.431,4.431,4.431,4.431,0,0,4.43141417
2024-03-28 16:45:00+00:00,4.442,4.443,4.442,4.443,2,2,4.44271629
2024-03-28 17:00:00+00:00,4.442,4.443,4.442,4.443,3,2,4.44291285
2024-03-28 17:15:00+00:00,4.443,4.443,4.443,4.443,0,0,4.44320768
2024-03-28 17:30:00+00:00,4.443,4.443,4.443,4.443,0,0,4.44320768
2024-03-28 17:45:00+00:00,4.444,4.444,4.444,4.444,1,1,4.44419048
2024-03-28 18:00:00+00:00,4.447,4.449,4.447,4.449,3,3,4.44841649
2024-03-28 18:15:00+00:00,4.45,4.455,4.45,4.455,4,3,4.45224938
2024-03-28 18:30:00+00:00,4.441,4.441,4.441,4.441,1,1,4.4412421
2024-03-28 18:45:00+00:00,4.441,4.441,4.441,4.441,0,0,4.4412421
2024-03-28 19:00:00+00:00,4.457,4.457,4.457,4.457,1,1,4.45696679
2024-03-28 19:15:00+00:00,4.457,4.457,4.457,4.457,0,0,4.45696679
2024-03-28 19:30:00+00:00,4.457,4.457,4.457,4.457,0,0,4.45696679
2024-03-28 19:45:00+00:00,4.457,4.457,4.457,4.457,0,0,4.45696679
2024-03-28 20:00:00+00:00,4.457,4.457,4.457,4.457,2,1,4.45696679
2024-03-28 20:15:00+00:00,4.457,4.457,4.457,4.457,0,0,4.45696679
2024-03-28 20:30:00+00:00,4.457,4.457,4.457,4.457,0,0,4.45696679
2024-03-28 20:45:00+00:00,4.457,4.457,4.457,4.457,0,0,4.45696679
2024-03-28 21:00:00+00:00,4.457,4.457,4.457,4.457,0,0,4.45696679
2024-03-28 21:15:00+00:00,4.457,4.457,4.457,4.457,0,0,4.45696679
2024-03-28 21:30:00+00:00,4.457,4.457,4.457,4.457,0,0,4.45696679
2024-03-28 21:45:00+00:00,4.457,4.457,4.457,4.457,0,0,4.45696679
2024-04-01 00:30:00+00:00,4.416,4.416,4.415,4.415,6,3,4.41549292
