date,Open,High,Low,Close,Volume,Barcount,Average
2024-04-29 00:00:00+00:00,83.18,83.18,82.89,83.02,1195,599,83.01070635
2024-04-29 00:15:00+00:00,83.03,83.06,82.94,82.97,363,166,83.00772461
2024-04-29 00:30:00+00:00,82.98,83.01,82.93,82.94,415,224,82.96796805
2024-04-29 00:45:00+00:00,82.95,82.96,82.92,82.95,263,164,82.94212628
2024-04-29 01:00:00+00:00,82.96,82.99,82.92,82.98,212,114,82.95703499
2024-04-29 01:15:00+00:00,82.97,82.97,82.82,82.84,761,344,82.88249144
2024-04-29 01:30:00+00:00,82.84,82.86,82.81,82.82,173,103,82.83577748
2024-04-29 01:45:00+00:00,82.83,82.84,82.69,82.7,810,368,82.77415481
2024-04-29 02:00:00+00:00,82.72,82.8,82.69,82.76,855,437,82.73936782
2024-04-29 02:15:00+00:00,82.75,82.79,82.66,82.68,667,345,82.73042259
2024-04-29 02:30:00+00:00,82.68,82.76,82.66,82.69,554,269,82.71451997
2024-04-29 02:45:00+00:00,82.7,82.77,82.7,82.77,584,302,82.73141651
2024-04-29 03:00:00+00:00,82.77,82.77,82.46,82.47,2901,1552,82.5535059
2024-04-29 03:15:00+00:00,82.47,82.61,82.46,82.55,1209,645,82.52368847
2024-04-29 03:30:00+00:00,82.54,82.56,82.46,82.48,914,551,82.50579802
2024-04-29 03:45:00+00:00,82.48,82.57,82.47,82.56,618,365,82.51971282
2024-04-29 04:00:00+00:00,82.56,82.58,82.52,82.57,750,401,82.56046329
2024-04-29 04:15:00+00:00,82.57,82.65,82.53,82.64,632,272,82.59028072
2024-04-29 04:30:00+00:00,82.65,82.7,82.61,82.63,709,374,82.65886078
2024-04-29 04:45:00+00:00,82.64,82.65,82.58,82.63,245,147,82.62208596
2024-04-29 05:00:00+00:00,82.63,82.66,82.62,82.64,260,151,82.64395207
2024-04-29 05:15:00+00:00,82.64,82.68,82.61,82.62,377,238,82.64097033
2024-04-29 05:30:00+00:00,82.63,82.68,82.62,82.64,361,231,82.66283644
2024-04-29 05:45:00+00:00,82.65,82.67,82.63,82.67,188,110,82.65687296
2024-04-29 06:00:00+00:00,82.67,82.7,82.66,82.7,202,128,82.67873906
2024-04-29 06:15:00+00:00,82.69,82.71,82.65,82.66,290,135,82.68768429
2024-04-29 06:30:00+00:00,82.67,82.68,82.62,82.63,322,187,82.65389121
2024-04-29 06:45:00+00:00,82.64,82.68,82.63,82.65,203,135,82.65090947
2024-04-29 07:00:00+00:00,82.65,82.68,82.64,82.66,274,124,82.66482427
2024-04-29 07:15:00+00:00,82.66,82.68,82.64,82.65,281,131,82.66283644
2024-04-29 07:30:00+00:00,82.66,82.73,82.65,82.7,758,394,82.68768429
2024-04-29 07:45:00+00:00,82.7,82.73,82.67,82.71,217,120,82.70458083
2024-04-29 08:00:00+00:00,82.71,82.73,82.61,82.62,702,405,82.66979384
2024-04-29 08:15:00+00:00,82.62,82.74,82.61,82.68,719,449,82.68768429
2024-04-29 08:30:00+00:00,82.67,82.68,82.47,82.53,1828,914,82.5395911
2024-04-29 08:45:00+00:00,82.52,82.58,82.5,82.58,758,433,82.54754241
2024-04-29 09:00:00+00:00,82.58,82.58,82.48,82.53,1089,628,82.5256763
2024-04-29 09:15:00+00:00,82.54,82.64,82.51,82.61,993,574,82.57735983
2024-04-29 09:30:00+00:00,82.62,82.7,82.52,82.6,1615,928,82.62904336
2024-04-29 09:45:00+00:00,82.6,82.85,82.56,82.85,1875,938,82.73042259
2024-04-29 10:00:00+00:00,82.85,82.98,82.81,82.89,2208,1161,82.90634538
2024-04-29 10:15:00+00:00,82.89,82.95,82.79,82.94,1927,1076,82.88746101
2024-04-29 10:30:00+00:00,82.94,83.06,82.91,83.04,2022,983,83.0067307
2024-04-29 10:45:00+00:00,83.05,83.1,82.95,83.06,1354,721,83.04350552
2024-04-29 11:00:00+00:00,83.05,83.09,82.88,82.9,1361,721,83.00573678
2024-04-29 11:15:00+00:00,82.91,83.14,82.91,83.11,1209,666,83.0425116
2024-04-29 11:30:00+00:00,83.11,83.19,83.09,83.12,1288,683,83.14587866
2024-04-29 11:45:00+00:00,83.12,83.16,83.03,83.07,1661,919,83.10115253
2024-04-29 12:00:00+00:00,83.06,83.16,83.03,83.08,1036,630,83.10015862
2024-04-29 12:15:00+00:00,83.08,83.15,83.06,83.08,673,397,83.10810993
2024-04-29 12:30:00+00:00,83.09,83.23,83.07,83.16,1409,663,83.16078737
2024-04-29 12:45:00+00:00,83.16,83.2,83.11,83.19,669,378,83.15382997
2024-04-29 13:00:00+00:00,83.19,83.29,83.19,83.28,1373,653,83.24527006
2024-04-29 13:15:00+00:00,83.28,83.38,83.27,83.29,1634,789,83.32378927
2024-04-29 13:30:00+00:00,83.29,83.4,83.29,83.36,1509,764,83.35658844
2024-04-29 13:45:00+00:00,83.36,83.39,83.21,83.25,1758,984,83.28701445
2024-04-29 14:00:00+00:00,83.24,83.34,82.86,82.9,4821,2356,83.12301864
2024-04-29 14:15:00+00:00,82.9,82.93,82.66,82.67,4755,2089,82.78806961
2024-04-29 14:30:00+00:00,82.68,82.73,82.5,82.71,5684,2843,82.60717725
2024-04-29 14:45:00+00:00,82.71,82.83,82.63,82.74,3790,1751,82.72744085
2024-04-29 15:00:00+00:00,82.75,82.88,82.64,82.64,7947,4320,82.77514873
2024-04-29 15:15:00+00:00,82.65,82.86,82.64,82.82,3013,1635,82.77614264
2024-04-29 15:30:00+00:00,82.82,83.1,82.81,82.95,7351,3725,82.97393153
2024-04-29 15:45:00+00:00,82.95,83.1,82.9,82.92,3744,2069,83.01170027
2024-04-29 16:00:00+00:00,82.92,82.97,82.65,82.73,5529,2829,82.8019844
2024-04-29 16:15:00+00:00,82.73,82.93,82.42,82.54,8222,3993,82.66084861
2024-04-29 16:30:00+00:00,82.54,82.55,82.05,82.09,11767,5423,82.24340472
2024-04-29 16:45:00+00:00,82.1,82.25,82.06,82.1,5442,2811,82.15097071
2024-04-29 17:00:00+00:00,82.11,82.3,82.0,82.25,7012,3442,82.14500723
2024-04-29 17:15:00+00:00,82.25,82.3,82.06,82.11,6533,3425,82.16190377
2024-04-29 17:30:00+00:00,82.1,82.52,82.08,82.49,5325,2582,82.31695436
2024-04-29 17:45:00+00:00,82.5,82.57,82.37,82.48,3604,1896,82.46604146
2024-04-29 18:00:00+00:00,82.48,82.57,82.33,82.4,3784,2009,82.45411449
2024-04-29 18:15:00+00:00,82.4,82.69,82.39,82.61,4035,1779,82.5465485
2024-04-29 18:30:00+00:00,82.62,82.69,82.48,82.5,3009,1398,82.60021986
2024-04-29 18:45:00+00:00,82.5,82.55,82.42,82.48,1989,997,82.50182237
2024-04-29 19:00:00+00:00,82.48,82.53,82.4,82.49,2202,1061,82.47001712
2024-04-29 19:15:00+00:00,82.48,82.48,82.24,82.25,3407,1511,82.34577786
2024-04-29 19:30:00+00:00,82.25,82.29,82.11,82.12,2722,1199,82.17979422
2024-04-29 19:45:00+00:00,82.12,82.15,81.92,82.0,4927,1969,82.01679232
2024-04-29 20:00:00+00:00,82.01,82.09,81.9,81.92,4668,1991,81.9869749
2024-04-29 20:15:00+00:00,81.92,82.16,81.92,82.15,10317,4524,82.07642716
2024-04-29 20:30:00+00:00,82.15,82.2,82.11,82.15,4263,1500,82.15097071
2024-04-29 20:45:00+00:00,82.15,82.21,82.13,82.19,1376,587,82.16587942
2024-04-29 21:00:00+00:00,82.2,82.3,82.12,82.23,2559,807,82.2066299
2024-04-29 21:15:00+00:00,82.22,82.27,82.21,82.23,1348,624,82.2354534
2024-04-29 21:30:00+00:00,82.23,82.31,82.23,82.26,1010,514,82.263283
2024-04-29 21:45:00+00:00,82.26,82.28,82.18,82.21,1499,704,82.23445949
2024-04-29 22:00:00+00:00,82.22,82.27,82.19,82.23,383,214,82.22452035
2024-04-29 22:15:00+00:00,82.23,82.25,82.19,82.21,242,130,82.21855687
