Date,Open,High,Low,Close,Volume,Barcount,Average
2024-03-28 01:00:00+00:00,81.22,81.26,81.2,81.23,321,180,81.23516047
2024-03-28 01:15:00+00:00,81.23,81.26,81.22,81.25,201,104,81.24509835
2024-03-28 01:30:00+00:00,81.26,81.26,81.24,81.24,145,72,81.2490735
2024-03-28 01:45:00+00:00,81.24,81.33,81.22,81.32,395,203,81.27193061
2024-03-28 02:00:00+00:00,81.32,81.39,81.28,81.31,969,575,81.34845223
2024-03-28 02:15:00+00:00,81.31,81.36,81.26,81.3,454,222,81.32360755
2024-03-28 02:30:00+00:00,81.31,81.33,81.26,81.28,243,133,81.29280014
2024-03-28 02:45:00+00:00,81.28,81.33,81.25,81.27,194,129,81.2798809
2024-03-28 03:00:00+00:00,81.27,81.4,81.24,81.38,677,294,81.32957027
2024-03-28 03:15:00+00:00,81.38,81.45,81.37,81.43,616,300,81.42000492
2024-03-28 03:30:00+00:00,81.44,81.46,81.36,81.36,438,254,81.40708569
2024-03-28 03:45:00+00:00,81.36,81.45,81.35,81.43,214,134,81.41106084
2024-03-28 04:00:00+00:00,81.43,81.43,81.38,81.4,164,112,81.40509811
2024-03-28 04:15:00+00:00,81.41,81.46,81.39,81.42,461,253,81.42000492
2024-03-28 04:30:00+00:00,81.42,81.42,81.19,81.21,679,376,81.2957815
2024-03-28 04:45:00+00:00,81.2,81.24,81.17,81.18,564,270,81.21329715
2024-03-28 05:00:00+00:00,81.19,81.29,81.18,81.26,517,229,81.22721017
2024-03-28 05:15:00+00:00,81.26,81.26,81.14,81.18,751,429,81.18745868
2024-03-28 05:30:00+00:00,81.19,81.24,81.18,81.21,538,307,81.20634064
2024-03-28 05:45:00+00:00,81.22,81.24,81.16,81.23,335,168,81.20236549
2024-03-28 06:00:00+00:00,81.23,81.31,81.23,81.31,338,182,81.27491197
2024-03-28 06:15:00+00:00,81.3,81.35,81.28,81.35,304,158,81.31267589
2024-03-28 06:30:00+00:00,81.34,81.42,81.33,81.37,575,300,81.37727207
2024-03-28 06:45:00+00:00,81.37,81.37,81.3,81.3,312,172,81.33155785
2024-03-28 07:00:00+00:00,81.3,81.35,81.29,81.33,355,175,81.32460134
