date,Open,High,Low,Close,Volume,Barcount,Average
2024-04-16 00:00:00+00:00,2399.1,2404.7,2397.1,2404.4,1009,582,2400.64
2024-04-16 00:15:00+00:00,2404.5,2408.5,2402.3,2403.5,1586,861,2405.32
2024-04-16 00:30:00+00:00,2403.2,2403.2,2400.4,2401.3,720,432,2401.59
2024-04-16 00:45:00+00:00,2401.3,2402.1,2399.8,2400.7,499,310,2401.11
2024-04-16 01:00:00+00:00,2400.6,2403.7,2400.3,2402.7,623,346,2402.04
2024-04-16 01:15:00+00:00,2402.2,2402.4,2400.0,2401.2,427,256,2400.98
2024-04-16 01:30:00+00:00,2401.2,2401.3,2400.3,2400.7,482,210,2400.76
2024-04-16 01:45:00+00:00,2400.6,2400.7,2397.4,2398.4,942,554,2398.81
2024-04-16 02:00:00+00:00,2398.3,2398.3,2396.6,2397.8,1115,765,2397.31
2024-04-16 02:15:00+00:00,2397.6,2401.4,2397.3,2401.4,1627,929,2399.45
2024-04-16 02:30:00+00:00,2401.5,2404.1,2401.1,2403.6,2083,1116,2402.78
2024-04-16 02:45:00+00:00,2403.6,2403.8,2399.2,2400.0,2906,1290,2401.73
2024-04-16 03:00:00+00:00,2399.8,2403.5,2397.5,2397.5,3423,2100,2399.97
2024-04-16 03:15:00+00:00,2397.6,2400.8,2395.6,2398.5,2506,1554,2398.36
2024-04-16 03:30:00+00:00,2398.6,2399.2,2396.5,2397.5,956,603,2397.79
2024-04-16 03:45:00+00:00,2397.4,2401.0,2397.2,2400.2,1164,647,2399.33
2024-04-16 04:00:00+00:00,2400.3,2401.2,2397.3,2397.8,789,548,2399.33
2024-04-16 04:15:00+00:00,2397.7,2399.8,2397.7,2398.3,425,288,2398.8
2024-04-16 04:30:00+00:00,2398.4,2401.4,2396.0,2399.8,1558,993,2398.44
2024-04-16 04:45:00+00:00,2399.9,2404.5,2399.8,2402.6,2259,1168,2402.68
2024-04-16 05:00:00+00:00,2402.4,2403.7,2400.8,2403.5,889,585,2402.15
2024-04-16 05:15:00+00:00,2403.7,2405.9,2402.1,2405.8,1558,883,2404.29
2024-04-16 05:30:00+00:00,2405.9,2405.9,2403.1,2403.7,1164,578,2404.14
2024-04-16 05:45:00+00:00,2403.9,2404.8,2402.2,2404.5,1675,791,2403.77
2024-04-16 06:00:00+00:00,2404.5,2404.8,2400.7,2402.7,1850,1163,2403.2
2024-04-16 06:15:00+00:00,2402.6,2403.6,2401.4,2403.2,681,476,2402.54
2024-04-16 06:30:00+00:00,2403.2,2403.3,2400.3,2400.7,761,454,2401.46
2024-04-16 06:45:00+00:00,2400.7,2402.6,2400.3,2402.4,1501,809,2401.39
2024-04-16 07:00:00+00:00,2402.5,2405.3,2402.5,2404.0,802,487,2404.03
2024-04-16 07:15:00+00:00,2403.8,2404.6,2403.0,2403.9,608,410,2403.65
2024-04-16 07:30:00+00:00,2403.6,2404.6,2401.1,2401.4,1018,680,2402.68
2024-04-16 07:45:00+00:00,2401.5,2403.8,2401.1,2402.5,781,495,2402.58
2024-04-16 08:00:00+00:00,2402.5,2404.3,2400.9,2401.5,1527,975,2402.67
2024-04-16 08:15:00+00:00,2401.5,2403.3,2396.7,2397.6,1764,1196,2400.09
2024-04-16 08:30:00+00:00,2397.5,2397.7,2384.8,2386.3,7941,4662,2392.02
2024-04-16 08:45:00+00:00,2386.4,2390.1,2386.3,2389.1,4138,2554,2388.29
2024-04-16 09:00:00+00:00,2389.1,2391.5,2388.1,2388.5,2389,1427,2389.84
2024-04-16 09:15:00+00:00,2388.4,2389.9,2384.8,2387.6,3004,1743,2387.58
2024-04-16 09:30:00+00:00,2387.6,2389.2,2386.3,2387.8,2451,1348,2387.57
2024-04-16 09:45:00+00:00,2387.8,2388.7,2379.2,2381.9,4168,2365,2383.18
2024-04-16 10:00:00+00:00,2381.9,2384.6,2381.3,2384.4,2872,1653,2383.1
2024-04-16 10:15:00+00:00,2384.3,2386.9,2384.0,2386.2,1584,1018,2385.54
2024-04-16 10:30:00+00:00,2386.2,2388.1,2386.1,2386.9,1471,862,2387.21
2024-04-16 10:45:00+00:00,2386.8,2386.9,2384.8,2385.6,1390,891,2385.8
2024-04-16 11:00:00+00:00,2385.7,2388.0,2385.4,2387.5,1288,840,2386.78
2024-04-16 11:15:00+00:00,2387.6,2388.0,2383.6,2383.9,1768,973,2385.44
2024-04-16 11:30:00+00:00,2383.9,2387.3,2383.7,2386.8,1288,750,2385.77
2024-04-16 11:45:00+00:00,2386.9,2389.4,2385.7,2388.3,1278,736,2387.69
2024-04-16 12:00:00+00:00,2388.5,2391.7,2387.3,2390.7,2328,1248,2390.1
2024-04-16 12:15:00+00:00,2390.8,2391.0,2386.2,2386.3,2903,1403,2388.54
2024-04-16 12:30:00+00:00,2386.2,2387.9,2384.8,2385.8,4035,2118,2386.29
2024-04-16 12:45:00+00:00,2385.8,2387.1,2385.3,2386.4,1175,743,2386.17
2024-04-16 13:00:00+00:00,2386.4,2391.3,2385.9,2388.3,2816,1582,2388.81
2024-04-16 13:15:00+00:00,2388.2,2388.9,2386.7,2387.3,792,566,2387.73
2024-04-16 13:30:00+00:00,2387.4,2390.1,2386.3,2388.5,2194,1176,2388.34
2024-04-16 13:45:00+00:00,2388.6,2391.6,2388.6,2390.4,1745,1044,2390.5
2024-04-16 14:00:00+00:00,2390.5,2391.3,2387.8,2391.0,2040,1181,2389.53
2024-04-16 14:15:00+00:00,2391.1,2391.8,2384.7,2388.0,4963,2751,2387.44
2024-04-16 14:30:00+00:00,2388.2,2393.1,2387.2,2392.5,4130,2509,2390.2
2024-04-16 14:45:00+00:00,2392.6,2394.6,2390.1,2392.5,3189,1870,2391.86
2024-04-16 15:00:00+00:00,2392.6,2393.1,2386.8,2388.3,5175,3148,2389.67
2024-04-16 15:15:00+00:00,2388.2,2395.6,2388.1,2394.9,5301,3140,2392.29
2024-04-16 15:30:00+00:00,2394.8,2394.8,2385.8,2391.9,10842,7341,2390.76
2024-04-16 15:45:00+00:00,2391.7,2394.8,2381.7,2382.7,9485,5945,2387.81
2024-04-16 16:00:00+00:00,2382.6,2387.9,2381.2,2386.3,9572,5418,2384.6
2024-04-16 16:15:00+00:00,2386.4,2388.3,2379.6,2383.0,11399,6364,2384.07
2024-04-16 16:30:00+00:00,2382.7,2391.2,2382.6,2389.8,9609,4697,2386.86
2024-04-16 16:45:00+00:00,2389.7,2399.8,2389.5,2399.6,8811,4717,2395.52
2024-04-16 17:00:00+00:00,2399.4,2409.8,2398.7,2401.9,13122,7013,2405.18
2024-04-16 17:15:00+00:00,2401.9,2404.1,2394.3,2396.2,8660,5120,2399.11
2024-04-16 17:30:00+00:00,2396.4,2403.1,2394.9,2400.3,5068,3259,2399.72
2024-04-16 17:45:00+00:00,2400.3,2404.6,2397.7,2402.6,3923,2431,2401.06
2024-04-16 18:00:00+00:00,2402.5,2408.1,2402.1,2404.4,6276,3349,2405.41
2024-04-16 18:15:00+00:00,2404.4,2407.9,2404.3,2405.6,2418,1395,2405.77
2024-04-16 18:30:00+00:00,2405.5,2411.0,2405.4,2408.9,4034,2287,2408.22
2024-04-16 18:45:00+00:00,2408.9,2414.8,2408.9,2414.0,5891,3312,2412.71
2024-04-16 19:00:00+00:00,2414.0,2414.2,2405.7,2407.0,5923,3251,2409.68
2024-04-16 19:15:00+00:00,2407.0,2409.1,2402.4,2406.2,6956,3649,2406.75
2024-04-16 19:30:00+00:00,2406.3,2406.8,2399.6,2403.4,8005,4902,2402.91
2024-04-16 19:45:00+00:00,2403.5,2406.1,2396.3,2401.4,6334,3340,2400.42
2024-04-16 20:00:00+00:00,2401.3,2413.1,2400.1,2407.3,5676,3314,2407.77
2024-04-16 20:15:00+00:00,2407.4,2407.8,2402.7,2405.8,3792,2376,2405.09
2024-04-16 20:30:00+00:00,2405.9,2410.0,2403.7,2409.1,6688,3441,2406.81
2024-04-16 20:45:00+00:00,2408.9,2410.1,2407.8,2409.0,1358,893,2409.05
2024-04-16 21:00:00+00:00,2408.9,2410.9,2408.2,2409.7,1507,1040,2409.41
2024-04-16 21:15:00+00:00,2409.5,2412.0,2409.3,2411.2,1265,818,2410.64
2024-04-16 21:30:00+00:00,2411.3,2411.6,2405.7,2407.3,2001,1283,2407.62
2024-04-16 21:45:00+00:00,2407.2,2408.6,2405.7,2406.4,1546,1021,2406.66
2024-04-16 22:00:00+00:00,2406.3,2407.0,2405.1,2405.8,581,358,2406.09
2024-04-16 22:15:00+00:00,2405.7,2405.7,2401.5,2402.1,771,465,2403.68
2024-04-16 22:30:00+00:00,2402.0,2402.8,2399.1,2400.8,1306,530,2400.81
2024-04-16 22:45:00+00:00,2400.8,2401.2,2395.2,2399.5,1405,731,2398.66
2024-04-17 00:00:00+00:00,2398.0,2401.9,2397.8,2400.8,829,473,2400.0
2024-04-17 00:15:00+00:00,2400.9,2403.3,2400.5,2401.8,352,251,2401.95
2024-04-17 00:30:00+00:00,2401.7,2401.8,2399.7,2400.2,440,291,2400.69
2024-04-17 00:45:00+00:00,2400.1,2401.3,2398.9,2401.2,274,202,2400.0
2024-04-17 01:00:00+00:00,2401.3,2403.1,2400.7,2400.9,1152,575,2401.66
2024-04-17 01:15:00+00:00,2401.1,2401.2,2399.3,2400.2,1580,741,2400.17
2024-04-17 01:30:00+00:00,2400.4,2401.4,2400.2,2400.5,449,246,2400.72
2024-04-17 01:45:00+00:00,2400.5,2400.7,2398.6,2398.8,1931,986,2400.07
2024-04-17 02:00:00+00:00,2398.9,2399.6,2397.2,2397.7,998,654,2398.08
2024-04-17 02:15:00+00:00,2398.0,2400.9,2397.6,2398.1,1093,719,2399.27
2024-04-17 02:30:00+00:00,2398.1,2399.4,2397.3,2398.1,792,460,2398.24
2024-04-17 02:45:00+00:00,2398.1,2400.9,2396.9,2400.6,3202,1526,2398.51
2024-04-17 03:00:00+00:00,2400.7,2401.8,2398.6,2400.0,6312,3093,2400.04
2024-04-17 03:15:00+00:00,2400.0,2400.8,2397.5,2398.0,1476,940,2398.59
2024-04-17 03:30:00+00:00,2398.5,2399.4,2397.7,2398.8,819,593,2398.63
2024-04-17 03:45:00+00:00,2398.8,2401.5,2398.0,2400.8,892,584,2399.94
2024-04-17 04:00:00+00:00,2400.9,2401.0,2399.6,2400.8,536,389,2400.22
2024-04-17 04:15:00+00:00,2400.9,2402.3,2399.8,2401.2,1148,779,2401.07
2024-04-17 04:30:00+00:00,2401.3,2402.2,2400.0,2400.3,465,305,2401.1
2024-04-17 04:45:00+00:00,2400.4,2400.4,2398.5,2398.6,632,406,2399.6
2024-04-17 05:00:00+00:00,2398.5,2399.9,2398.2,2398.9,488,386,2399.03
2024-04-17 05:15:00+00:00,2398.9,2399.2,2397.2,2397.6,1222,764,2398.02
2024-04-17 05:30:00+00:00,2397.7,2399.1,2397.0,2398.0,879,627,2397.96
2024-04-17 05:45:00+00:00,2397.9,2399.1,2397.9,2397.9,419,295,2398.46
2024-04-17 06:00:00+00:00,2397.8,2398.4,2397.4,2397.9,303,198,2397.83
2024-04-17 06:15:00+00:00,2397.6,2399.2,2397.3,2398.3,327,244,2398.55
2024-04-17 06:30:00+00:00,2398.2,2398.3,2396.4,2397.7,520,391,2397.37
2024-04-17 06:45:00+00:00,2397.8,2398.3,2397.1,2398.0,333,267,2397.63
2024-04-17 07:00:00+00:00,2398.1,2398.1,2396.6,2397.4,262,190,2397.38
2024-04-17 07:15:00+00:00,2397.3,2397.5,2394.3,2395.7,856,498,2395.72
2024-04-17 07:30:00+00:00,2395.7,2396.6,2390.1,2393.4,2363,1507,2392.89
2024-04-17 07:45:00+00:00,2393.6,2394.4,2391.5,2393.8,1128,763,2392.87
2024-04-17 08:00:00+00:00,2393.9,2394.3,2390.7,2391.2,2061,1334,2392.22
2024-04-17 08:15:00+00:00,2391.3,2394.0,2389.0,2392.5,2205,1428,2391.35
2024-04-17 08:30:00+00:00,2392.6,2394.5,2392.2,2393.6,1397,916,2393.26
2024-04-17 08:45:00+00:00,2393.4,2397.9,2393.2,2397.3,1488,964,2396.01
2024-04-17 09:00:00+00:00,2397.3,2397.4,2395.0,2395.2,1117,737,2396.32
2024-04-17 09:15:00+00:00,2395.2,2397.2,2394.3,2397.0,1310,844,2395.66
2024-04-17 09:30:00+00:00,2396.9,2396.9,2394.0,2396.0,1623,1027,2395.22
2024-04-17 09:45:00+00:00,2396.0,2399.4,2395.4,2398.7,1568,888,2398.32
2024-04-17 10:00:00+00:00,2398.8,2401.4,2398.8,2399.7,2380,1403,2400.12
2024-04-17 10:15:00+00:00,2399.7,2405.2,2399.6,2404.7,3142,1733,2402.41
2024-04-17 10:30:00+00:00,2404.6,2407.5,2403.5,2406.1,3213,1624,2405.94
2024-04-17 10:45:00+00:00,2406.1,2409.8,2406.0,2409.0,1795,966,2407.68
2024-04-17 11:00:00+00:00,2409.1,2410.6,2406.0,2410.0,3527,2042,2408.39
2024-04-17 11:15:00+00:00,2409.9,2410.3,2408.4,2409.5,2169,1218,2409.46
2024-04-17 11:30:00+00:00,2409.5,2410.0,2407.1,2407.4,1701,1017,2408.64
2024-04-17 11:45:00+00:00,2407.2,2409.7,2406.8,2408.3,1563,1019,2408.43
