Date,Open,High,Low,Close,Volume,Barcount,Average
2023-05-02 15:30:00+00:00,89.425,90.35,88.975,90.225,2348,1099,89.75494135
2023-05-02 15:45:00+00:00,90.225,90.425,90.025,90.125,826,374,90.27145161
2023-05-02 16:00:00+00:00,90.1,90.1,89.55,89.675,730,348,89.78502933
2023-05-02 16:15:00+00:00,89.65,90.15,89.425,89.925,537,276,89.81010264
2023-05-02 16:30:00+00:00,89.9,90.35,89.875,90.2,567,262,90.08841642
2023-05-02 16:45:00+00:00,90.2,90.25,89.9,89.925,229,145,90.05080645
2023-05-02 17:00:00+00:00,89.95,90.0,89.625,89.65,314,190,89.78252199
2023-05-02 17:15:00+00:00,89.65,89.9,89.625,89.8,226,144,89.76246334
2023-05-02 17:30:00+00:00,89.75,89.75,89.225,89.45,637,314,89.44152493
2023-05-02 17:45:00+00:00,89.425,89.625,89.35,89.575,241,134,89.4791349
2023-05-02 18:00:00+00:00,89.6,89.75,89.55,89.625,292,134,89.67219941
2023-05-02 18:15:00+00:00,89.6,89.75,89.525,89.575,172,86,89.64211144
2023-05-02 18:30:00+00:00,89.575,89.625,89.5,89.575,139,64,89.56438416
2023-05-02 18:45:00+00:00,89.575,89.65,89.45,89.5,143,87,89.56939883
2023-05-02 19:00:00+00:00,89.525,89.575,89.375,89.45,148,81,89.48665689
2023-05-02 19:15:00+00:00,89.425,89.475,89.325,89.45,197,90,89.40140762
2023-05-02 19:30:00+00:00,89.45,90.175,89.425,90.05,904,426,89.91290323
2023-05-02 19:45:00+00:00,90.05,90.275,90.0,90.225,1912,772,90.19121701
2023-05-02 20:00:00+00:00,90.25,90.275,90.125,90.275,532,144,90.18870968
2023-05-03 15:30:00+00:00,90.3,91.325,90.3,90.925,2453,1059,90.95344575
2023-05-03 15:45:00+00:00,90.95,91.125,90.75,91.0,870,439,90.97099707
2023-05-03 16:00:00+00:00,91.05,91.225,90.6,90.8,649,326,90.94090909
2023-05-03 16:15:00+00:00,90.825,90.875,90.375,90.475,559,282,90.61495601
2023-05-03 16:30:00+00:00,90.475,90.8,90.4,90.525,493,250,90.60743402
2023-05-03 16:45:00+00:00,90.5,90.625,90.025,90.025,494,294,90.33162757
2023-05-03 17:00:00+00:00,90.025,90.2,89.825,90.025,505,297,89.97057185
2023-05-03 17:15:00+00:00,90.025,90.075,89.7,89.825,393,184,89.88782991
2023-05-03 17:30:00+00:00,89.8,90.075,89.675,89.875,440,225,89.82765396
2023-05-03 17:45:00+00:00,89.9,90.05,89.1,89.2,909,381,89.5593695
2023-05-03 18:00:00+00:00,89.2,89.625,89.05,89.35,671,295,89.32368035
2023-05-03 18:15:00+00:00,89.375,89.425,88.35,88.425,1525,601,88.67929619
2023-05-03 18:30:00+00:00,88.45,88.65,88.4,88.5,535,291,88.51631965
2023-05-03 18:45:00+00:00,88.475,88.625,88.45,88.525,288,151,88.52384164
2023-05-03 19:00:00+00:00,88.525,88.625,88.45,88.6,224,130,88.55142229
2023-05-03 19:15:00+00:00,88.625,88.85,88.5,88.525,301,151,88.69935484
2023-05-03 19:30:00+00:00,88.5,88.55,88.125,88.475,812,353,88.35835777
2023-05-03 19:45:00+00:00,88.475,88.525,88.125,88.225,1873,735,88.29065982
2023-05-03 20:00:00+00:00,88.25,88.4,88.125,88.4,447,146,88.25806452
