Date,Open,High,Low,Close,Volume,Barcount,Average
2023-12-29 01:00:00+00:00,3.9125,3.9145,3.912,3.914,104,58,3.9136
2023-12-29 01:15:00+00:00,3.914,3.9165,3.914,3.916,134,75,3.91575
2023-12-29 01:30:00+00:00,3.916,3.916,3.915,3.9155,122,69,3.91565
2023-12-29 01:45:00+00:00,3.9155,3.9195,3.9155,3.918,384,137,3.9181
2023-12-29 02:00:00+00:00,3.9175,3.92,3.9155,3.917,1489,742,3.9173
2023-12-29 02:15:00+00:00,3.917,3.9225,3.917,3.9205,805,375,3.9209
2023-12-29 02:30:00+00:00,3.9205,3.928,3.9205,3.9275,546,294,3.9249
2023-12-29 02:45:00+00:00,3.927,3.927,3.9225,3.9255,335,215,3.9248
2023-12-29 03:00:00+00:00,3.925,3.93,3.925,3.9265,442,276,3.9278
2023-12-29 03:15:00+00:00,3.927,3.9275,3.925,3.926,179,97,3.92645
2023-12-29 03:30:00+00:00,3.926,3.926,3.921,3.924,462,240,3.9228
2023-12-29 03:45:00+00:00,3.924,3.925,3.9215,3.922,233,136,3.9235
2023-12-29 04:00:00+00:00,3.922,3.9235,3.9215,3.9215,219,138,3.92225
2023-12-29 04:15:00+00:00,3.921,3.925,3.9205,3.921,404,236,3.9223
2023-12-29 04:30:00+00:00,3.921,3.922,3.9205,3.921,45,33,3.92125
2023-12-29 04:45:00+00:00,3.921,3.9225,3.921,3.922,51,37,3.92165
2023-12-29 05:00:00+00:00,3.922,3.9225,3.9215,3.922,67,50,3.92195
2023-12-29 05:15:00+00:00,3.9215,3.9215,3.9205,3.921,65,48,3.92105
2023-12-29 05:30:00+00:00,3.921,3.924,3.921,3.923,75,58,3.9227
2023-12-29 05:45:00+00:00,3.9225,3.9245,3.9225,3.9235,71,44,3.9233
2023-12-29 06:00:00+00:00,3.924,3.924,3.922,3.922,89,59,3.92295
2023-12-29 06:15:00+00:00,3.922,3.9265,3.922,3.926,117,71,3.92465
2023-12-29 06:30:00+00:00,3.926,3.9265,3.9225,3.9245,583,332,3.92485
2023-12-29 06:45:00+00:00,3.925,3.929,3.925,3.9285,218,136,3.92765
2023-12-29 07:00:00+00:00,3.929,3.9315,3.9285,3.9295,490,261,3.9301
2023-12-29 07:15:00+00:00,3.9295,3.9315,3.9295,3.9315,197,107,3.93085
2023-12-29 07:30:00+00:00,3.9315,3.933,3.9305,3.9325,431,199,3.93175
2023-12-29 07:45:00+00:00,3.9325,3.9325,3.929,3.93,452,232,3.93045
2023-12-29 08:00:00+00:00,3.93,3.933,3.93,3.932,210,137,3.93165
2023-12-29 08:15:00+00:00,3.932,3.9355,3.9315,3.9315,302,139,3.9334
2023-12-29 08:30:00+00:00,3.9315,3.935,3.931,3.9345,340,205,3.9328
2023-12-29 08:45:00+00:00,3.9345,3.9345,3.9305,3.931,270,147,3.932
2023-12-29 09:00:00+00:00,3.931,3.9325,3.927,3.9325,559,344,3.9298
2023-12-29 09:15:00+00:00,3.9325,3.935,3.93,3.932,423,245,3.9324
2023-12-29 09:30:00+00:00,3.932,3.933,3.9235,3.925,436,267,3.92795
2023-12-29 09:45:00+00:00,3.9255,3.93,3.925,3.9285,241,162,3.92675
2023-12-29 10:00:00+00:00,3.9285,3.931,3.9235,3.927,612,382,3.9269
2023-12-29 10:15:00+00:00,3.9265,3.931,3.922,3.9235,382,261,3.92565
2023-12-29 10:30:00+00:00,3.924,3.9255,3.9215,3.922,256,170,3.92365
2023-12-29 10:45:00+00:00,3.922,3.922,3.9165,3.9175,368,222,3.9195
2023-12-29 11:00:00+00:00,3.917,3.9185,3.9115,3.914,1000,410,3.91455
2023-12-29 11:15:00+00:00,3.914,3.914,3.907,3.9115,957,519,3.9113
2023-12-29 11:30:00+00:00,3.9115,3.9125,3.908,3.909,429,277,3.9104
2023-12-29 11:45:00+00:00,3.9085,3.9145,3.9075,3.912,525,210,3.9113
2023-12-29 12:00:00+00:00,3.912,3.915,3.9115,3.913,269,164,3.9135
2023-12-29 12:15:00+00:00,3.9135,3.916,3.913,3.914,336,202,3.9145
2023-12-29 12:30:00+00:00,3.9145,3.9165,3.913,3.913,219,154,3.91505
2023-12-29 12:45:00+00:00,3.9135,3.9145,3.9115,3.912,272,175,3.91285
2023-12-29 13:00:00+00:00,3.9125,3.9125,3.9065,3.907,469,263,3.90875
2023-12-29 13:15:00+00:00,3.9065,3.907,3.9035,3.906,574,316,3.90515
2023-12-29 13:30:00+00:00,3.906,3.9075,3.8955,3.901,2133,1127,3.90045
2023-12-29 13:45:00+00:00,3.901,3.905,3.9005,3.9045,713,419,3.90335
2023-12-29 14:00:00+00:00,3.9045,3.9115,3.8985,3.901,2078,887,3.9064
2023-12-29 14:15:00+00:00,3.9005,3.9035,3.8975,3.9015,930,514,3.90085
2023-12-29 14:30:00+00:00,3.9015,3.9015,3.895,3.897,880,498,3.89805
2023-12-29 14:45:00+00:00,3.897,3.898,3.8885,3.893,1587,790,3.89195
2023-12-29 15:00:00+00:00,3.893,3.896,3.878,3.885,2490,1178,3.8842
2023-12-29 15:15:00+00:00,3.8845,3.8935,3.8805,3.8935,1534,798,3.88735
2023-12-29 15:30:00+00:00,3.8935,3.901,3.8885,3.901,1797,925,3.8951
2023-12-29 15:45:00+00:00,3.901,3.904,3.8995,3.904,1489,800,3.90165
2023-12-29 16:00:00+00:00,3.904,3.905,3.89,3.8915,1361,643,3.8983
2023-12-29 16:15:00+00:00,3.891,3.902,3.89,3.901,887,506,3.896
2023-12-29 16:30:00+00:00,3.901,3.9025,3.8955,3.8955,941,559,3.89975
2023-12-29 16:45:00+00:00,3.8955,3.8965,3.8865,3.8885,1218,656,3.89105
2023-12-29 17:00:00+00:00,3.889,3.8915,3.887,3.8885,881,501,3.88865
2023-12-29 17:15:00+00:00,3.8885,3.892,3.8855,3.8875,646,360,3.88835
2023-12-29 17:30:00+00:00,3.8875,3.8895,3.886,3.8885,543,344,3.8877
2023-12-29 17:45:00+00:00,3.8885,3.892,3.8825,3.883,1079,623,3.88765
2023-12-29 18:00:00+00:00,3.883,3.8865,3.882,3.885,658,354,3.88395
2023-12-29 18:15:00+00:00,3.8845,3.89,3.884,3.8885,460,262,3.88755
2023-12-29 18:30:00+00:00,3.888,3.889,3.8845,3.8875,743,377,3.88625
2023-12-29 18:45:00+00:00,3.887,3.892,3.885,3.8905,2262,1042,3.8891
2023-12-29 19:00:00+00:00,3.8905,3.891,3.8845,3.8865,993,466,3.88795
2023-12-29 19:15:00+00:00,3.8865,3.8865,3.884,3.886,229,137,3.8853
2023-12-29 19:30:00+00:00,3.8855,3.8915,3.8855,3.891,344,157,3.8884
2023-12-29 19:45:00+00:00,3.891,3.891,3.888,3.889,300,188,3.8894
2023-12-29 20:00:00+00:00,3.889,3.893,3.8885,3.8915,404,196,3.89095
2023-12-29 20:15:00+00:00,3.892,3.893,3.8905,3.891,165,93,3.89225
2023-12-29 20:30:00+00:00,3.8915,3.893,3.891,3.892,128,68,3.89195
2023-12-29 20:45:00+00:00,3.8925,3.893,3.8915,3.893,163,84,3.89265
2023-12-29 21:00:00+00:00,3.893,3.895,3.8915,3.894,276,114,3.89345
2023-12-29 21:15:00+00:00,3.894,3.896,3.893,3.8955,220,93,3.8946
2023-12-29 21:30:00+00:00,3.895,3.895,3.8935,3.894,92,56,3.89415
2023-12-29 21:45:00+00:00,3.8945,3.8945,3.8915,3.8925,185,112,3.89265
2023-12-29 22:00:00+00:00,3.8925,3.8925,3.8905,3.8905,78,50,3.89145
2023-12-29 22:15:00+00:00,3.891,3.892,3.8905,3.8915,64,36,3.8912
2023-12-29 22:30:00+00:00,3.892,3.8925,3.8915,3.892,53,41,3.89185
2023-12-29 22:45:00+00:00,3.8915,3.893,3.8915,3.8915,137,77,3.8923
2024-01-02 00:00:00+00:00,3.8955,3.897,3.8925,3.8955,291,135,3.8954
2024-01-02 00:15:00+00:00,3.8955,3.897,3.894,3.897,100,59,3.8955
2024-01-02 00:30:00+00:00,3.897,3.898,3.895,3.897,132,61,3.89645
2024-01-02 00:45:00+00:00,3.897,3.8995,3.896,3.899,129,55,3.8979
2024-01-02 01:00:00+00:00,3.899,3.9025,3.899,3.901,207,91,3.9003
2024-01-02 01:15:00+00:00,3.901,3.901,3.8985,3.9005,167,70,3.89965
2024-01-02 01:30:00+00:00,3.9005,3.901,3.8995,3.9005,192,90,3.90035
2024-01-02 01:45:00+00:00,3.9005,3.9025,3.9005,3.9015,265,126,3.9013
2024-01-02 02:00:00+00:00,3.9015,3.904,3.895,3.9035,1986,1016,3.90025
2024-01-02 02:15:00+00:00,3.904,3.9075,3.898,3.901,1297,654,3.9021
2024-01-02 02:30:00+00:00,3.9015,3.9015,3.889,3.8895,1477,769,3.8933
2024-01-02 02:45:00+00:00,3.8895,3.8925,3.887,3.888,671,353,3.89005
2024-01-02 03:00:00+00:00,3.888,3.8925,3.887,3.891,695,425,3.8898
2024-01-02 03:15:00+00:00,3.891,3.892,3.888,3.889,193,134,3.89005
2024-01-02 03:30:00+00:00,3.889,3.894,3.889,3.893,460,279,3.89145
2024-01-02 03:45:00+00:00,3.8935,3.898,3.8935,3.8975,359,216,3.8958
2024-01-02 04:00:00+00:00,3.897,3.899,3.895,3.897,329,195,3.8966
2024-01-02 04:15:00+00:00,3.897,3.8975,3.8935,3.894,198,121,3.8952
2024-01-02 04:30:00+00:00,3.894,3.899,3.894,3.8975,92,68,3.897
2024-01-02 04:45:00+00:00,3.898,3.8985,3.896,3.897,87,57,3.897
2024-01-02 05:00:00+00:00,3.897,3.8985,3.8965,3.898,81,49,3.89745
2024-01-02 05:15:00+00:00,3.898,3.899,3.8975,3.8985,54,36,3.89815
2024-01-02 05:30:00+00:00,3.898,3.8985,3.897,3.897,88,62,3.89785
2024-01-02 05:45:00+00:00,3.897,3.8975,3.8965,3.8975,46,29,3.89705
2024-01-02 06:00:00+00:00,3.898,3.9035,3.8975,3.9025,235,148,3.9006
