date,Open,High,Low,Close,Volume,Barcount,Average
2024-02-27 01:00:00+00:00,3.8365,3.8375,3.836,3.8365,132,69,3.83665
2024-02-27 01:15:00+00:00,3.8365,3.838,3.836,3.837,98,51,3.8373
2024-02-27 01:30:00+00:00,3.837,3.839,3.837,3.8385,140,70,3.8383
2024-02-27 01:45:00+00:00,3.8385,3.84,3.838,3.839,265,127,3.83905
2024-02-27 02:00:00+00:00,3.839,3.8435,3.839,3.8425,1270,592,3.8414
2024-02-27 02:15:00+00:00,3.842,3.8435,3.8405,3.8415,542,283,3.8418
2024-02-27 02:30:00+00:00,3.842,3.846,3.841,3.846,620,310,3.84385
2024-02-27 02:45:00+00:00,3.8455,3.846,3.842,3.846,346,213,3.844
2024-02-27 03:00:00+00:00,3.846,3.8465,3.844,3.8445,315,158,3.84555
2024-02-27 03:15:00+00:00,3.8445,3.8445,3.84,3.8405,396,263,3.84115
2024-02-27 03:30:00+00:00,3.8405,3.843,3.84,3.8425,361,220,3.842
2024-02-27 03:45:00+00:00,3.8425,3.843,3.8405,3.842,214,125,3.84145
2024-02-27 04:00:00+00:00,3.842,3.845,3.841,3.8445,173,114,3.84295
2024-02-27 04:15:00+00:00,3.844,3.8465,3.8435,3.846,393,192,3.84555
2024-02-27 04:30:00+00:00,3.846,3.846,3.845,3.8455,109,57,3.8457
2024-02-27 04:45:00+00:00,3.8455,3.8465,3.8455,3.8455,45,31,3.84585
2024-02-27 05:00:00+00:00,3.845,3.85,3.845,3.85,221,90,3.84795
2024-02-27 05:15:00+00:00,3.8495,3.85,3.848,3.849,89,46,3.849
2024-02-27 05:30:00+00:00,3.849,3.849,3.8475,3.8475,41,34,3.848
2024-02-27 05:45:00+00:00,3.8475,3.848,3.847,3.848,85,45,3.84745
2024-02-27 06:00:00+00:00,3.8475,3.851,3.8475,3.851,160,88,3.84875
2024-02-27 06:15:00+00:00,3.8515,3.8525,3.849,3.8495,209,136,3.8509
2024-02-27 06:30:00+00:00,3.85,3.852,3.848,3.8495,487,224,3.85045
2024-02-27 06:45:00+00:00,3.849,3.8535,3.849,3.8515,397,185,3.8517
2024-02-27 07:00:00+00:00,3.851,3.854,3.85,3.8525,343,182,3.852
2024-02-27 07:15:00+00:00,3.8525,3.855,3.852,3.855,269,126,3.85395
2024-02-27 07:30:00+00:00,3.854,3.858,3.8535,3.8555,541,295,3.8559
2024-02-27 07:45:00+00:00,3.8555,3.857,3.855,3.857,278,153,3.85575
2024-02-27 08:00:00+00:00,3.8565,3.858,3.854,3.857,457,230,3.85565
2024-02-27 08:15:00+00:00,3.8575,3.861,3.8565,3.8595,557,280,3.85875
2024-02-27 08:30:00+00:00,3.8595,3.862,3.857,3.8605,444,233,3.8595
2024-02-27 08:45:00+00:00,3.86,3.8605,3.858,3.86,455,228,3.85945
2024-02-27 09:00:00+00:00,3.86,3.862,3.856,3.8575,625,284,3.85845
2024-02-27 09:15:00+00:00,3.8575,3.8625,3.857,3.857,513,230,3.86005
2024-02-27 09:30:00+00:00,3.8575,3.858,3.8535,3.856,722,293,3.85645
2024-02-27 09:45:00+00:00,3.8555,3.8565,3.8505,3.8515,310,154,3.85335
2024-02-27 10:00:00+00:00,3.851,3.8595,3.8505,3.859,688,311,3.8558
2024-02-27 10:15:00+00:00,3.8585,3.8655,3.8575,3.8635,765,368,3.862
2024-02-27 10:30:00+00:00,3.8635,3.8635,3.859,3.859,201,130,3.8611
2024-02-27 10:45:00+00:00,3.8585,3.86,3.857,3.857,185,93,3.8586
2024-02-27 11:00:00+00:00,3.857,3.857,3.854,3.854,188,100,3.856
2024-02-27 11:15:00+00:00,3.854,3.854,3.853,3.8535,182,92,3.8535
2024-02-27 11:30:00+00:00,3.853,3.8555,3.853,3.854,146,86,3.85395
2024-02-27 11:45:00+00:00,3.854,3.8545,3.851,3.8525,218,127,3.8524
2024-02-27 12:00:00+00:00,3.853,3.854,3.851,3.8525,166,79,3.8522
2024-02-27 12:15:00+00:00,3.853,3.8535,3.852,3.853,200,100,3.8528
2024-02-27 12:30:00+00:00,3.8525,3.8525,3.8495,3.85,444,223,3.85065
2024-02-27 12:45:00+00:00,3.85,3.8545,3.85,3.8545,244,141,3.8519
2024-02-27 13:00:00+00:00,3.8545,3.8555,3.853,3.8545,324,182,3.8546
2024-02-27 13:15:00+00:00,3.855,3.8555,3.8515,3.8555,503,205,3.8528
2024-02-27 13:30:00+00:00,3.8555,3.858,3.8545,3.8575,514,281,3.8567
2024-02-27 13:45:00+00:00,3.857,3.857,3.855,3.856,351,186,3.85605
2024-02-27 14:00:00+00:00,3.856,3.857,3.851,3.852,1322,594,3.85415
2024-02-27 14:15:00+00:00,3.852,3.8525,3.847,3.848,1102,436,3.84935
2024-02-27 14:30:00+00:00,3.8485,3.85,3.845,3.846,1178,496,3.8469
2024-02-27 14:45:00+00:00,3.8465,3.8505,3.846,3.847,637,302,3.84835
2024-02-27 15:00:00+00:00,3.847,3.8475,3.8435,3.8435,1073,486,3.84555
2024-02-27 15:15:00+00:00,3.843,3.8445,3.8415,3.844,986,400,3.8433
2024-02-27 15:30:00+00:00,3.844,3.845,3.8385,3.8405,1392,578,3.8418
2024-02-27 15:45:00+00:00,3.8405,3.8425,3.839,3.841,1457,642,3.84085
2024-02-27 16:00:00+00:00,3.842,3.8455,3.84,3.8435,1260,552,3.8422
2024-02-27 16:15:00+00:00,3.8435,3.8445,3.841,3.8425,695,320,3.84235
2024-02-27 16:30:00+00:00,3.842,3.842,3.8375,3.8375,851,354,3.8396
2024-02-27 16:45:00+00:00,3.8375,3.8485,3.837,3.848,1412,528,3.8415
2024-02-27 17:00:00+00:00,3.8485,3.854,3.8475,3.8535,1420,560,3.85055
2024-02-27 17:15:00+00:00,3.8535,3.8535,3.8465,3.849,880,400,3.8499
2024-02-27 17:30:00+00:00,3.8485,3.8485,3.8425,3.844,602,290,3.8452
2024-02-27 17:45:00+00:00,3.8445,3.848,3.8435,3.8475,462,233,3.84625
2024-02-27 18:00:00+00:00,3.8475,3.852,3.8465,3.85,539,217,3.8503
2024-02-27 18:15:00+00:00,3.8505,3.852,3.849,3.849,459,191,3.8511
2024-02-27 18:30:00+00:00,3.8495,3.85,3.8465,3.848,439,195,3.8483
2024-02-27 18:45:00+00:00,3.848,3.8535,3.8475,3.853,1465,511,3.8507
2024-02-27 19:00:00+00:00,3.854,3.8575,3.853,3.8555,917,383,3.85565
2024-02-27 19:15:00+00:00,3.8555,3.857,3.855,3.856,313,159,3.856
2024-02-27 19:30:00+00:00,3.8565,3.857,3.8545,3.855,319,124,3.8554
2024-02-27 19:45:00+00:00,3.8545,3.855,3.8535,3.8535,310,132,3.85415
2024-02-27 20:00:00+00:00,3.8535,3.8535,3.8515,3.8525,127,61,3.85235
2024-02-27 20:15:00+00:00,3.8525,3.8545,3.8525,3.8525,137,53,3.85335
2024-02-27 20:30:00+00:00,3.853,3.853,3.851,3.8515,162,52,3.8521
2024-02-27 20:45:00+00:00,3.852,3.853,3.8515,3.853,68,36,3.85225
2024-02-27 21:00:00+00:00,3.8525,3.853,3.8515,3.8525,61,37,3.85225
2024-02-27 21:15:00+00:00,3.8525,3.8535,3.852,3.8525,115,37,3.85245
2024-02-27 21:30:00+00:00,3.8525,3.8545,3.8525,3.854,84,46,3.8534
2024-02-27 21:45:00+00:00,3.8535,3.8545,3.853,3.854,139,54,3.8537
2024-02-27 22:00:00+00:00,3.854,3.855,3.8525,3.8545,192,65,3.85375
2024-02-27 22:15:00+00:00,3.8545,3.856,3.8545,3.855,176,42,3.8556
2024-02-27 22:30:00+00:00,3.8555,3.856,3.855,3.855,75,31,3.8555
2024-02-27 22:45:00+00:00,3.8555,3.8555,3.8535,3.8535,49,32,3.8545
2024-02-28 00:00:00+00:00,3.854,3.8545,3.8475,3.8485,378,112,3.8503
2024-02-28 00:15:00+00:00,3.8485,3.8485,3.846,3.848,186,60,3.84715
2024-02-28 00:30:00+00:00,3.848,3.848,3.843,3.845,288,96,3.84465
2024-02-28 00:45:00+00:00,3.845,3.845,3.8445,3.8445,34,19,3.84485
2024-02-28 01:00:00+00:00,3.844,3.8465,3.844,3.8455,99,35,3.84495
2024-02-28 01:15:00+00:00,3.8455,3.846,3.845,3.845,65,34,3.8454
2024-02-28 01:30:00+00:00,3.845,3.8495,3.845,3.849,151,63,3.8474
2024-02-28 01:45:00+00:00,3.8495,3.85,3.849,3.849,49,28,3.84935
2024-02-28 02:00:00+00:00,3.849,3.8495,3.8435,3.844,342,196,3.84655
2024-02-28 02:15:00+00:00,3.844,3.8495,3.844,3.8485,165,76,3.84725
2024-02-28 02:30:00+00:00,3.8485,3.852,3.8435,3.852,368,231,3.8467
2024-02-28 02:45:00+00:00,3.852,3.853,3.8455,3.847,192,129,3.8497
2024-02-28 03:00:00+00:00,3.847,3.85,3.843,3.8475,263,161,3.84635
2024-02-28 03:15:00+00:00,3.8475,3.8495,3.8465,3.849,126,83,3.84795
2024-02-28 03:30:00+00:00,3.8485,3.849,3.843,3.843,165,115,3.84615
2024-02-28 03:45:00+00:00,3.843,3.846,3.842,3.8445,168,95,3.8437
2024-02-28 04:00:00+00:00,3.8445,3.8445,3.84,3.8405,228,155,3.8419
2024-02-28 04:15:00+00:00,3.84,3.843,3.836,3.8425,428,202,3.8392
2024-02-28 04:30:00+00:00,3.843,3.845,3.8425,3.843,88,58,3.84385
2024-02-28 04:45:00+00:00,3.8425,3.8435,3.842,3.842,51,32,3.8425
2024-02-28 05:00:00+00:00,3.842,3.8425,3.8405,3.8405,61,43,3.84125
2024-02-28 05:15:00+00:00,3.8405,3.8405,3.8385,3.84,58,26,3.8397
2024-02-28 05:30:00+00:00,3.84,3.84,3.8385,3.839,58,45,3.83935
