date,open,high,low,close,volume,barCount,average
2024-03-28 01:00:00+00:00,2.6005,2.6038,2.6005,2.6019,47,42,2.6027704
2024-03-28 01:15:00+00:00,2.6021,2.6028,2.6016,2.6021,7,6,2.60222054
2024-03-28 01:30:00+00:00,2.6021,2.6021,2.6021,2.6021,0,0,2.60212057
2024-03-28 01:45:00+00:00,2.6028,2.6048,2.6028,2.6048,9,8,2.60398008
2024-03-28 02:00:00+00:00,2.6053,2.6058,2.6021,2.6024,23,21,2.60418003
2024-03-28 02:15:00+00:00,2.6035,2.6039,2.6026,2.6033,42,40,2.6035502
2024-03-28 02:30:00+00:00,2.603,2.603,2.6018,2.6019,7,6,2.60219055
2024-03-28 02:45:00+00:00,2.6015,2.6025,2.6001,2.6003,11,9,2.60121081
2024-03-28 03:00:00+00:00,2.6009,2.6034,2.6008,2.6034,6,6,2.60169068
2024-03-28 03:15:00+00:00,2.6035,2.6055,2.6032,2.6055,7,6,2.60416004
2024-03-28 03:30:00+00:00,2.6052,2.6054,2.6052,2.6054,3,3,2.60534973
2024-03-28 03:45:00+00:00,2.604,2.6055,2.604,2.6054,7,7,2.60515978
2024-03-28 04:00:00+00:00,2.6051,2.6054,2.6023,2.603,46,40,2.6031503
2024-03-28 04:15:00+00:00,2.6028,2.6034,2.6022,2.6034,15,14,2.60273041
2024-03-28 04:30:00+00:00,2.602,2.602,2.5926,2.5926,142,118,2.59750178
2024-03-28 04:45:00+00:00,2.593,2.5953,2.5916,2.5916,99,58,2.59297296
2024-03-28 05:00:00+00:00,2.5919,2.5934,2.5909,2.5932,18,18,2.59211318
2024-03-28 05:15:00+00:00,2.5925,2.5933,2.5902,2.593,37,31,2.59159332
2024-03-28 05:30:00+00:00,2.5915,2.5969,2.5915,2.5969,69,54,2.59527236
2024-03-28 05:45:00+00:00,2.5971,2.5976,2.5953,2.5975,35,32,2.59623211
2024-03-28 06:00:00+00:00,2.5974,2.6024,2.5974,2.6021,84,76,2.60028105
2024-03-28 06:15:00+00:00,2.6029,2.6037,2.602,2.6037,8,7,2.60306032
2024-03-28 06:30:00+00:00,2.6049,2.6055,2.6031,2.604,10,10,2.60432
2024-03-28 06:45:00+00:00,2.6037,2.605,2.6035,2.6044,27,19,2.60435999
2024-03-28 07:00:00+00:00,2.605,2.606,2.604,2.606,31,21,2.60502981
2024-03-28 07:15:00+00:00,2.6028,2.6048,2.6028,2.6048,2,2,2.60382013
2024-03-28 07:30:00+00:00,2.6045,2.6045,2.6045,2.6045,1,1,2.60451994
2024-03-28 07:45:00+00:00,2.6041,2.6071,2.6041,2.6063,15,14,2.60599956
2024-03-28 08:00:00+00:00,2.6059,2.6063,2.604,2.6056,14,13,2.60522976
2024-03-28 08:15:00+00:00,2.6076,2.6076,2.6028,2.6028,12,8,2.60526975
2024-03-28 08:30:00+00:00,2.6022,2.6022,2.596,2.597,34,30,2.59825158
2024-03-28 08:45:00+00:00,2.5977,2.601,2.5964,2.5994,38,34,2.59821159
2024-03-28 09:00:00+00:00,2.5992,2.6006,2.5938,2.5973,136,125,2.59721185
2024-03-28 09:15:00+00:00,2.5984,2.5989,2.595,2.5972,98,87,2.5974018
2024-03-28 09:30:00+00:00,2.5965,2.5986,2.5963,2.5968,49,44,2.5974218
2024-03-28 09:45:00+00:00,2.5959,2.5987,2.5928,2.5981,102,92,2.59578222
2024-03-28 10:00:00+00:00,2.5985,2.5985,2.5857,2.5857,240,184,2.5901137
2024-03-28 10:15:00+00:00,2.5857,2.5934,2.584,2.5934,148,110,2.5866746
2024-03-28 10:30:00+00:00,2.5918,2.599,2.587,2.598,152,132,2.59412266
2024-03-28 10:45:00+00:00,2.5989,2.6007,2.5965,2.5996,130,106,2.59891141
2024-03-28 11:00:00+00:00,2.5998,2.6018,2.5964,2.6018,188,149,2.6000911
