date,Open,High,Low,Close,Volume,Barcount,Average
2024-01-29 00:00:00+00:00,2.7802,2.7966,2.7773,2.7807,647,446,2.78692013
2024-01-29 00:15:00+00:00,2.7799,2.7931,2.7764,2.7927,232,176,2.78530429
2024-01-29 00:30:00+00:00,2.7924,2.7924,2.7852,2.7874,141,112,2.78784066
2024-01-29 00:45:00+00:00,2.7873,2.792,2.7873,2.7901,40,37,2.78969153
2024-01-29 01:00:00+00:00,2.79,2.7909,2.7854,2.7854,81,60,2.78895706
2024-01-29 01:15:00+00:00,2.7858,2.7879,2.7795,2.7795,86,65,2.78568621
2024-01-29 01:30:00+00:00,2.7813,2.7824,2.7711,2.7771,38,36,2.77642207
2024-01-29 01:45:00+00:00,2.7764,2.7788,2.772,2.772,30,30,2.77533505
2024-01-29 02:00:00+00:00,2.7693,2.7693,2.7611,2.7638,92,84,2.76388708
2024-01-29 02:15:00+00:00,2.765,2.7719,2.7628,2.7647,105,92,2.76683476
2024-01-29 02:30:00+00:00,2.7651,2.7747,2.7634,2.7733,78,74,2.76941031
2024-01-29 02:45:00+00:00,2.7729,2.7735,2.762,2.762,51,47,2.76940052
2024-01-29 03:00:00+00:00,2.763,2.7667,2.7621,2.7666,46,43,2.76489576
2024-01-29 03:15:00+00:00,2.7679,2.7766,2.7675,2.7743,36,33,2.77292598
2024-01-29 03:30:00+00:00,2.7744,2.7754,2.7714,2.7717,18,17,2.77352336
2024-01-29 03:45:00+00:00,2.7732,2.7755,2.773,2.7753,10,10,2.77434596
2024-01-29 04:00:00+00:00,2.7765,2.7781,2.7731,2.7752,24,23,2.77661793
2024-01-29 04:15:00+00:00,2.775,2.7754,2.7708,2.7734,41,26,2.77392487
2024-01-29 04:30:00+00:00,2.7742,2.7742,2.7731,2.7731,8,8,2.77389549
2024-01-29 04:45:00+00:00,2.7737,2.7753,2.7737,2.7745,6,5,2.77444389
2024-01-29 05:00:00+00:00,2.7738,2.7741,2.7733,2.7736,11,11,2.77364087
2024-01-29 05:15:00+00:00,2.7735,2.7735,2.7735,2.7735,1,1,2.7734646
2024-01-29 05:30:00+00:00,2.774,2.7759,2.7739,2.7758,16,13,2.77489437
2024-01-29 05:45:00+00:00,2.7747,2.7747,2.7747,2.7747,2,2,2.77473768
2024-01-29 06:00:00+00:00,2.7753,2.7753,2.7718,2.7741,19,19,2.77343522
2024-01-29 06:15:00+00:00,2.774,2.7785,2.7732,2.7758,89,69,2.77504126
2024-01-29 06:30:00+00:00,2.7745,2.7745,2.768,2.7714,85,76,2.77135911
2024-01-29 06:45:00+00:00,2.7694,2.7739,2.7681,2.7694,45,36,2.77085967
2024-01-29 07:00:00+00:00,2.7694,2.7728,2.7694,2.7725,26,25,2.77059526
2024-01-29 07:15:00+00:00,2.7719,2.7755,2.7716,2.7716,16,16,2.77395425
2024-01-29 07:30:00+00:00,2.7735,2.7735,2.7655,2.7665,46,45,2.76995872
2024-01-29 07:45:00+00:00,2.7659,2.7667,2.761,2.7615,85,73,2.76397522
2024-01-29 08:00:00+00:00,2.7604,2.7626,2.7586,2.7613,54,48,2.7603812
2024-01-29 08:15:00+00:00,2.759,2.7641,2.7548,2.7572,92,75,2.76042037
2024-01-29 08:30:00+00:00,2.76,2.7673,2.76,2.7652,82,72,2.76328971
2024-01-29 08:45:00+00:00,2.7662,2.77,2.7603,2.7629,120,117,2.76521892
2024-01-29 09:00:00+00:00,2.7631,2.7748,2.7631,2.7725,133,125,2.77215234
2024-01-29 09:15:00+00:00,2.7742,2.7759,2.7538,2.7601,219,171,2.76355412
2024-01-29 09:30:00+00:00,2.7604,2.765,2.7542,2.7578,244,180,2.76101774
2024-01-29 09:45:00+00:00,2.7559,2.7573,2.7511,2.7511,94,90,2.75363385
2024-01-29 10:00:00+00:00,2.7517,2.7517,2.7399,2.7435,297,260,2.7449377
2024-01-29 10:15:00+00:00,2.7431,2.7453,2.7327,2.7365,262,236,2.73769091
2024-01-29 10:30:00+00:00,2.7366,2.7378,2.7319,2.7347,142,127,2.73559522
2024-01-29 10:45:00+00:00,2.7346,2.7379,2.7316,2.7357,119,114,2.73467468
2024-01-29 11:00:00+00:00,2.7368,2.7414,2.7356,2.7409,90,81,2.73847435
2024-01-29 11:15:00+00:00,2.7406,2.7535,2.7406,2.7535,151,140,2.74950122
2024-01-29 11:30:00+00:00,2.7533,2.7607,2.7533,2.7557,112,108,2.75756083
2024-01-29 11:45:00+00:00,2.7553,2.7616,2.7514,2.7601,143,135,2.75576872
2024-01-29 12:00:00+00:00,2.7593,2.7611,2.754,2.7602,127,106,2.75844219
2024-01-29 12:15:00+00:00,2.7597,2.7597,2.7504,2.7519,202,164,2.7552301
2024-01-29 12:30:00+00:00,2.7527,2.7608,2.7527,2.7536,38,37,2.75725725
2024-01-29 12:45:00+00:00,2.7542,2.7562,2.7502,2.7507,84,66,2.7519005
2024-01-29 13:00:00+00:00,2.7506,2.7542,2.7498,2.7542,69,55,2.75140106
2024-01-29 13:15:00+00:00,2.7546,2.7549,2.7493,2.7513,69,60,2.75180257
2024-01-29 13:30:00+00:00,2.7508,2.7515,2.742,2.7446,141,124,2.74533921
2024-01-29 13:45:00+00:00,2.745,2.7459,2.7357,2.7377,243,212,2.73939488
