Date,Open,High,Low,Close,Volume,Barcount,Average
2024-04-29 00:00:00+00:00,2.5757,2.5757,2.566,2.5694,78,59,2.5699664
2024-04-29 00:15:00+00:00,2.5685,2.5701,2.5684,2.5694,25,19,2.5694332
2024-04-29 00:30:00+00:00,2.5699,2.5725,2.568,2.5718,37,32,2.57052977
2024-04-29 00:45:00+00:00,2.5716,2.5718,2.5708,2.5708,10,9,2.57142514
2024-04-29 01:00:00+00:00,2.5721,2.5722,2.5712,2.5713,17,15,2.57177724
2024-04-29 01:15:00+00:00,2.5712,2.5713,2.5689,2.5689,19,18,2.57022796
2024-04-29 01:30:00+00:00,2.5687,2.5694,2.5687,2.5694,3,3,2.56916157
2024-04-29 01:45:00+00:00,2.5694,2.5697,2.5659,2.5659,51,40,2.56857808
2024-04-29 02:00:00+00:00,2.566,2.5683,2.5656,2.5674,77,60,2.56703886
2024-04-29 02:15:00+00:00,2.5667,2.5676,2.5646,2.5656,43,36,2.56623404
2024-04-29 02:30:00+00:00,2.5657,2.5674,2.5657,2.5665,51,37,2.5664453
2024-04-29 02:45:00+00:00,2.5663,2.5678,2.5663,2.5674,46,40,2.56687789
2024-04-29 03:00:00+00:00,2.5676,2.5676,2.5589,2.5603,64,48,2.56213951
2024-04-29 03:15:00+00:00,2.5597,2.5605,2.5591,2.5605,15,12,2.55979546
2024-04-29 03:30:00+00:00,2.5592,2.5611,2.5592,2.5597,15,13,2.56013751
2024-04-29 03:45:00+00:00,2.561,2.5618,2.5604,2.5613,6,6,2.56129444
2024-04-29 04:00:00+00:00,2.5618,2.5618,2.5606,2.5611,20,18,2.5611033
2024-04-29 04:15:00+00:00,2.5613,2.5631,2.5604,2.5621,23,17,2.56169685
2024-04-29 04:30:00+00:00,2.5632,2.5636,2.562,2.562,12,11,2.56302481
2024-04-29 04:45:00+00:00,2.5626,2.5628,2.5612,2.5618,32,31,2.56220993
2024-04-29 05:00:00+00:00,2.5626,2.5634,2.5624,2.5628,8,6,2.56294433
2024-04-29 05:15:00+00:00,2.5637,2.5637,2.5617,2.563,4,3,2.56253186
2024-04-29 05:30:00+00:00,2.564,2.564,2.564,2.564,1,1,2.56396041
2024-04-29 05:45:00+00:00,2.564,2.564,2.564,2.564,0,0,2.56396041
2024-04-29 06:00:00+00:00,2.5644,2.5645,2.5634,2.5645,6,6,2.56391011
2024-04-29 06:15:00+00:00,2.5638,2.5653,2.5638,2.5644,9,7,2.56457409
2024-04-29 06:30:00+00:00,2.5643,2.5643,2.5626,2.5633,36,29,2.5633568
2024-04-29 06:45:00+00:00,2.5631,2.5645,2.5627,2.5637,7,6,2.56332662
2024-04-29 07:00:00+00:00,2.5634,2.5643,2.5634,2.5639,5,5,2.56392017
2024-04-29 07:15:00+00:00,2.5633,2.5639,2.5628,2.5637,7,7,2.56339704
2024-04-29 07:30:00+00:00,2.564,2.5644,2.5628,2.5642,12,11,2.56371897
2024-04-29 07:45:00+00:00,2.5648,2.5651,2.5629,2.565,14,14,2.56395035
2024-04-29 08:00:00+00:00,2.5641,2.5641,2.5617,2.5617,12,12,2.56284372
2024-04-29 08:15:00+00:00,2.5615,2.5656,2.5613,2.5632,22,21,2.56341716
2024-04-29 08:30:00+00:00,2.5618,2.5618,2.5581,2.5603,58,49,2.55923209
2024-04-29 08:45:00+00:00,2.5606,2.5624,2.5601,2.5618,12,10,2.56144535
2024-04-29 09:00:00+00:00,2.562,2.562,2.5591,2.5604,71,64,2.56083167
2024-04-29 09:15:00+00:00,2.5616,2.5646,2.5614,2.5643,50,44,2.56331656
2024-04-29 09:30:00+00:00,2.5647,2.5688,2.5644,2.5674,79,70,2.56700868
2024-04-29 09:45:00+00:00,2.5667,2.5694,2.5661,2.5675,63,59,2.56715958
2024-04-29 10:00:00+00:00,2.5679,2.5746,2.5674,2.5741,133,111,2.57149556
2024-04-29 10:15:00+00:00,2.5738,2.5761,2.5697,2.572,233,200,2.57338689
2024-04-29 10:30:00+00:00,2.5717,2.5775,2.5711,2.5756,112,104,2.57559009
2024-04-29 10:45:00+00:00,2.576,2.5782,2.5751,2.5775,58,52,2.57703877
2024-04-29 11:00:00+00:00,2.5776,2.5777,2.5725,2.5729,65,58,2.57534864
2024-04-29 11:15:00+00:00,2.5736,2.5769,2.5731,2.576,145,134,2.57539894
2024-04-29 11:30:00+00:00,2.5757,2.5768,2.5744,2.5759,111,102,2.57559009
2024-04-29 11:45:00+00:00,2.5753,2.5765,2.5731,2.5735,69,59,2.57484563
2024-04-29 12:00:00+00:00,2.5747,2.5768,2.5738,2.5761,71,67,2.57534864
2024-04-29 12:15:00+00:00,2.5761,2.578,2.5761,2.5766,37,34,2.57729027
2024-04-29 12:30:00+00:00,2.5763,2.5786,2.5758,2.5771,68,64,2.57735063
2024-04-29 12:45:00+00:00,2.5769,2.5788,2.5763,2.5777,57,50,2.57715949
2024-04-29 13:00:00+00:00,2.5781,2.5808,2.5779,2.5803,105,96,2.57943311
2024-04-29 13:15:00+00:00,2.5805,2.586,2.5805,2.5841,139,118,2.58316547
2024-04-29 13:30:00+00:00,2.5843,2.5865,2.5837,2.5848,135,113,2.58528819
2024-04-29 13:45:00+00:00,2.5847,2.5874,2.5844,2.5856,177,134,2.58600247
2024-04-29 14:00:00+00:00,2.586,2.5906,2.5795,2.58,602,487,2.58614331
