date,open,high,low,close,volume,barCount,average
2023-08-30 02:00:00+00:00,729.5,729.75,727.25,729.25,321,186,728.725
2023-08-30 02:15:00+00:00,729.25,731.5,729.0,731.5,115,31,730.675
2023-08-30 02:30:00+00:00,731.5,731.75,730.75,731.25,8,5,731.475
2023-08-30 02:45:00+00:00,730.5,731.75,730.5,731.5,12,8,731.225
2023-08-30 03:00:00+00:00,732.0,732.0,730.75,731.25,8,5,731.1
2023-08-30 03:15:00+00:00,730.5,730.5,729.75,729.75,15,5,730.225
2023-08-30 03:30:00+00:00,729.75,730.25,729.25,729.25,28,15,729.775
2023-08-30 03:45:00+00:00,729.25,729.25,729.25,729.25,0,0,729.25
2023-08-30 04:00:00+00:00,728.5,728.5,727.5,727.75,21,9,727.775
2023-08-30 04:15:00+00:00,727.75,729.0,727.75,729.0,17,7,728.6
2023-08-30 04:30:00+00:00,728.25,728.25,728.0,728.0,6,2,728.075
2023-08-30 04:45:00+00:00,728.5,729.0,728.5,729.0,9,6,728.8
2023-08-30 05:00:00+00:00,729.0,729.25,729.0,729.25,3,2,729.175
2023-08-30 05:15:00+00:00,729.5,731.0,729.5,731.0,35,17,730.425
2023-08-30 05:30:00+00:00,731.0,732.5,731.0,732.25,42,26,731.75
2023-08-30 05:45:00+00:00,731.75,732.25,731.5,732.25,9,7,731.925
2023-08-30 06:00:00+00:00,732.25,732.25,732.0,732.0,6,3,732.175
2023-08-30 06:15:00+00:00,732.25,732.5,732.25,732.5,10,4,732.45
2023-08-30 06:30:00+00:00,732.0,732.0,730.5,731.25,29,14,731.45
2023-08-30 06:45:00+00:00,731.0,731.0,730.5,730.5,31,4,730.65
2023-08-30 07:00:00+00:00,731.0,731.0,730.5,730.5,4,4,730.75
2023-08-30 07:15:00+00:00,731.25,731.5,731.25,731.5,4,2,731.45
2023-08-30 07:30:00+00:00,730.5,731.0,730.0,731.0,7,5,730.325
2023-08-30 07:45:00+00:00,729.75,730.0,729.75,730.0,8,4,729.95
2023-08-30 08:00:00+00:00,730.0,730.5,729.5,730.5,20,11,730.3
2023-08-30 08:15:00+00:00,730.25,730.25,730.25,730.25,2,1,730.25
2023-08-30 08:30:00+00:00,730.25,730.25,730.0,730.25,16,10,730.2
2023-08-30 08:45:00+00:00,729.75,730.0,729.5,729.5,5,4,729.8
2023-08-30 09:00:00+00:00,729.5,729.75,729.25,729.75,8,8,729.375
2023-08-30 09:15:00+00:00,729.5,730.0,729.25,729.75,23,17,729.75
2023-08-30 09:30:00+00:00,729.75,731.0,729.25,730.0,28,21,730.175
2023-08-30 09:45:00+00:00,729.75,731.25,729.75,731.0,23,18,730.625
2023-08-30 10:00:00+00:00,730.75,730.75,729.0,729.0,63,27,729.675
2023-08-30 10:15:00+00:00,728.75,729.0,728.5,728.5,30,21,728.925
2023-08-30 10:30:00+00:00,728.25,730.0,728.25,730.0,74,31,729.1
2023-08-30 10:45:00+00:00,730.25,732.0,730.25,731.5,106,55,731.475
2023-08-30 11:00:00+00:00,731.5,731.5,730.5,730.75,22,12,730.875
2023-08-30 11:15:00+00:00,730.75,731.75,730.75,731.75,44,24,731.4
2023-08-30 11:30:00+00:00,731.5,731.75,729.75,730.5,43,31,731.05
2023-08-30 11:45:00+00:00,730.5,730.5,729.5,729.5,14,12,729.825
2023-08-30 12:00:00+00:00,729.75,730.0,728.75,729.25,51,25,729.2
2023-08-30 12:15:00+00:00,730.0,730.75,730.0,730.5,32,11,730.45
2023-08-30 12:30:00+00:00,731.0,731.0,730.5,730.5,10,2,730.95
2023-08-30 12:45:00+00:00,730.75,731.25,730.0,730.75,33,21,730.6
2023-08-30 13:00:00+00:00,730.25,731.5,730.25,731.0,27,17,730.925
2023-08-30 13:15:00+00:00,731.0,731.5,730.0,731.0,36,27,730.95
2023-08-30 13:30:00+00:00,730.75,731.0,729.75,730.5,50,30,730.45
2023-08-30 13:45:00+00:00,730.0,730.5,730.0,730.25,14,11,730.45
2023-08-30 14:00:00+00:00,730.25,730.75,729.0,729.75,74,46,729.75
2023-08-30 14:15:00+00:00,729.75,732.0,729.5,731.25,166,64,731.275
2023-08-30 14:30:00+00:00,731.0,732.25,730.25,731.5,142,76,731.15
2023-08-30 15:30:00+00:00,731.75,732.0,724.5,728.5,1809,892,727.65
2023-08-30 15:45:00+00:00,728.5,731.0,723.5,724.25,679,342,727.9
2023-08-30 16:00:00+00:00,724.25,725.0,723.0,724.75,778,461,724.025
2023-08-30 16:15:00+00:00,724.25,724.25,722.0,722.0,632,241,723.1
2023-08-30 16:30:00+00:00,722.25,726.25,721.25,724.0,615,341,724.075
2023-08-30 16:45:00+00:00,724.0,727.5,723.0,726.75,576,301,725.275
2023-08-30 17:00:00+00:00,726.75,729.25,726.75,728.75,455,251,728.0
2023-08-30 17:15:00+00:00,728.5,730.25,726.5,727.75,474,246,728.725
2023-08-30 17:30:00+00:00,727.5,729.75,727.25,727.25,462,257,728.325
2023-08-30 17:45:00+00:00,727.25,730.0,727.25,729.0,529,227,728.95
2023-08-30 18:00:00+00:00,728.75,730.25,727.75,728.25,542,264,729.35
2023-08-30 18:15:00+00:00,728.5,732.0,727.75,730.5,354,196,730.175
2023-08-30 18:30:00+00:00,730.25,732.5,730.0,730.5,487,258,731.35
2023-08-30 18:45:00+00:00,730.5,733.25,730.25,732.5,325,181,732.05
2023-08-30 19:00:00+00:00,732.5,732.5,730.0,731.25,272,187,731.025
2023-08-30 19:15:00+00:00,731.25,733.25,731.0,733.0,261,169,732.225
2023-08-30 19:30:00+00:00,732.75,733.5,731.75,731.75,474,174,732.675
2023-08-30 19:45:00+00:00,731.75,733.5,731.0,733.25,347,194,732.375
2023-08-30 20:00:00+00:00,733.0,733.25,731.0,731.0,1232,728,732.025
