date,Open,High,Low,Close,Volume,Barcount,Average
2024-01-29 02:00:00+00:00,619.5,620.5,615.5,615.5,145,93,617.69212431
2024-01-29 02:15:00+00:00,615.75,616.0,614.0,615.25,74,28,614.77100894
2024-01-29 02:30:00+00:00,615.75,616.0,614.5,615.0,15,14,615.09282673
2024-01-29 02:45:00+00:00,615.25,615.5,615.0,615.25,9,6,615.16709238
2024-01-29 03:00:00+00:00,615.0,615.0,614.5,615.0,7,7,614.6967433
2024-01-29 03:15:00+00:00,615.0,615.25,615.0,615.25,3,2,614.99380587
2024-01-29 03:30:00+00:00,614.75,614.75,613.25,613.5,39,20,613.68177948
2024-01-29 03:45:00+00:00,613.5,613.5,613.25,613.5,12,6,613.33520647
2024-01-29 04:00:00+00:00,613.25,613.25,612.5,612.75,21,17,612.91436782
2024-01-29 04:15:00+00:00,612.25,612.5,612.0,612.25,20,12,612.2212218
2024-01-29 04:30:00+00:00,612.0,612.0,611.25,611.25,26,12,611.55283099
2024-01-29 04:45:00+00:00,611.25,611.5,611.0,611.5,27,14,611.2310132
2024-01-29 05:00:00+00:00,611.5,612.25,611.25,611.75,14,9,611.84989357
2024-01-29 05:15:00+00:00,612.0,612.0,611.75,611.75,5,5,611.80038314
2024-01-29 05:30:00+00:00,611.75,612.0,611.75,612.0,5,4,611.899404
2024-01-29 05:45:00+00:00,612.0,612.0,611.75,612.0,7,5,611.80038314
2024-01-29 06:00:00+00:00,611.75,612.25,611.5,612.25,12,9,611.899404
2024-01-29 06:15:00+00:00,612.25,612.25,612.25,612.25,1,1,612.19646658
2024-01-29 06:30:00+00:00,612.5,613.75,612.5,612.75,40,18,613.08765432
2024-01-29 06:45:00+00:00,612.75,613.0,612.5,613.0,7,5,612.7163261
2024-01-29 07:00:00+00:00,613.0,613.0,613.0,613.0,1,1,612.93912303
2024-01-29 07:15:00+00:00,612.75,613.25,612.75,613.25,5,3,613.03814389
2024-01-29 07:30:00+00:00,613.0,613.0,612.25,612.25,9,7,612.36975309
2024-01-29 07:45:00+00:00,612.25,612.75,612.0,612.75,8,8,612.27073223
2024-01-29 08:00:00+00:00,612.5,613.0,612.5,612.75,8,7,612.79059174
