Date,Open,High,Low,Close,Volume
2024-05-14 22:16:00+00:00,697.75,706.75,697.75,702.75,3909
2024-05-14 22:31:00+00:00,697.75,706.75,697.75,702.75,3909
2024-05-14 22:46:00+00:00,697.75,706.75,697.75,702.75,3909
2024-05-14 23:01:00+00:00,697.75,706.75,697.75,702.75,3909
2024-05-14 23:16:00+00:00,697.75,706.75,697.75,702.75,3909
2024-05-14 23:31:00+00:00,697.75,706.75,697.75,702.75,3909
2024-05-14 23:46:00+00:00,697.75,706.75,697.75,702.75,3909
2024-05-15 00:01:00+00:00,697.75,706.75,697.75,702.75,3909
2024-05-15 00:16:00+00:00,697.75,706.75,697.75,702.75,3909
2024-05-15 00:31:00+00:00,697.75,706.75,697.75,702.75,3909
2024-05-15 00:46:00+00:00,697.75,706.75,697.75,702.75,3909
2024-05-15 01:01:00+00:00,697.75,706.75,697.75,702.75,3909
2024-05-15 01:16:00+00:00,697.75,706.75,697.75,702.75,3909
2024-05-15 01:31:00+00:00,697.75,706.75,697.75,702.75,3909
2024-05-15 01:46:00+00:00,697.75,706.75,697.75,702.75,3909
2024-05-15 02:01:00+00:00,697.75,706.75,697.75,702.75,3909
2024-05-15 02:16:00+00:00,697.75,706.75,697.75,702.75,3909
2024-05-15 02:31:00+00:00,697.75,706.75,697.75,702.75,3909
2024-05-15 02:46:00+00:00,697.75,706.75,697.75,702.75,3909
2024-05-15 03:01:00+00:00,697.75,706.75,697.75,702.75,3909
2024-05-15 03:16:00+00:00,697.75,706.75,697.75,702.75,3909
2024-05-15 03:31:00+00:00,697.75,706.75,697.75,702.75,3909
2024-05-15 03:46:00+00:00,697.75,706.75,697.75,702.75,3909
2024-05-15 04:01:00+00:00,697.75,706.75,697.75,702.75,3909
2024-05-15 04:16:00+00:00,697.75,706.75,697.75,702.75,3909
2024-05-15 04:31:00+00:00,697.75,706.75,697.75,702.75,3909
2024-05-15 04:46:00+00:00,697.75,706.75,697.75,702.75,3909
2024-05-15 05:01:00+00:00,697.75,706.75,697.75,702.75,3909
2024-05-15 05:16:00+00:00,697.75,706.75,697.75,702.75,3909
2024-05-15 05:31:00+00:00,697.75,706.75,697.75,702.75,3909
2024-05-15 05:46:00+00:00,697.75,706.75,697.75,702.75,3909
2024-05-15 06:01:00+00:00,697.75,706.75,697.75,702.75,3909
2024-05-15 06:16:00+00:00,697.75,706.75,697.75,702.75,3909
2024-05-15 06:31:00+00:00,697.75,706.75,697.75,702.75,3909
