date,open,high,low,close,volume,barCount,average
2024-01-29 15:30:00+00:00,181.375,181.925,181.35,181.525,2274,1062,181.6275
2024-01-29 15:45:00+00:00,181.55,181.625,181.35,181.425,884,456,181.4475
2024-01-29 16:00:00+00:00,181.4,181.5,181.225,181.375,968,434,181.3475
2024-01-29 16:15:00+00:00,181.375,181.475,181.175,181.275,711,316,181.335
2024-01-29 16:30:00+00:00,181.3,181.525,181.175,181.35,975,413,181.3025
2024-01-29 16:45:00+00:00,181.35,181.9,181.35,181.875,695,348,181.6975
2024-01-29 17:00:00+00:00,181.85,182.225,181.75,182.2,571,307,182.0025
2024-01-29 17:15:00+00:00,182.275,182.525,182.075,182.15,1374,444,182.3
2024-01-29 17:30:00+00:00,182.15,182.525,182.1,182.475,415,216,182.3325
2024-01-29 17:45:00+00:00,182.45,182.775,182.375,182.75,1007,390,182.6
2024-01-29 18:00:00+00:00,182.75,183.4,182.65,183.375,1493,577,182.9825
2024-01-29 18:15:00+00:00,183.375,183.45,182.975,183.325,1254,480,183.2225
2024-01-29 18:30:00+00:00,183.325,183.35,182.75,182.9,941,365,183.0625
2024-01-29 18:45:00+00:00,182.9,182.9,182.2,182.225,1363,533,182.5
2024-01-29 19:00:00+00:00,182.275,182.425,182.025,182.275,785,303,182.2475
2024-01-29 19:15:00+00:00,182.25,182.25,181.575,181.65,1350,468,181.845
2024-01-29 19:30:00+00:00,181.65,181.65,181.0,181.175,1313,544,181.345
2024-01-29 19:45:00+00:00,181.2,181.4,180.975,181.15,1884,923,181.2225
2024-01-29 20:00:00+00:00,181.15,181.2,181.1,181.15,535,137,181.1575
2024-01-30 15:30:00+00:00,180.9,181.325,180.575,181.325,2977,1384,180.825
2024-01-30 15:45:00+00:00,181.325,181.35,180.675,180.725,996,525,181.03
2024-01-30 16:00:00+00:00,180.725,180.85,180.525,180.775,1033,461,180.6775
2024-01-30 16:15:00+00:00,180.775,180.9,180.425,180.525,1212,475,180.645
2024-01-30 16:30:00+00:00,180.55,180.8,180.45,180.475,805,355,180.605
2024-01-30 16:45:00+00:00,180.5,180.825,180.425,180.775,485,234,180.6575
2024-01-30 17:00:00+00:00,180.75,180.9,180.6,180.85,440,233,180.7375
2024-01-30 17:15:00+00:00,180.85,181.075,180.75,181.075,493,251,180.92
2024-01-30 17:30:00+00:00,181.1,181.2,180.925,181.075,379,201,181.085
2024-01-30 17:45:00+00:00,181.075,181.225,181.025,181.2,339,200,181.125
2024-01-30 18:00:00+00:00,181.2,181.2,180.9,181.0,488,223,181.0425
2024-01-30 18:15:00+00:00,181.0,181.25,181.0,181.175,381,197,181.16
2024-01-30 18:30:00+00:00,181.175,181.475,181.05,181.4,646,310,181.2825
2024-01-30 18:45:00+00:00,181.4,181.475,181.1,181.275,516,213,181.32
2024-01-30 19:00:00+00:00,181.25,181.575,181.2,181.5,366,178,181.455
2024-01-30 19:15:00+00:00,181.475,181.725,181.425,181.7,444,225,181.6025
2024-01-30 19:30:00+00:00,181.7,181.875,181.6,181.8,820,341,181.75
2024-01-30 19:45:00+00:00,181.8,181.85,181.675,181.725,1522,572,181.7625
2024-01-30 20:00:00+00:00,181.7,181.725,181.6,181.675,340,115,181.67
2024-01-31 15:30:00+00:00,181.25,181.625,181.025,181.3,2728,1082,181.315
2024-01-31 15:45:00+00:00,181.3,181.425,181.05,181.15,1032,521,181.195
2024-01-31 16:00:00+00:00,181.15,181.225,180.775,180.85,1114,565,180.97
2024-01-31 16:15:00+00:00,180.85,181.025,180.725,180.9,1021,459,180.8725
2024-01-31 16:30:00+00:00,180.9,181.0,180.75,180.85,730,336,180.865
2024-01-31 16:45:00+00:00,180.825,181.3,180.8,181.25,906,427,181.04
2024-01-31 17:00:00+00:00,181.225,181.65,181.075,181.475,1112,414,181.395
2024-01-31 17:15:00+00:00,181.475,181.525,181.275,181.325,353,168,181.41
2024-01-31 17:30:00+00:00,181.3,181.4,181.125,181.225,399,189,181.2825
2024-01-31 17:45:00+00:00,181.225,181.325,181.1,181.2,299,161,181.2
2024-01-31 18:00:00+00:00,181.15,181.4,181.15,181.375,372,160,181.2875
2024-01-31 18:15:00+00:00,181.375,181.375,181.225,181.375,240,132,181.3025
2024-01-31 18:30:00+00:00,181.375,181.5,181.05,181.075,659,270,181.2875
2024-01-31 18:45:00+00:00,181.075,181.15,181.025,181.1,498,226,181.0875
2024-01-31 19:00:00+00:00,181.1,181.1,180.9,180.95,566,239,180.98
2024-01-31 19:15:00+00:00,180.95,181.15,180.875,180.925,548,266,181.03
2024-01-31 19:30:00+00:00,180.925,180.95,180.7,180.8,574,238,180.82
2024-01-31 19:45:00+00:00,180.8,180.8,180.55,180.725,1818,690,180.6775
2024-01-31 20:00:00+00:00,180.725,181.0,180.725,180.925,403,151,180.8375
2024-02-01 15:30:00+00:00,181.025,181.325,180.8,180.975,2168,1053,181.13
2024-02-01 15:45:00+00:00,180.95,181.15,180.9,181.0,849,490,181.0475
2024-02-01 16:00:00+00:00,181.0,181.6,180.825,181.6,1502,653,181.165
2024-02-01 16:15:00+00:00,181.575,181.85,181.475,181.7,1186,511,181.675
2024-02-01 16:30:00+00:00,181.675,181.75,181.45,181.7,621,353,181.58
2024-02-01 16:45:00+00:00,181.725,181.75,181.15,181.15,643,345,181.4725
2024-02-01 17:00:00+00:00,181.15,181.375,180.95,181.25,937,385,181.1375
2024-02-01 17:15:00+00:00,181.225,181.225,180.925,180.95,519,233,181.085
2024-02-01 17:30:00+00:00,180.95,181.225,180.95,181.15,416,205,181.0975
2024-02-01 17:45:00+00:00,181.175,181.45,181.175,181.45,526,317,181.285
2024-02-01 18:00:00+00:00,181.45,181.8,181.3,181.7,766,296,181.565
2024-02-01 18:15:00+00:00,181.675,182.4,181.675,182.325,2065,659,181.9625
2024-02-01 18:30:00+00:00,182.325,183.0,182.275,182.9,1832,685,182.6825
2024-02-01 18:45:00+00:00,182.875,183.2,182.85,182.9,1054,486,183.05
2024-02-01 19:00:00+00:00,182.9,183.375,182.9,183.2,1414,609,183.165
2024-02-01 19:15:00+00:00,183.175,183.35,182.875,183.05,871,373,183.09
2024-02-01 19:30:00+00:00,183.05,183.125,182.8,182.8,708,296,182.9825
2024-02-01 19:45:00+00:00,182.825,183.225,182.825,183.15,1756,760,183.08
2024-02-01 20:00:00+00:00,183.175,183.2,183.0,183.1,431,167,183.13
2024-02-02 15:30:00+00:00,183.175,183.5,182.85,182.95,3400,1460,183.1475
2024-02-02 15:45:00+00:00,182.925,183.425,182.925,183.425,1502,681,183.1675
2024-02-02 16:00:00+00:00,183.425,183.5,183.2,183.325,1128,548,183.33
2024-02-02 16:15:00+00:00,183.3,184.15,183.3,184.1,2348,863,183.785
2024-02-02 16:30:00+00:00,184.1,184.2,183.65,183.85,898,391,183.86
2024-02-02 16:45:00+00:00,183.825,184.25,183.8,184.2,987,436,184.0675
2024-02-02 17:00:00+00:00,184.2,184.3,184.025,184.075,1109,501,184.1575
2024-02-02 17:15:00+00:00,184.075,184.175,183.675,183.725,1326,490,183.96
2024-02-02 17:30:00+00:00,183.75,183.975,183.725,183.925,671,312,183.8725
2024-02-02 17:45:00+00:00,183.925,184.075,183.775,183.875,741,333,183.9225
2024-02-02 18:00:00+00:00,183.9,183.925,183.525,183.775,661,328,183.75
2024-02-02 18:15:00+00:00,183.75,183.775,183.475,183.475,540,248,183.63
2024-02-02 18:30:00+00:00,183.475,183.8,183.45,183.6,534,231,183.66
2024-02-02 18:45:00+00:00,183.6,183.6,183.2,183.35,861,443,183.38
2024-02-02 19:00:00+00:00,183.325,183.575,183.25,183.5,524,261,183.425
2024-02-02 19:15:00+00:00,183.5,183.5,183.2,183.375,609,307,183.3525
2024-02-02 19:30:00+00:00,183.375,183.475,183.325,183.45,661,330,183.395
2024-02-02 19:45:00+00:00,183.45,183.825,183.425,183.775,1759,650,183.675
2024-02-02 20:00:00+00:00,183.775,184.0,183.7,183.925,552,174,183.82
2024-02-05 15:30:00+00:00,183.85,184.45,183.25,184.425,3091,1324,183.8475
2024-02-05 15:45:00+00:00,184.425,184.475,184.0,184.15,1988,802,184.2375
2024-02-05 16:00:00+00:00,184.125,184.175,183.15,183.25,1936,804,183.7425
2024-02-05 16:15:00+00:00,183.25,183.675,183.25,183.425,1239,566,183.4775
2024-02-05 16:30:00+00:00,183.45,183.6,183.25,183.35,724,337,183.365
2024-02-05 16:45:00+00:00,183.325,183.675,183.325,183.65,548,249,183.545
2024-02-05 17:00:00+00:00,183.625,183.9,183.575,183.65,704,351,183.715
2024-02-05 17:15:00+00:00,183.65,183.8,183.55,183.775,348,180,183.67
2024-02-05 17:30:00+00:00,183.75,183.95,183.375,183.4,495,237,183.73
2024-02-05 17:45:00+00:00,183.375,183.45,183.075,183.325,560,259,183.2475
2024-02-05 18:00:00+00:00,183.35,183.6,183.175,183.275,533,253,183.385
2024-02-05 18:15:00+00:00,183.275,183.275,182.725,183.05,1059,387,182.945
2024-02-05 18:30:00+00:00,183.025,183.15,183.0,183.1,441,193,183.06
2024-02-05 18:45:00+00:00,183.1,183.1,182.75,182.825,478,209,182.905
2024-02-05 19:00:00+00:00,182.85,182.875,182.75,182.85,412,195,182.8225
2024-02-05 19:15:00+00:00,182.85,182.85,182.35,182.425,694,294,182.6375
2024-02-05 19:30:00+00:00,182.425,182.6,182.4,182.475,797,336,182.5025
2024-02-05 19:45:00+00:00,182.475,182.525,182.25,182.375,1503,599,182.355
2024-02-05 20:00:00+00:00,182.375,182.5,182.35,182.475,612,214,182.425
2024-02-06 15:30:00+00:00,182.275,183.025,182.275,182.925,2443,1014,182.6575
2024-02-06 15:45:00+00:00,182.95,183.5,182.9,183.45,1262,591,183.125
2024-02-06 16:00:00+00:00,183.425,183.65,183.325,183.575,1716,683,183.475
2024-02-06 16:15:00+00:00,183.575,183.6,183.325,183.35,1020,417,183.465
2024-02-06 16:30:00+00:00,183.4,183.7,183.4,183.7,834,366,183.605
2024-02-06 16:45:00+00:00,183.7,183.9,183.7,183.825,1152,386,183.8125
2024-02-06 17:00:00+00:00,183.825,184.45,183.775,184.225,2348,745,184.13
2024-02-06 17:15:00+00:00,184.2,185.225,184.2,185.2,2357,879,184.8975
2024-02-06 17:30:00+00:00,185.175,185.675,185.15,185.625,2643,811,185.49
2024-02-06 17:45:00+00:00,185.625,186.575,185.575,186.125,3485,1018,186.1625
2024-02-06 18:00:00+00:00,186.2,186.2,185.55,185.55,2518,793,185.835
2024-02-06 18:15:00+00:00,185.575,186.125,185.375,186.075,1721,640,185.645
2024-02-06 18:30:00+00:00,186.1,186.4,186.075,186.375,1462,562,186.235
2024-02-06 18:45:00+00:00,186.4,186.425,185.825,185.85,1365,498,186.1275
2024-02-06 19:00:00+00:00,185.825,186.175,185.675,186.125,974,392,185.8775
2024-02-06 19:15:00+00:00,186.125,186.175,185.85,186.075,606,280,186.0575
2024-02-06 19:30:00+00:00,186.1,186.25,186.0,186.1,1090,412,186.125
2024-02-06 19:45:00+00:00,186.125,186.325,185.975,186.025,3122,1023,186.17
2024-02-06 20:00:00+00:00,186.0,186.025,185.85,185.925,894,234,185.95
2024-02-07 15:30:00+00:00,186.05,186.2,185.4,185.625,3503,1424,185.6975
2024-02-07 15:45:00+00:00,185.65,185.925,185.5,185.725,1768,688,185.7175
2024-02-07 16:00:00+00:00,185.75,186.15,185.5,185.8,1630,679,185.815
2024-02-07 16:15:00+00:00,185.8,185.8,185.275,185.275,1118,462,185.435
2024-02-07 16:30:00+00:00,185.3,185.525,185.125,185.375,790,369,185.2925
2024-02-07 16:45:00+00:00,185.4,185.425,185.15,185.225,674,299,185.3025
2024-02-07 17:00:00+00:00,185.2,185.525,185.2,185.275,526,274,185.3775
2024-02-07 17:15:00+00:00,185.3,185.375,185.125,185.275,389,197,185.2425
2024-02-07 17:30:00+00:00,185.25,185.5,185.025,185.425,578,267,185.2225
2024-02-07 17:45:00+00:00,185.45,185.725,185.15,185.225,622,319,185.46
2024-02-07 18:00:00+00:00,185.25,185.5,185.2,185.375,380,186,185.3325
2024-02-07 18:15:00+00:00,185.325,185.425,185.175,185.175,399,203,185.2775
2024-02-07 18:30:00+00:00,185.175,185.2,184.55,184.625,1681,544,184.8175
2024-02-07 18:45:00+00:00,184.65,184.825,184.4,184.575,1043,404,184.5775
2024-02-07 19:00:00+00:00,184.6,184.7,184.5,184.5,785,329,184.595
2024-02-07 19:15:00+00:00,184.475,185.025,184.45,185.0,1016,385,184.7175
2024-02-07 19:30:00+00:00,184.975,184.975,184.35,184.55,943,379,184.58
2024-02-07 19:45:00+00:00,184.55,184.9,184.45,184.9,2033,650,184.7325
2024-02-07 20:00:00+00:00,184.9,185.125,184.875,184.95,738,163,184.9825
2024-02-08 15:30:00+00:00,185.275,187.125,185.15,186.65,4890,1735,186.5425
2024-02-08 15:45:00+00:00,186.65,187.35,186.5,187.3,2189,836,186.905
2024-02-08 16:00:00+00:00,187.325,187.45,187.075,187.4,1352,578,187.325
2024-02-08 16:15:00+00:00,187.4,187.475,186.825,186.9,1105,441,187.12
2024-02-08 16:30:00+00:00,186.875,187.0,186.425,186.425,838,376,186.7225
2024-02-08 16:45:00+00:00,186.425,186.7,186.325,186.425,736,274,186.475
2024-02-08 17:00:00+00:00,186.425,186.65,186.4,186.65,483,201,186.5275
2024-02-08 17:15:00+00:00,186.625,186.75,186.4,186.725,660,297,186.565
2024-02-08 17:30:00+00:00,186.725,186.825,186.375,186.375,412,218,186.615
2024-02-08 17:45:00+00:00,186.375,186.5,186.075,186.325,865,349,186.2775
2024-02-08 18:00:00+00:00,186.35,186.425,186.075,186.2,477,234,186.2475
2024-02-08 18:15:00+00:00,186.175,186.2,185.8,185.95,621,246,185.995
2024-02-08 18:30:00+00:00,185.925,186.4,185.925,186.375,399,201,186.22
2024-02-08 18:45:00+00:00,186.35,186.375,186.15,186.2,346,197,186.3
2024-02-08 19:00:00+00:00,186.175,186.6,186.125,186.575,467,254,186.4375
2024-02-08 19:15:00+00:00,186.55,186.575,186.425,186.5,432,221,186.5
2024-02-08 19:30:00+00:00,186.475,186.55,186.225,186.375,702,337,186.39
2024-02-08 19:45:00+00:00,186.4,186.85,186.4,186.6,2176,802,186.6125
2024-02-08 20:00:00+00:00,186.575,186.6,186.2,186.25,462,143,186.385
2024-02-09 15:30:00+00:00,186.4,187.475,186.375,187.175,3653,1267,187.08
2024-02-09 15:45:00+00:00,187.15,187.25,186.575,186.725,1118,528,186.8825
2024-02-09 16:00:00+00:00,186.725,186.775,186.05,186.05,1283,614,186.415
2024-02-09 16:15:00+00:00,186.075,186.225,185.825,186.1,1204,575,186.0175
2024-02-09 16:30:00+00:00,186.15,186.45,185.9,186.325,831,373,186.125
2024-02-09 16:45:00+00:00,186.35,186.5,186.2,186.2,466,252,186.38
2024-02-09 17:00:00+00:00,186.225,186.7,186.075,186.7,526,258,186.4075
2024-02-09 17:15:00+00:00,186.725,186.75,186.325,186.525,494,269,186.585
2024-02-09 17:30:00+00:00,186.55,186.625,186.3,186.575,281,146,186.4425
2024-02-09 17:45:00+00:00,186.6,186.875,186.5,186.7,481,209,186.67
2024-02-09 18:00:00+00:00,186.725,186.9,186.575,186.575,284,155,186.76
2024-02-09 18:15:00+00:00,186.6,186.825,186.55,186.6,288,140,186.705
2024-02-09 18:30:00+00:00,186.625,186.675,186.45,186.55,264,165,186.57
2024-02-09 18:45:00+00:00,186.525,186.725,186.125,186.15,568,230,186.4275
2024-02-09 19:00:00+00:00,186.125,186.45,186.05,186.4,678,289,186.25
2024-02-09 19:15:00+00:00,186.4,186.4,186.225,186.3,291,158,186.3225
2024-02-09 19:30:00+00:00,186.325,186.675,186.325,186.65,764,323,186.5025
2024-02-09 19:45:00+00:00,186.65,186.775,186.525,186.75,1674,687,186.6975
2024-02-09 20:00:00+00:00,186.775,186.8,186.525,186.525,522,152,186.74
2024-02-12 15:30:00+00:00,186.65,186.95,186.5,186.825,1922,801,186.74
2024-02-12 15:45:00+00:00,186.825,187.25,186.6,187.175,964,436,187.055
2024-02-12 16:00:00+00:00,187.15,187.575,187.125,187.5,1398,499,187.35
2024-02-12 16:15:00+00:00,187.55,187.575,186.825,187.075,1147,533,187.07
2024-02-12 16:30:00+00:00,187.075,187.075,186.6,186.6,814,374,186.7975
2024-02-12 16:45:00+00:00,186.625,186.675,186.1,186.3,1211,428,186.37
2024-02-12 17:00:00+00:00,186.3,186.375,186.05,186.175,683,328,186.2125
2024-02-12 17:15:00+00:00,186.175,186.4,185.975,185.975,609,245,186.1825
2024-02-12 17:30:00+00:00,186.025,186.125,185.75,186.0,1060,409,185.925
2024-02-12 17:45:00+00:00,186.025,186.225,185.75,185.775,603,258,185.99
2024-02-12 18:00:00+00:00,185.8,186.125,185.775,185.975,632,272,185.9525
2024-02-12 18:15:00+00:00,186.0,186.0,185.675,185.7,473,228,185.835
2024-02-12 18:30:00+00:00,185.675,185.85,185.525,185.775,553,297,185.665
2024-02-12 18:45:00+00:00,185.8,186.15,185.675,186.05,416,190,185.9275
2024-02-12 19:00:00+00:00,186.025,186.025,185.85,185.95,350,154,185.96
2024-02-12 19:15:00+00:00,185.925,186.0,185.8,185.825,262,133,185.8775
2024-02-12 19:30:00+00:00,185.85,186.0,185.75,185.8,602,281,185.88
2024-02-12 19:45:00+00:00,185.8,186.025,185.75,186.025,1851,655,185.8925
2024-02-12 20:00:00+00:00,186.025,186.175,186.0,186.125,673,287,186.08
2024-02-13 15:30:00+00:00,185.5,185.7,184.775,184.875,3146,1295,185.2475
2024-02-13 15:45:00+00:00,184.85,185.375,184.75,185.25,1868,713,185.0475
2024-02-13 16:00:00+00:00,185.25,185.425,185.15,185.25,734,398,185.28
2024-02-13 16:15:00+00:00,185.275,185.45,185.075,185.075,638,325,185.2425
2024-02-13 16:30:00+00:00,185.125,185.3,185.0,185.175,593,240,185.155
2024-02-13 16:45:00+00:00,185.175,185.35,185.125,185.3,507,251,185.2425
2024-02-13 17:00:00+00:00,185.325,185.4,185.15,185.2,360,144,185.28
