date,open,high,low,close,volume,barCount,average
2023-09-29 15:30:00+00:00,190.15,190.175,189.425,189.625,2185,1062,189.715
2023-09-29 15:45:00+00:00,189.6,189.7,189.325,189.475,918,459,189.47
2023-09-29 16:00:00+00:00,189.5,189.5,188.6,188.75,1783,676,189.005
2023-09-29 16:15:00+00:00,188.75,188.8,188.05,188.425,2011,832,188.385
2023-09-29 16:30:00+00:00,188.4,188.45,188.15,188.275,1191,528,188.2575
2023-09-29 16:45:00+00:00,188.275,188.575,188.275,188.45,586,284,188.435
2023-09-29 17:00:00+00:00,188.45,188.5,188.275,188.325,470,222,188.38
2023-09-29 17:15:00+00:00,188.35,188.725,188.3,188.7,372,210,188.4525
2023-09-29 17:30:00+00:00,188.675,188.8,188.425,188.5,379,228,188.605
2023-09-29 17:45:00+00:00,188.5,188.525,188.35,188.45,275,173,188.4275
2023-09-29 18:00:00+00:00,188.475,188.925,188.425,188.875,563,268,188.675
2023-09-29 18:15:00+00:00,188.85,188.875,188.25,188.3,878,347,188.485
2023-09-29 18:30:00+00:00,188.325,188.325,187.925,187.975,1310,504,188.1075
2023-09-29 18:45:00+00:00,188.0,188.3,187.975,188.25,770,258,188.155
2023-09-29 19:00:00+00:00,188.25,188.25,188.075,188.075,500,208,188.1525
2023-09-29 19:15:00+00:00,188.1,188.175,187.875,188.125,937,391,187.98
2023-09-29 19:30:00+00:00,188.15,188.15,187.975,188.1,597,295,188.035
2023-09-29 19:45:00+00:00,188.075,188.15,187.85,187.925,2302,766,187.96
2023-09-29 20:00:00+00:00,187.925,188.05,187.85,187.95,565,164,187.9525
2023-10-02 15:30:00+00:00,188.5,189.125,188.15,188.925,3115,1341,188.505
2023-10-02 15:45:00+00:00,188.925,189.2,188.725,189.175,1596,639,189.0075
2023-10-02 16:00:00+00:00,189.15,189.775,189.025,189.575,1932,707,189.45
2023-10-02 16:15:00+00:00,189.55,190.25,189.25,189.8,2048,793,189.7775
2023-10-02 16:30:00+00:00,189.825,189.9,189.55,189.775,926,409,189.7425
2023-10-02 16:45:00+00:00,189.75,189.8,189.45,189.7,949,370,189.635
2023-10-02 17:00:00+00:00,189.725,189.775,189.35,189.375,749,347,189.5625
2023-10-02 17:15:00+00:00,189.35,189.4,188.975,189.15,807,358,189.155
2023-10-02 17:30:00+00:00,189.15,189.3,189.125,189.15,583,252,189.1975
2023-10-02 17:45:00+00:00,189.15,189.225,188.675,188.775,868,409,188.9725
2023-10-02 18:00:00+00:00,188.775,189.2,188.675,189.15,669,286,189.005
2023-10-02 18:15:00+00:00,189.175,189.2,188.575,188.65,851,380,188.825
2023-10-02 18:30:00+00:00,188.675,188.925,188.45,188.475,752,341,188.7275
2023-10-02 18:45:00+00:00,188.5,188.825,188.4,188.775,600,316,188.59
2023-10-02 19:00:00+00:00,188.775,188.85,188.5,188.725,486,280,188.6575
2023-10-02 19:15:00+00:00,188.725,188.825,188.525,188.8,515,266,188.6725
2023-10-02 19:30:00+00:00,188.775,188.775,188.4,188.5,694,320,188.5275
2023-10-02 19:45:00+00:00,188.5,188.6,188.3,188.4,1906,707,188.4225
2023-10-02 20:00:00+00:00,188.4,188.55,188.375,188.5,405,170,188.46
2023-10-03 15:30:00+00:00,188.0,188.0,186.775,186.875,4842,1728,187.1875
2023-10-03 15:45:00+00:00,186.9,186.9,186.475,186.65,2548,958,186.6725
2023-10-03 16:00:00+00:00,186.65,186.675,186.45,186.65,1619,699,186.5675
2023-10-03 16:15:00+00:00,186.65,187.075,186.6,186.9,1341,521,186.8675
2023-10-03 16:30:00+00:00,186.875,187.15,186.7,187.1,952,371,186.9125
2023-10-03 16:45:00+00:00,187.125,187.2,186.575,186.575,641,286,186.865
2023-10-03 17:00:00+00:00,186.55,186.6,185.875,185.9,2444,889,186.225
2023-10-03 17:15:00+00:00,185.925,186.175,185.9,186.15,911,403,186.02
2023-10-03 17:30:00+00:00,186.125,186.175,185.85,186.05,840,343,186.0175
2023-10-03 17:45:00+00:00,186.025,186.15,185.575,185.975,1409,556,185.8825
