date,Open,High,Low,Close,Volume,Barcount,Average
2024-02-26 15:30:00+00:00,183.325,183.825,182.875,183.55,4263,1726,183.36531039
2024-02-26 15:45:00+00:00,183.55,183.55,182.875,183.05,2387,891,183.05570036
2024-02-26 16:00:00+00:00,183.075,183.725,183.075,183.65,1227,498,183.40954039
2024-02-26 16:15:00+00:00,183.625,183.975,183.425,183.85,668,325,183.65526263
2024-02-26 16:30:00+00:00,183.875,183.95,183.575,183.9,621,298,183.77566653
2024-02-26 16:45:00+00:00,183.875,184.7,183.825,184.525,1139,463,184.30396936
2024-02-26 17:00:00+00:00,184.525,184.825,184.375,184.825,942,397,184.61603661
2024-02-26 17:15:00+00:00,184.775,184.925,184.675,184.85,745,310,184.81507163
2024-02-26 17:30:00+00:00,184.875,184.925,184.525,184.55,545,253,184.7020394
2024-02-26 17:45:00+00:00,184.525,185.35,184.525,185.15,1533,518,184.99936331
2024-02-26 18:00:00+00:00,185.1,185.575,185.075,185.45,1080,447,185.3925189
2024-02-26 18:15:00+00:00,185.45,185.5,185.125,185.3,519,275,185.29177278
2024-02-26 18:30:00+00:00,185.275,185.475,185.275,185.35,338,166,185.37286112
2024-02-26 18:45:00+00:00,185.325,185.475,185.075,185.275,398,220,185.29914445
2024-02-26 19:00:00+00:00,185.275,185.3,185.075,185.15,380,215,185.18856944
2024-02-26 19:15:00+00:00,185.175,185.175,184.9,185.025,532,250,185.02639276
2024-02-26 19:30:00+00:00,185.075,185.2,184.9,184.95,496,294,185.01902109
2024-02-26 19:45:00+00:00,184.95,185.175,184.825,184.85,2088,857,184.93547553
2024-02-26 20:00:00+00:00,184.875,184.925,184.8,184.9,382,112,184.88141663
2024-02-27 15:30:00+00:00,185.075,185.5,184.625,185.5,2327,1078,185.06079387
2024-02-27 15:45:00+00:00,185.475,185.925,185.475,185.8,1944,691,185.6554417
2024-02-27 16:00:00+00:00,185.8,185.85,185.45,185.55,1159,441,185.6554417
2024-02-27 16:15:00+00:00,185.5,185.5,185.175,185.425,542,315,185.3261739
2024-02-27 16:30:00+00:00,185.4,185.425,184.625,184.975,1179,526,184.9330183
2024-02-27 16:45:00+00:00,184.925,185.15,184.85,185.1,365,217,185.04113609
2024-02-27 17:00:00+00:00,185.075,185.3,185.05,185.3,580,302,185.20822722
2024-02-27 17:15:00+00:00,185.3,185.35,184.8,184.875,480,196,185.07799443
2024-02-27 17:30:00+00:00,184.875,184.975,184.65,184.725,503,242,184.80032829
2024-02-27 17:45:00+00:00,184.7,184.725,184.5,184.575,794,317,184.58654994
2024-02-27 18:00:00+00:00,184.575,184.675,184.475,184.475,493,225,184.57180661
2024-02-27 18:15:00+00:00,184.475,184.5,184.125,184.25,864,363,184.29659769
2024-02-27 18:30:00+00:00,184.225,184.4,184.1,184.25,410,202,184.20568046
2024-02-27 18:45:00+00:00,184.225,184.425,184.225,184.425,263,147,184.33345603
2024-02-27 19:00:00+00:00,184.425,184.525,184.35,184.5,316,132,184.45385993
2024-02-27 19:15:00+00:00,184.475,184.5,184.25,184.475,278,159,184.39488659
2024-02-27 19:30:00+00:00,184.475,184.6,184.45,184.475,477,183,184.53986271
2024-02-27 19:45:00+00:00,184.5,184.575,184.45,184.525,934,374,184.51283327
2024-02-27 20:00:00+00:00,184.5,184.75,184.5,184.725,468,155,184.6037505
2024-02-28 15:30:00+00:00,184.5,184.5,183.7,183.75,2357,1009,184.12459212
2024-02-28 15:45:00+00:00,183.75,184.0,183.675,184.0,1326,561,183.78795265
2024-02-28 16:00:00+00:00,184.025,184.2,183.725,184.025,861,442,183.94767211
2024-02-28 16:15:00+00:00,184.025,184.175,183.125,183.25,1690,625,183.5201154
2024-02-28 16:30:00+00:00,183.2,183.225,182.825,182.925,1423,643,182.98444091
2024-02-28 16:45:00+00:00,182.9,183.125,182.725,182.775,978,418,182.86895145
2024-02-28 17:00:00+00:00,182.75,183.275,182.75,183.225,667,331,183.03112813
2024-02-28 17:15:00+00:00,183.2,183.2,182.85,182.95,694,340,183.00409869
2024-02-28 17:30:00+00:00,182.975,183.625,182.975,183.35,739,357,183.34319538
2024-02-28 17:45:00+00:00,183.35,183.575,183.3,183.525,418,194,183.46605651
2024-02-28 18:00:00+00:00,183.525,183.575,183.2,183.45,617,268,183.36776761
2024-02-28 18:15:00+00:00,183.475,183.475,183.15,183.225,234,131,183.28667927
2024-02-28 18:30:00+00:00,183.2,183.3,182.975,182.975,319,175,183.14907481
2024-02-28 18:45:00+00:00,182.975,183.225,182.75,183.2,694,347,182.96232591
2024-02-28 19:00:00+00:00,183.175,183.375,183.1,183.225,372,166,183.24736371
2024-02-28 19:15:00+00:00,183.225,183.475,183.225,183.25,447,174,183.35302427
2024-02-28 19:30:00+00:00,183.275,183.475,183.225,183.45,870,290,183.38251094
2024-02-28 19:45:00+00:00,183.45,183.475,182.875,182.875,1967,629,183.06798647
2024-02-28 20:00:00+00:00,182.9,182.975,182.825,182.875,472,149,182.89352368
2024-02-29 15:30:00+00:00,182.825,182.925,182.125,182.35,4145,1676,182.46350975
2024-02-29 15:45:00+00:00,182.35,182.55,181.65,181.675,3250,1215,182.06052527
2024-02-29 16:00:00+00:00,181.75,181.9,181.425,181.825,2009,811,181.65754079
2024-02-29 16:15:00+00:00,181.85,181.875,181.325,181.4,1208,482,181.53222244
2024-02-29 16:30:00+00:00,181.425,181.925,181.325,181.675,1373,553,181.65999801
2024-02-29 16:45:00+00:00,181.675,182.125,181.575,182.125,742,356,181.79268802
2024-02-29 17:00:00+00:00,182.125,182.2,181.95,182.05,427,228,182.07772583
2024-02-29 17:15:00+00:00,182.075,182.1,181.9,182.025,358,177,182.02612415
2024-02-29 17:30:00+00:00,182.05,182.475,182.05,182.375,606,290,182.33573418
2024-02-29 17:45:00+00:00,182.375,182.65,182.25,182.375,836,353,182.42665141
2024-02-29 18:00:00+00:00,182.4,182.725,182.275,182.55,851,375,182.55442698
2024-02-29 18:15:00+00:00,182.575,182.6,182.35,182.45,426,194,182.49791086
2024-02-29 18:30:00+00:00,182.475,183.175,182.4,183.1,934,372,182.77311978
2024-02-29 18:45:00+00:00,183.05,183.05,182.6,182.775,734,325,182.83700756
2024-02-29 19:00:00+00:00,182.775,182.85,182.4,182.45,645,275,182.62322921
2024-02-29 19:15:00+00:00,182.475,182.575,182.375,182.55,368,179,182.47088142
2024-02-29 19:30:00+00:00,182.55,182.6,182.3,182.325,609,304,182.43156586
2024-02-29 19:45:00+00:00,182.325,182.525,182.075,182.275,2339,775,182.26447473
2024-02-29 20:00:00+00:00,182.3,182.375,182.2,182.35,337,114,182.27430362
2024-03-01 15:30:00+00:00,182.25,183.475,182.225,183.425,2892,1144,182.96724035
2024-03-01 15:45:00+00:00,183.45,183.575,183.25,183.5,1360,616,183.42919817
2024-03-01 16:00:00+00:00,183.525,183.6,183.05,183.4,1058,544,183.33582372
2024-03-01 16:15:00+00:00,183.4,183.9,183.375,183.725,1444,603,183.64543374
2024-03-01 16:30:00+00:00,183.725,183.9,183.65,183.675,926,424,183.81006765
2024-03-01 16:45:00+00:00,183.65,183.775,183.45,183.675,636,328,183.59874652
2024-03-01 17:00:00+00:00,183.675,183.7,183.325,183.525,608,268,183.52994429
