Date,Open,High,Low,Close,Volume,Barcount,Average
2023-12-29 01:00:00+00:00,2.369,2.37,2.368,2.369,23,17,2.3697
2023-12-29 01:15:00+00:00,2.37,2.373,2.37,2.372,147,35,2.371
2023-12-29 01:30:00+00:00,2.372,2.375,2.372,2.375,13,11,2.373
2023-12-29 01:45:00+00:00,2.374,2.374,2.373,2.374,8,5,2.3739
2023-12-29 02:00:00+00:00,2.373,2.373,2.369,2.371,41,33,2.3701
2023-12-29 02:15:00+00:00,2.371,2.375,2.371,2.375,8,5,2.3735
2023-12-29 02:30:00+00:00,2.375,2.378,2.375,2.375,6,5,2.3765
2023-12-29 02:45:00+00:00,2.375,2.375,2.375,2.375,0,0,2.375
2023-12-29 03:00:00+00:00,2.378,2.378,2.374,2.374,14,9,2.3764
2023-12-29 03:15:00+00:00,2.376,2.377,2.374,2.374,24,8,2.3752
2023-12-29 03:30:00+00:00,2.375,2.375,2.375,2.375,1,1,2.375
2023-12-29 03:45:00+00:00,2.375,2.375,2.371,2.372,18,12,2.3728
2023-12-29 04:00:00+00:00,2.373,2.373,2.369,2.371,31,19,2.3699
2023-12-29 04:15:00+00:00,2.371,2.374,2.37,2.37,13,6,2.3712
2023-12-29 04:30:00+00:00,2.371,2.372,2.371,2.372,4,3,2.3715
2023-12-29 04:45:00+00:00,2.372,2.372,2.372,2.372,0,0,2.372
2023-12-29 05:00:00+00:00,2.368,2.368,2.362,2.363,36,24,2.3641
2023-12-29 05:15:00+00:00,2.362,2.364,2.362,2.363,4,4,2.3628
2023-12-29 05:30:00+00:00,2.364,2.364,2.361,2.361,3,3,2.3627
2023-12-29 05:45:00+00:00,2.363,2.363,2.363,2.363,2,1,2.363
2023-12-29 06:00:00+00:00,2.367,2.368,2.363,2.366,12,9,2.3659
2023-12-29 06:15:00+00:00,2.364,2.364,2.363,2.363,2,2,2.3635
2023-12-29 06:30:00+00:00,2.364,2.369,2.364,2.369,6,4,2.3665
2023-12-29 06:45:00+00:00,2.367,2.367,2.366,2.366,2,2,2.3665
2023-12-29 07:00:00+00:00,2.367,2.367,2.359,2.359,32,17,2.3609
2023-12-29 07:15:00+00:00,2.357,2.359,2.352,2.352,34,19,2.3548
2023-12-29 07:30:00+00:00,2.359,2.36,2.358,2.36,3,3,2.359
2023-12-29 07:45:00+00:00,2.359,2.364,2.357,2.357,44,32,2.3607
2023-12-29 08:00:00+00:00,2.357,2.357,2.348,2.354,70,37,2.3526
2023-12-29 08:15:00+00:00,2.356,2.362,2.356,2.359,39,23,2.3595
2023-12-29 08:30:00+00:00,2.358,2.367,2.357,2.365,63,42,2.3623
2023-12-29 08:45:00+00:00,2.367,2.368,2.366,2.367,29,24,2.367
2023-12-29 09:00:00+00:00,2.368,2.368,2.363,2.363,29,21,2.3651
2023-12-29 09:15:00+00:00,2.363,2.365,2.363,2.364,23,16,2.3643
2023-12-29 09:30:00+00:00,2.363,2.365,2.36,2.36,31,18,2.362
2023-12-29 09:45:00+00:00,2.361,2.362,2.352,2.353,45,28,2.357
2023-12-29 10:00:00+00:00,2.353,2.356,2.352,2.353,73,50,2.3537
2023-12-29 10:15:00+00:00,2.354,2.361,2.354,2.36,46,32,2.3577
2023-12-29 10:30:00+00:00,2.36,2.361,2.358,2.36,38,25,2.3605
2023-12-29 10:45:00+00:00,2.359,2.362,2.357,2.36,42,19,2.3588
2023-12-29 11:00:00+00:00,2.361,2.364,2.356,2.356,61,33,2.3599
2023-12-29 11:15:00+00:00,2.356,2.356,2.35,2.354,59,39,2.354
2023-12-29 11:30:00+00:00,2.355,2.365,2.355,2.36,43,29,2.3609
2023-12-29 11:45:00+00:00,2.361,2.365,2.359,2.365,28,20,2.3629
2023-12-29 12:00:00+00:00,2.365,2.379,2.365,2.377,62,42,2.3732
2023-12-29 12:15:00+00:00,2.379,2.381,2.365,2.365,164,76,2.3718
2023-12-29 12:30:00+00:00,2.366,2.369,2.358,2.362,129,69,2.3629
2023-12-29 12:45:00+00:00,2.362,2.369,2.361,2.361,128,56,2.3643
2023-12-29 13:00:00+00:00,2.36,2.364,2.355,2.36,83,43,2.3587
2023-12-29 13:15:00+00:00,2.36,2.379,2.36,2.375,265,107,2.3699
2023-12-29 13:30:00+00:00,2.372,2.389,2.369,2.388,331,146,2.3817
2023-12-29 13:45:00+00:00,2.39,2.395,2.385,2.394,500,266,2.3909
2023-12-29 14:00:00+00:00,2.395,2.395,2.372,2.376,662,321,2.3796
2023-12-29 14:15:00+00:00,2.376,2.378,2.362,2.364,555,256,2.3696
2023-12-29 14:30:00+00:00,2.363,2.363,2.352,2.354,648,316,2.3574
2023-12-29 14:45:00+00:00,2.353,2.354,2.33,2.337,1047,407,2.3434
2023-12-29 15:00:00+00:00,2.336,2.355,2.332,2.352,696,339,2.3414
2023-12-29 15:15:00+00:00,2.352,2.358,2.346,2.354,302,150,2.3511
2023-12-29 15:30:00+00:00,2.354,2.361,2.346,2.347,311,151,2.3535
2023-12-29 15:45:00+00:00,2.347,2.361,2.347,2.355,364,195,2.3528
2023-12-29 16:00:00+00:00,2.355,2.356,2.342,2.351,606,284,2.3489
2023-12-29 16:15:00+00:00,2.351,2.356,2.35,2.356,457,197,2.3514
2023-12-29 16:30:00+00:00,2.356,2.366,2.356,2.358,386,182,2.3615
2023-12-29 16:45:00+00:00,2.36,2.366,2.353,2.354,363,156,2.3595
2023-12-29 17:00:00+00:00,2.355,2.365,2.351,2.364,476,235,2.3587
2023-12-29 17:15:00+00:00,2.364,2.385,2.364,2.382,1204,476,2.3753
2023-12-29 17:30:00+00:00,2.383,2.387,2.368,2.373,917,325,2.3764
2023-12-29 17:45:00+00:00,2.373,2.378,2.372,2.374,726,340,2.3748
2023-12-29 18:00:00+00:00,2.374,2.377,2.371,2.376,423,170,2.3741
2023-12-29 18:15:00+00:00,2.375,2.383,2.373,2.374,625,189,2.3778
2023-12-29 18:30:00+00:00,2.375,2.377,2.367,2.368,487,164,2.3709
2023-12-29 18:45:00+00:00,2.369,2.372,2.359,2.364,467,186,2.3637
2023-12-29 19:00:00+00:00,2.365,2.371,2.356,2.357,624,224,2.365
2023-12-29 19:15:00+00:00,2.358,2.362,2.349,2.352,446,156,2.3539
2023-12-29 19:30:00+00:00,2.353,2.365,2.351,2.365,383,130,2.3576
2023-12-29 19:45:00+00:00,2.364,2.369,2.354,2.354,377,137,2.3625
2023-12-29 20:00:00+00:00,2.353,2.355,2.341,2.344,1116,381,2.3465
2023-12-29 20:15:00+00:00,2.344,2.349,2.324,2.327,4040,1225,2.3323
2023-12-29 20:30:00+00:00,2.327,2.328,2.317,2.318,1013,368,2.3227
2023-12-29 20:45:00+00:00,2.318,2.323,2.316,2.319,314,156,2.3187
2023-12-29 21:00:00+00:00,2.319,2.32,2.309,2.315,379,163,2.314
2023-12-29 21:15:00+00:00,2.314,2.317,2.309,2.314,220,89,2.3115
2023-12-29 21:30:00+00:00,2.315,2.316,2.307,2.315,270,124,2.3111
2023-12-29 21:45:00+00:00,2.314,2.323,2.314,2.323,222,112,2.3194
2023-12-29 22:00:00+00:00,2.322,2.323,2.317,2.32,182,70,2.32
2023-12-29 22:15:00+00:00,2.319,2.319,2.315,2.318,67,41,2.3173
2023-12-29 22:30:00+00:00,2.317,2.32,2.314,2.314,57,35,2.3165
2023-12-29 22:45:00+00:00,2.316,2.318,2.314,2.314,58,35,2.3154
2024-01-02 00:00:00+00:00,2.398,2.439,2.388,2.432,1673,491,2.4053
2024-01-02 00:15:00+00:00,2.433,2.446,2.431,2.441,181,118,2.4386
2024-01-02 00:30:00+00:00,2.441,2.459,2.441,2.457,115,67,2.4509
2024-01-02 00:45:00+00:00,2.456,2.46,2.455,2.458,60,32,2.4569
2024-01-02 01:00:00+00:00,2.457,2.462,2.457,2.46,37,19,2.4592
2024-01-02 01:15:00+00:00,2.462,2.467,2.46,2.463,28,21,2.4631
2024-01-02 01:30:00+00:00,2.464,2.464,2.453,2.457,43,23,2.458
2024-01-02 01:45:00+00:00,2.458,2.465,2.445,2.465,107,76,2.4533
2024-01-02 02:00:00+00:00,2.464,2.464,2.441,2.444,631,424,2.4512
2024-01-02 02:15:00+00:00,2.443,2.443,2.438,2.439,58,45,2.4402
2024-01-02 02:30:00+00:00,2.438,2.438,2.429,2.43,232,130,2.4331
2024-01-02 02:45:00+00:00,2.429,2.438,2.429,2.432,170,47,2.4336
2024-01-02 03:00:00+00:00,2.432,2.436,2.429,2.43,67,50,2.4322
2024-01-02 03:15:00+00:00,2.43,2.432,2.427,2.432,22,18,2.4287
2024-01-02 03:30:00+00:00,2.43,2.431,2.426,2.43,37,19,2.4276
2024-01-02 03:45:00+00:00,2.43,2.434,2.428,2.434,43,38,2.4327
2024-01-02 04:00:00+00:00,2.433,2.445,2.433,2.445,74,30,2.4399
2024-01-02 04:15:00+00:00,2.447,2.451,2.441,2.441,68,16,2.4479
2024-01-02 04:30:00+00:00,2.435,2.435,2.431,2.434,33,28,2.4333
2024-01-02 04:45:00+00:00,2.434,2.436,2.434,2.436,9,9,2.4351
2024-01-02 05:00:00+00:00,2.437,2.438,2.434,2.434,14,13,2.4364
2024-01-02 05:15:00+00:00,2.434,2.434,2.432,2.433,17,14,2.4334
