date,open,high,low,close,volume,barCount,average
2024-04-29 00:00:00+00:00,2.063,2.085,2.061,2.073,544,274,2.07382623
2024-04-29 00:15:00+00:00,2.074,2.08,2.074,2.079,97,60,2.07790329
2024-04-29 00:30:00+00:00,2.079,2.084,2.078,2.081,87,59,2.0813366
2024-04-29 00:45:00+00:00,2.083,2.086,2.081,2.084,93,46,2.08326783
2024-04-29 01:00:00+00:00,2.084,2.085,2.079,2.083,162,73,2.08187305
2024-04-29 01:15:00+00:00,2.083,2.088,2.081,2.085,201,77,2.08584282
2024-04-29 01:30:00+00:00,2.085,2.086,2.08,2.085,105,40,2.08294596
2024-04-29 01:45:00+00:00,2.086,2.092,2.086,2.09,180,92,2.08820322
2024-04-29 02:00:00+00:00,2.09,2.092,2.086,2.091,420,177,2.08981258
2024-04-29 02:15:00+00:00,2.09,2.092,2.088,2.088,240,87,2.09045633
2024-04-29 02:30:00+00:00,2.088,2.091,2.087,2.087,121,46,2.08916883
2024-04-29 02:45:00+00:00,2.087,2.091,2.087,2.089,76,41,2.08970529
2024-04-29 03:00:00+00:00,2.09,2.091,2.088,2.088,59,33,2.089598
2024-04-29 03:15:00+00:00,2.089,2.091,2.088,2.09,164,50,2.08991987
2024-04-29 03:30:00+00:00,2.09,2.091,2.088,2.09,47,37,2.08927613
2024-04-29 03:45:00+00:00,2.09,2.091,2.09,2.09,16,10,2.09045633
2024-04-29 04:00:00+00:00,2.09,2.091,2.089,2.089,30,28,2.09002716
2024-04-29 04:15:00+00:00,2.09,2.091,2.088,2.088,54,26,2.08938342
2024-04-29 04:30:00+00:00,2.088,2.089,2.086,2.088,49,22,2.08766676
2024-04-29 04:45:00+00:00,2.088,2.089,2.084,2.089,117,55,2.08680843
2024-04-29 05:00:00+00:00,2.088,2.089,2.086,2.086,51,32,2.08713031
2024-04-29 05:15:00+00:00,2.087,2.089,2.086,2.089,47,37,2.08831051
2024-04-29 05:30:00+00:00,2.088,2.088,2.081,2.084,213,134,2.08423345
2024-04-29 05:45:00+00:00,2.085,2.085,2.084,2.085,57,28,2.08444803
2024-04-29 06:00:00+00:00,2.085,2.09,2.085,2.087,142,70,2.08745218
2024-04-29 06:15:00+00:00,2.089,2.09,2.087,2.087,38,26,2.08863238
2024-04-29 06:30:00+00:00,2.088,2.092,2.088,2.09,160,60,2.0907782
2024-04-29 06:45:00+00:00,2.09,2.092,2.089,2.09,58,38,2.09067091
2024-04-29 07:00:00+00:00,2.091,2.091,2.089,2.089,66,41,2.09056362
2024-04-29 07:15:00+00:00,2.089,2.091,2.087,2.091,139,56,2.08916883
2024-04-29 07:30:00+00:00,2.091,2.099,2.09,2.098,285,96,2.0943188
2024-04-29 07:45:00+00:00,2.098,2.108,2.098,2.106,599,237,2.10408227
2024-04-29 08:00:00+00:00,2.106,2.109,2.098,2.102,491,299,2.10236562
2024-04-29 08:15:00+00:00,2.102,2.102,2.098,2.099,101,59,2.09893231
2024-04-29 08:30:00+00:00,2.099,2.102,2.098,2.099,115,62,2.09925418
2024-04-29 08:45:00+00:00,2.099,2.099,2.094,2.096,154,79,2.09614274
2024-04-29 09:00:00+00:00,2.096,2.1,2.095,2.099,161,80,2.09764482
2024-04-29 09:15:00+00:00,2.099,2.101,2.095,2.099,322,177,2.09775211
2024-04-29 09:30:00+00:00,2.099,2.105,2.099,2.102,309,166,2.10279478
2024-04-29 09:45:00+00:00,2.101,2.105,2.101,2.104,204,100,2.10279478
2024-04-29 10:00:00+00:00,2.104,2.108,2.1,2.101,368,145,2.10386769
2024-04-29 10:15:00+00:00,2.101,2.105,2.101,2.104,215,91,2.10279478
2024-04-29 10:30:00+00:00,2.104,2.104,2.101,2.101,186,94,2.10193645
2024-04-29 10:45:00+00:00,2.101,2.104,2.1,2.103,264,127,2.10193645
2024-04-29 11:00:00+00:00,2.103,2.107,2.095,2.096,522,168,2.10011251
2024-04-29 11:15:00+00:00,2.096,2.102,2.095,2.101,144,91,2.09893231
2024-04-29 11:30:00+00:00,2.101,2.102,2.098,2.098,139,90,2.09946876
2024-04-29 11:45:00+00:00,2.098,2.099,2.095,2.099,110,72,2.09721565
2024-04-29 12:00:00+00:00,2.099,2.1,2.093,2.094,275,119,2.09743024
2024-04-29 12:15:00+00:00,2.094,2.094,2.083,2.084,466,183,2.08798863
2024-04-29 12:30:00+00:00,2.083,2.088,2.079,2.083,364,167,2.08305325
2024-04-29 12:45:00+00:00,2.083,2.085,2.074,2.081,400,188,2.07940536
2024-04-29 13:00:00+00:00,2.083,2.091,2.081,2.086,296,159,2.08573553
2024-04-29 13:15:00+00:00,2.086,2.089,2.077,2.078,352,173,2.08412616
2024-04-29 13:30:00+00:00,2.078,2.083,2.071,2.077,616,275,2.07565018
2024-04-29 13:45:00+00:00,2.076,2.078,2.061,2.063,1498,513,2.06996376
2024-04-29 14:00:00+00:00,2.063,2.076,2.062,2.072,1354,502,2.06856898
2024-04-29 14:15:00+00:00,2.073,2.086,2.066,2.069,1996,762,2.07650851
2024-04-29 14:30:00+00:00,2.067,2.091,2.056,2.084,3218,1256,2.07382623
2024-04-29 14:45:00+00:00,2.085,2.102,2.084,2.085,2650,905,2.09238756
2024-04-29 15:00:00+00:00,2.084,2.114,2.084,2.103,4790,1729,2.10129271
2024-04-29 15:15:00+00:00,2.103,2.107,2.094,2.101,2257,850,2.10129271
2024-04-29 15:30:00+00:00,2.101,2.12,2.099,2.111,3845,1423,2.11041244
2024-04-29 15:45:00+00:00,2.111,2.119,2.105,2.114,3093,1027,2.11352387
2024-04-29 16:00:00+00:00,2.114,2.123,2.111,2.111,2852,962,2.11663531
2024-04-29 16:15:00+00:00,2.113,2.136,2.111,2.132,5049,1880,2.12629149
2024-04-29 16:30:00+00:00,2.132,2.143,2.129,2.132,4889,1489,2.13519664
2024-04-29 16:45:00+00:00,2.132,2.142,2.132,2.139,3511,1103,2.13723517
2024-04-29 17:00:00+00:00,2.138,2.146,2.138,2.144,3705,1111,2.14259971
