date,Open,High,Low,Close,Volume,Barcount,Average
2024-02-27 01:00:00+00:00,1.876,1.887,1.876,1.881,262,110,1.882
2024-02-27 01:15:00+00:00,1.882,1.883,1.879,1.88,83,54,1.88081568
2024-02-27 01:30:00+00:00,1.88,1.881,1.874,1.878,142,59,1.87747803
2024-02-27 01:45:00+00:00,1.877,1.877,1.871,1.874,180,79,1.87424805
2024-02-27 02:00:00+00:00,1.873,1.878,1.872,1.876,137,59,1.87510938
2024-02-27 02:15:00+00:00,1.877,1.877,1.869,1.872,129,61,1.87263307
2024-02-27 02:30:00+00:00,1.871,1.872,1.869,1.87,79,46,1.87037208
2024-02-27 02:45:00+00:00,1.869,1.871,1.868,1.869,124,51,1.86983375
2024-02-27 03:00:00+00:00,1.868,1.87,1.868,1.87,20,17,1.86918776
2024-02-27 03:15:00+00:00,1.87,1.872,1.869,1.872,38,25,1.87037208
2024-02-27 03:30:00+00:00,1.87,1.872,1.869,1.869,68,35,1.87047975
2024-02-27 03:45:00+00:00,1.868,1.869,1.867,1.868,70,34,1.86821876
2024-02-27 04:00:00+00:00,1.867,1.87,1.867,1.868,53,34,1.86832643
2024-02-27 04:15:00+00:00,1.868,1.869,1.866,1.869,53,34,1.86714211
2024-02-27 04:30:00+00:00,1.868,1.871,1.868,1.87,28,23,1.86897243
2024-02-27 04:45:00+00:00,1.869,1.871,1.868,1.87,77,42,1.86972609
2024-02-27 05:00:00+00:00,1.871,1.874,1.87,1.873,54,35,1.87177174
2024-02-27 05:15:00+00:00,1.874,1.878,1.873,1.874,97,49,1.87532471
2024-02-27 05:30:00+00:00,1.874,1.874,1.871,1.871,36,31,1.87338673
2024-02-27 05:45:00+00:00,1.871,1.872,1.868,1.868,63,37,1.87015675
2024-02-27 06:00:00+00:00,1.868,1.868,1.865,1.867,70,47,1.86681911
2024-02-27 06:15:00+00:00,1.868,1.869,1.865,1.865,84,44,1.86735744
2024-02-27 06:30:00+00:00,1.866,1.87,1.866,1.868,151,82,1.86800343
2024-02-27 06:45:00+00:00,1.867,1.868,1.864,1.866,44,33,1.86552712
