date,open,high,low,close,volume,barCount,average
2023-12-28 01:00:00+00:00,17121.75,17128.5,17121.25,17126.75,803,531,17125.825
2023-12-28 01:15:00+00:00,17126.5,17126.75,17124.25,17126.25,387,312,17125.45
2023-12-28 01:30:00+00:00,17126.0,17127.5,17125.0,17126.75,319,243,17126.275
2023-12-28 01:45:00+00:00,17126.5,17136.75,17125.25,17133.75,1628,907,17131.825
2023-12-28 02:00:00+00:00,17133.75,17146.5,17132.5,17139.75,2084,1172,17140.1
2023-12-28 02:15:00+00:00,17139.5,17147.25,17138.75,17146.0,1074,644,17143.7
2023-12-28 02:30:00+00:00,17146.25,17155.75,17145.0,17154.0,1570,927,17149.95
2023-12-28 02:45:00+00:00,17154.0,17154.75,17149.25,17151.25,983,619,17151.425
2023-12-28 03:00:00+00:00,17151.5,17152.75,17147.0,17148.25,906,606,17149.925
2023-12-28 03:15:00+00:00,17148.75,17151.0,17147.75,17150.5,368,300,17149.4
2023-12-28 03:30:00+00:00,17150.5,17154.0,17148.0,17150.25,568,414,17151.225
2023-12-28 03:45:00+00:00,17150.0,17153.0,17147.75,17152.5,578,391,17150.475
2023-12-28 04:00:00+00:00,17152.5,17152.5,17146.75,17147.25,690,459,17149.4
2023-12-28 04:15:00+00:00,17147.5,17148.25,17139.0,17139.5,1243,767,17142.275
2023-12-28 04:30:00+00:00,17139.75,17143.25,17139.75,17142.5,633,433,17141.9
2023-12-28 04:45:00+00:00,17142.5,17144.5,17141.5,17144.0,392,327,17143.225
2023-12-28 05:00:00+00:00,17144.5,17147.75,17144.0,17146.75,459,312,17146.2
2023-12-28 05:15:00+00:00,17147.0,17149.75,17146.25,17146.5,548,401,17148.125
2023-12-28 05:30:00+00:00,17146.75,17147.75,17141.0,17141.5,521,339,17143.4
2023-12-28 05:45:00+00:00,17141.25,17142.0,17139.75,17141.5,327,223,17140.825
2023-12-28 06:00:00+00:00,17141.5,17147.5,17141.0,17144.25,768,526,17144.75
2023-12-28 06:15:00+00:00,17144.0,17146.25,17143.75,17145.25,341,261,17145.1
2023-12-28 06:30:00+00:00,17145.25,17146.0,17142.0,17143.75,557,395,17144.025
