date,Open,High,Low,Close,Volume,Barcount,Average
2024-03-14 23:00:00+00:00,18251.0,18263.0,18249.75,18257.0,1492,1083,18256.65
2024-03-14 23:15:00+00:00,18256.75,18261.0,18249.25,18259.0,897,603,18254.125
2024-03-14 23:30:00+00:00,18259.25,18259.75,18253.0,18253.75,386,282,18256.2
2024-03-14 23:45:00+00:00,18253.25,18254.5,18245.5,18250.75,622,439,18249.8
2024-03-15 00:00:00+00:00,18251.25,18251.25,18235.25,18236.25,835,590,18242.375
2024-03-15 00:15:00+00:00,18236.0,18239.0,18228.5,18229.25,688,496,18234.05
2024-03-15 00:30:00+00:00,18229.25,18235.5,18225.5,18226.0,799,565,18229.575
2024-03-15 00:45:00+00:00,18226.0,18238.75,18224.25,18238.5,834,543,18232.45
2024-03-15 01:00:00+00:00,18238.25,18247.5,18237.0,18243.5,893,555,18242.475
2024-03-15 01:15:00+00:00,18243.5,18253.0,18240.25,18247.25,924,615,18247.05
2024-03-15 01:30:00+00:00,18247.5,18259.0,18247.5,18253.25,781,558,18254.25
2024-03-15 01:45:00+00:00,18253.75,18264.25,18250.75,18261.25,1106,684,18258.25
2024-03-15 02:00:00+00:00,18261.5,18269.0,18257.75,18258.25,759,543,18263.6
2024-03-15 02:15:00+00:00,18258.5,18262.0,18250.0,18259.0,869,586,18255.775
2024-03-15 02:30:00+00:00,18258.75,18266.0,18255.25,18262.5,902,667,18261.85
2024-03-15 02:45:00+00:00,18261.75,18264.0,18245.25,18245.5,1205,637,18255.2
2024-03-15 03:00:00+00:00,18245.25,18245.25,18233.0,18240.75,1160,797,18239.8
2024-03-15 03:15:00+00:00,18240.75,18241.5,18233.25,18239.25,684,487,18237.875
2024-03-15 03:30:00+00:00,18239.5,18239.5,18225.75,18227.75,906,609,18232.425
2024-03-15 03:45:00+00:00,18227.0,18241.25,18227.0,18240.25,971,598,18235.25
2024-03-15 04:00:00+00:00,18240.75,18242.75,18233.25,18234.0,528,366,18239.025
2024-03-15 04:15:00+00:00,18233.5,18244.5,18232.5,18242.75,490,342,18240.975
2024-03-15 04:30:00+00:00,18242.25,18247.0,18239.25,18246.75,562,381,18243.025
2024-03-15 04:45:00+00:00,18247.0,18247.75,18243.5,18244.75,389,281,18245.525
2024-03-15 05:00:00+00:00,18244.5,18245.0,18238.0,18240.0,366,276,18241.2
2024-03-15 05:15:00+00:00,18240.25,18241.5,18230.75,18233.5,660,452,18235.95
2024-03-15 05:30:00+00:00,18233.5,18233.5,18220.25,18223.25,798,517,18225.825
2024-03-15 05:45:00+00:00,18222.75,18226.5,18220.25,18224.75,543,358,18223.275
2024-03-15 06:00:00+00:00,18225.0,18231.75,18223.75,18224.25,636,465,18227.475
2024-03-15 06:15:00+00:00,18224.75,18229.75,18217.5,18225.75,790,525,18223.625
2024-03-15 06:30:00+00:00,18226.0,18226.0,18206.25,18206.5,1082,685,18215.25
2024-03-15 06:45:00+00:00,18206.75,18223.75,18205.5,18216.75,968,648,18215.925
2024-03-15 07:00:00+00:00,18215.75,18215.75,18209.0,18212.25,700,542,18212.175
2024-03-15 07:15:00+00:00,18212.5,18222.5,18211.5,18211.5,674,474,18218.25
2024-03-15 07:30:00+00:00,18211.5,18218.75,18210.0,18217.75,556,392,18214.825
2024-03-15 07:45:00+00:00,18217.75,18223.5,18209.5,18218.5,1004,668,18217.65
2024-03-15 08:00:00+00:00,18220.0,18233.5,18211.5,18228.5,1471,1062,18224.525
2024-03-15 08:15:00+00:00,18228.5,18239.0,18222.5,18239.0,1162,915,18232.1
2024-03-15 08:30:00+00:00,18238.5,18242.75,18229.25,18238.25,1166,790,18236.625
2024-03-15 08:45:00+00:00,18238.0,18240.25,18208.25,18211.0,1637,1113,18220.975
2024-03-15 09:00:00+00:00,18210.0,18249.25,18209.5,18245.25,3142,2274,18233.825
2024-03-15 09:15:00+00:00,18245.5,18249.75,18236.5,18244.0,1687,1181,18243.425
2024-03-15 09:30:00+00:00,18244.5,18259.5,18235.25,18258.0,2153,1374,18249.2
2024-03-15 09:45:00+00:00,18258.25,18265.0,18248.25,18259.25,1807,1184,18257.8
2024-03-15 10:00:00+00:00,18259.25,18275.25,18258.5,18267.75,1608,1119,18267.125
2024-03-15 10:15:00+00:00,18267.5,18270.0,18254.0,18263.5,1759,1176,18263.775
2024-03-15 10:30:00+00:00,18264.0,18285.75,18264.0,18279.75,2330,1523,18278.2
2024-03-15 10:45:00+00:00,18280.0,18302.25,18280.0,18289.5,2819,1735,18293.1
2024-03-15 11:00:00+00:00,18289.5,18307.0,18289.5,18303.5,1949,1347,18300.575
2024-03-15 11:15:00+00:00,18303.0,18313.0,18300.0,18305.5,1751,1182,18306.525
2024-03-15 11:30:00+00:00,18304.75,18322.75,18302.5,18312.0,2643,1597,18315.675
2024-03-15 11:45:00+00:00,18312.25,18321.0,18307.0,18308.0,1925,1225,18315.075
2024-03-15 12:00:00+00:00,18307.75,18308.5,18292.25,18301.75,3115,1955,18300.6
2024-03-15 12:15:00+00:00,18301.0,18307.75,18296.75,18301.25,2204,1362,18302.325
2024-03-15 12:30:00+00:00,18301.0,18309.75,18299.5,18300.75,2063,1365,18304.925
2024-03-15 12:45:00+00:00,18300.5,18303.5,18274.0,18281.5,2791,1879,18289.825
2024-03-15 13:00:00+00:00,18282.0,18283.5,18252.0,18256.75,5033,3152,18268.975
2024-03-15 13:15:00+00:00,18256.75,18261.75,18247.75,18260.5,4099,2580,18255.0
2024-03-15 13:30:00+00:00,18261.0,18276.75,18232.5,18246.5,8373,5428,18255.4
2024-03-15 13:45:00+00:00,18246.75,18262.25,18232.75,18253.25,5641,3864,18249.8
2024-03-15 14:00:00+00:00,18252.5,18255.5,18217.75,18219.25,7836,5082,18234.0
2024-03-15 14:15:00+00:00,18219.25,18227.25,18130.0,18152.5,27536,17832,18179.5
2024-03-15 14:30:00+00:00,18152.5,18174.5,18080.75,18082.5,64545,43247,18132.525
2024-03-15 14:45:00+00:00,18082.75,18128.75,18070.0,18094.0,33511,21933,18098.1
2024-03-15 15:00:00+00:00,18093.25,18113.75,18029.0,18094.5,44258,28681,18071.825
2024-03-15 15:15:00+00:00,18094.75,18126.0,18083.75,18105.25,27137,18293,18104.225
2024-03-15 15:30:00+00:00,18106.5,18152.0,18093.75,18137.5,25788,16393,18128.675
2024-03-15 15:45:00+00:00,18137.5,18172.0,18116.25,18123.75,23731,14882,18144.425
2024-03-15 16:00:00+00:00,18124.5,18128.75,18098.5,18107.25,18877,12673,18113.475
2024-03-15 16:15:00+00:00,18106.25,18124.0,18080.5,18102.75,16434,11072,18097.4
2024-03-15 16:30:00+00:00,18102.5,18110.5,18063.25,18070.75,18109,11295,18082.175
2024-03-15 16:45:00+00:00,18070.5,18077.0,18050.0,18063.25,16568,10440,18065.4
2024-03-15 17:00:00+00:00,18063.5,18075.25,18036.75,18040.25,14392,9402,18054.85
2024-03-15 17:15:00+00:00,18040.0,18053.75,18022.25,18040.5,16404,10368,18039.15
2024-03-15 17:30:00+00:00,18040.75,18068.0,18035.25,18047.75,15694,9819,18052.475
2024-03-15 17:45:00+00:00,18047.25,18060.0,18006.25,18011.5,17400,10706,18025.55
2024-03-15 18:00:00+00:00,18010.75,18053.25,18008.25,18039.25,14517,9030,18029.35
2024-03-15 18:15:00+00:00,18038.75,18071.5,18037.0,18050.25,12183,7553,18054.35
2024-03-15 18:30:00+00:00,18051.0,18073.5,18048.25,18063.5,9180,6211,18060.4
2024-03-15 18:45:00+00:00,18063.5,18085.0,18037.25,18081.0,14586,9010,18062.975
2024-03-15 19:00:00+00:00,18081.5,18091.25,18052.25,18060.5,11563,7356,18074.05
2024-03-15 19:15:00+00:00,18060.25,18070.25,18041.25,18056.5,10998,7197,18057.975
2024-03-15 19:30:00+00:00,18056.5,18101.25,18053.75,18093.25,14545,8552,18079.7
2024-03-15 19:45:00+00:00,18093.25,18096.5,18066.0,18083.5,11522,7327,18081.7
2024-03-15 20:00:00+00:00,18083.25,18101.0,18067.5,18082.0,11858,7664,18083.0
2024-03-15 20:15:00+00:00,18082.25,18106.75,18060.0,18088.25,16549,10000,18082.875
2024-03-15 20:30:00+00:00,18088.75,18094.25,18060.75,18069.0,13155,8709,18075.575
2024-03-15 20:45:00+00:00,18068.75,18075.0,18044.0,18058.5,31761,18828,18057.375
2024-03-15 21:00:00+00:00,18058.25,18078.0,18056.0,18073.75,12450,6627,18067.8
2024-03-15 21:15:00+00:00,18074.0,18080.75,18062.75,18075.75,2508,1416,18070.65
2024-03-15 21:30:00+00:00,18076.0,18078.25,18060.5,18062.75,1757,959,18069.1
2024-03-15 21:45:00+00:00,18062.75,18065.5,18059.5,18063.5,1846,912,18062.05
2024-03-17 23:00:00+00:00,18073.5,18103.0,18062.25,18099.75,2433,1532,18086.85
2024-03-17 23:15:00+00:00,18100.0,18103.0,18092.75,18101.0,897,565,18098.75
2024-03-17 23:30:00+00:00,18102.0,18103.0,18084.5,18089.75,1245,890,18091.775
2024-03-17 23:45:00+00:00,18089.25,18095.25,18070.25,18071.0,1024,717,18083.2
2024-03-18 00:00:00+00:00,18071.5,18077.5,18063.0,18064.25,1616,982,18069.05
2024-03-18 00:15:00+00:00,18064.25,18081.25,18064.25,18075.75,882,598,18073.5
2024-03-18 00:30:00+00:00,18075.25,18088.5,18075.25,18081.0,808,532,18082.3
2024-03-18 00:45:00+00:00,18081.25,18087.5,18077.25,18079.25,642,460,18082.575
2024-03-18 01:00:00+00:00,18079.0,18081.75,18063.5,18076.25,1373,946,18072.175
