date,open,high,low,close,volume,barCount,average
2024-02-27 01:00:00+00:00,896.4,897.6,896.2,896.7,253,189,896.89754611
2024-02-27 01:15:00+00:00,896.6,897.7,896.3,897.1,144,113,897.05963114
2024-02-27 01:30:00+00:00,897.0,898.6,896.7,897.1,131,93,897.57627719
2024-02-27 01:45:00+00:00,897.3,897.8,896.7,896.7,102,82,897.16093429
2024-02-27 02:00:00+00:00,896.6,898.1,896.3,897.4,98,80,896.92793705
2024-02-27 02:15:00+00:00,897.4,898.3,897.0,898.0,128,90,897.74849255
2024-02-27 02:30:00+00:00,897.7,898.3,896.6,897.6,140,87,897.58640751
2024-02-27 02:45:00+00:00,897.8,898.8,897.0,898.6,136,68,898.08279293
2024-02-27 03:00:00+00:00,898.5,898.6,897.7,898.0,92,58,898.11318388
2024-02-27 03:15:00+00:00,898.0,898.0,897.4,897.5,80,61,897.65731971
2024-02-27 03:30:00+00:00,897.6,898.5,897.6,897.8,118,93,898.13344451
2024-02-27 03:45:00+00:00,897.8,899.0,897.6,898.7,96,79,898.61969961
2024-02-27 04:00:00+00:00,898.7,899.4,898.6,899.1,88,64,898.8830878
2024-02-27 04:15:00+00:00,899.1,899.4,898.7,899.3,75,52,899.07556378
2024-02-27 04:30:00+00:00,899.3,899.6,898.8,899.5,64,46,899.2275185
2024-02-27 04:45:00+00:00,899.2,900.0,898.9,899.8,57,43,899.34908227
2024-02-27 05:00:00+00:00,899.9,900.6,899.2,899.7,175,96,899.9163799
2024-02-27 05:15:00+00:00,900.0,900.3,899.5,899.6,49,31,899.85559801
2024-02-27 05:30:00+00:00,899.8,899.9,899.2,899.4,39,34,899.48077637
2024-02-27 05:45:00+00:00,899.4,899.6,899.1,899.3,31,28,899.20725787
2024-02-27 06:00:00+00:00,899.3,899.5,898.6,899.5,56,40,898.97426063
2024-02-27 06:15:00+00:00,899.4,899.4,898.7,898.8,38,27,899.07556378
2024-02-27 06:30:00+00:00,898.9,899.5,897.1,897.8,126,83,898.11318388
2024-02-27 06:45:00+00:00,898.1,899.4,897.7,898.6,95,70,898.83243622
2024-02-27 07:00:00+00:00,898.4,899.6,898.2,898.7,77,53,899.09582441
2024-02-27 07:15:00+00:00,899.0,899.2,899.0,899.1,14,11,899.10595472
2024-02-27 07:30:00+00:00,898.8,899.9,898.6,898.9,29,20,899.34908227
2024-02-27 07:45:00+00:00,899.3,899.6,898.9,898.9,45,22,899.17686692
2024-02-27 08:00:00+00:00,898.8,899.7,898.6,899.7,89,58,898.90334843
2024-02-27 08:15:00+00:00,899.5,900.6,899.3,900.5,66,52,900.00755273
2024-02-27 08:30:00+00:00,900.5,901.7,900.4,901.5,184,117,901.18266924
2024-02-27 08:45:00+00:00,901.2,901.7,900.4,900.5,105,76,901.12188736
2024-02-27 09:00:00+00:00,900.7,901.3,897.6,901.3,317,208,899.38960353
2024-02-27 09:15:00+00:00,901.5,904.5,900.9,904.1,428,270,903.06690779
2024-02-27 09:30:00+00:00,904.1,906.0,903.2,905.1,438,267,904.83971287
2024-02-27 09:45:00+00:00,905.1,905.7,903.0,903.1,142,102,904.49528216
