date,Open,High,Low,Close,Volume,Barcount,Average
2024-01-29 00:00:00+00:00,921.7,924.5,921.7,923.2,355,161,923.12
2024-01-29 00:15:00+00:00,923.1,924.2,922.8,923.6,110,71,923.34
2024-01-29 00:30:00+00:00,923.5,923.7,921.4,921.4,89,64,921.93
2024-01-29 00:45:00+00:00,921.5,921.5,917.8,918.8,383,241,919.85
2024-01-29 01:00:00+00:00,918.8,919.8,917.8,919.1,334,221,918.88
2024-01-29 01:15:00+00:00,919.1,919.6,917.2,917.9,145,115,918.44
2024-01-29 01:30:00+00:00,917.7,918.3,917.1,918.0,86,66,917.75
2024-01-29 01:45:00+00:00,918.0,919.0,918.0,918.7,51,44,918.58
2024-01-29 02:00:00+00:00,918.8,922.1,918.8,921.5,283,220,920.39
2024-01-29 02:15:00+00:00,921.5,921.5,920.0,920.9,179,139,920.99
2024-01-29 02:30:00+00:00,921.1,922.5,921.1,922.0,148,114,921.94
2024-01-29 02:45:00+00:00,922.0,922.4,920.9,922.0,122,113,921.84
2024-01-29 03:00:00+00:00,922.0,922.2,920.3,922.0,144,118,921.22
2024-01-29 03:15:00+00:00,922.1,922.1,920.9,921.3,60,51,921.52
2024-01-29 03:30:00+00:00,921.4,922.0,921.2,921.8,36,32,921.63
2024-01-29 03:45:00+00:00,922.0,922.7,921.5,922.7,98,74,922.06
2024-01-29 04:00:00+00:00,922.7,923.2,922.1,922.5,58,48,922.73
2024-01-29 04:15:00+00:00,922.5,922.8,921.2,921.7,86,55,921.84
2024-01-29 04:30:00+00:00,922.0,922.2,921.1,921.5,69,58,921.65
2024-01-29 04:45:00+00:00,921.5,921.9,920.8,921.5,115,84,921.42
2024-01-29 05:00:00+00:00,921.5,922.0,921.3,921.9,55,44,921.71
2024-01-29 05:15:00+00:00,921.8,921.8,920.7,921.8,69,38,921.31
2024-01-29 05:30:00+00:00,921.7,922.8,921.7,922.5,26,26,922.32
2024-01-29 05:45:00+00:00,922.6,922.6,921.7,922.2,30,28,922.18
2024-01-29 06:00:00+00:00,921.9,922.3,920.9,921.5,48,41,921.68
2024-01-29 06:15:00+00:00,921.4,921.9,921.0,921.1,52,46,921.42
2024-01-29 06:30:00+00:00,921.0,921.2,919.3,919.6,143,98,920.03
2024-01-29 06:45:00+00:00,919.5,919.9,919.1,919.1,74,58,919.55
2024-01-29 07:00:00+00:00,919.0,919.1,917.5,918.7,177,101,918.24
2024-01-29 07:15:00+00:00,918.6,919.4,918.3,918.7,74,66,918.9
2024-01-29 07:30:00+00:00,918.6,919.2,918.2,918.7,42,35,918.93
2024-01-29 07:45:00+00:00,918.9,919.6,918.9,919.5,82,57,919.31
2024-01-29 08:00:00+00:00,919.5,921.9,919.5,921.3,250,106,920.57
2024-01-29 08:15:00+00:00,921.6,922.0,921.0,921.3,29,25,921.6
2024-01-29 08:30:00+00:00,921.4,922.5,921.3,922.2,74,59,921.99
2024-01-29 08:45:00+00:00,922.1,922.4,920.4,921.3,103,78,921.29
2024-01-29 09:00:00+00:00,921.3,922.7,920.0,921.7,211,143,921.4
2024-01-29 09:15:00+00:00,922.1,922.8,921.4,921.8,130,101,922.19
2024-01-29 09:30:00+00:00,921.7,923.4,921.7,922.2,71,57,922.61
2024-01-29 09:45:00+00:00,922.4,922.4,919.6,919.9,173,96,920.57
2024-01-29 10:00:00+00:00,920.1,920.8,918.2,918.6,174,134,919.81
2024-01-29 10:15:00+00:00,918.6,919.4,917.3,919.3,161,120,918.48
2024-01-29 10:30:00+00:00,919.4,920.9,918.0,918.4,110,81,919.33
2024-01-29 10:45:00+00:00,918.3,919.3,917.9,917.9,95,78,918.41
2024-01-29 11:00:00+00:00,917.7,917.9,916.2,917.5,213,149,917.01
2024-01-29 11:15:00+00:00,917.6,917.8,916.4,917.2,105,83,916.91
2024-01-29 11:30:00+00:00,917.2,918.3,916.8,918.1,112,84,917.76
2024-01-29 11:45:00+00:00,918.1,918.5,917.7,918.4,65,53,918.1
2024-01-29 12:00:00+00:00,918.5,919.2,917.1,917.7,148,106,918.11
2024-01-29 12:15:00+00:00,917.6,917.6,916.0,916.4,173,112,916.61
