Date,Open,High,Low,Close,Volume,Barcount,Average
2023-12-29 01:00:00+00:00,24.175,24.18,24.165,24.17,137,75,24.1715
2023-12-29 01:15:00+00:00,24.17,24.205,24.17,24.2,105,69,24.1925
2023-12-29 01:30:00+00:00,24.195,24.2,24.165,24.165,223,92,24.1845
2023-12-29 01:45:00+00:00,24.17,24.205,24.165,24.19,341,133,24.187
2023-12-29 02:00:00+00:00,24.195,24.21,24.125,24.145,1165,608,24.163
2023-12-29 02:15:00+00:00,24.145,24.17,24.12,24.165,457,221,24.1415
2023-12-29 02:30:00+00:00,24.16,24.175,24.14,24.17,380,152,24.16
2023-12-29 02:45:00+00:00,24.165,24.175,24.15,24.16,281,114,24.165
2023-12-29 03:00:00+00:00,24.155,24.17,24.115,24.125,360,144,24.136
2023-12-29 03:15:00+00:00,24.13,24.135,24.115,24.115,188,77,24.1255
2023-12-29 03:30:00+00:00,24.115,24.115,24.055,24.065,572,232,24.0875
2023-12-29 03:45:00+00:00,24.065,24.07,24.045,24.055,415,166,24.0545
2023-12-29 04:00:00+00:00,24.045,24.09,24.04,24.06,353,154,24.0645
2023-12-29 04:15:00+00:00,24.06,24.07,24.05,24.06,138,64,24.0615
2023-12-29 04:30:00+00:00,24.06,24.08,24.06,24.08,137,94,24.072
2023-12-29 04:45:00+00:00,24.08,24.085,24.065,24.075,124,59,24.075
2023-12-29 05:00:00+00:00,24.075,24.09,24.07,24.08,79,52,24.08
2023-12-29 05:15:00+00:00,24.08,24.08,24.06,24.06,124,80,24.0705
2023-12-29 05:30:00+00:00,24.065,24.07,24.06,24.06,50,32,24.065
2023-12-29 05:45:00+00:00,24.055,24.08,24.055,24.07,90,53,24.0705
2023-12-29 06:00:00+00:00,24.065,24.07,24.06,24.065,39,31,24.066
2023-12-29 06:15:00+00:00,24.065,24.095,24.065,24.09,87,36,24.0805
2023-12-29 06:30:00+00:00,24.09,24.105,24.08,24.09,369,146,24.0935
2023-12-29 06:45:00+00:00,24.095,24.135,24.085,24.13,225,119,24.104
2023-12-29 07:00:00+00:00,24.125,24.15,24.12,24.13,234,122,24.1365
2023-12-29 07:15:00+00:00,24.13,24.145,24.125,24.14,146,70,24.137
2023-12-29 07:30:00+00:00,24.14,24.145,24.125,24.145,139,84,24.14
2023-12-29 07:45:00+00:00,24.145,24.15,24.13,24.135,246,100,24.1425
2023-12-29 08:00:00+00:00,24.13,24.165,24.125,24.16,213,98,24.1405
2023-12-29 08:15:00+00:00,24.16,24.165,24.13,24.13,287,133,24.15
2023-12-29 08:30:00+00:00,24.13,24.14,24.12,24.125,159,81,24.1305
2023-12-29 08:45:00+00:00,24.125,24.125,24.065,24.065,278,155,24.0955
2023-12-29 09:00:00+00:00,24.065,24.085,24.035,24.08,456,212,24.0555
2023-12-29 09:15:00+00:00,24.075,24.09,24.055,24.065,242,112,24.0755
2023-12-29 09:30:00+00:00,24.07,24.07,24.02,24.025,344,179,24.0375
2023-12-29 09:45:00+00:00,24.02,24.025,23.955,23.975,772,299,23.9865
2023-12-29 10:00:00+00:00,23.97,24.04,23.945,23.95,703,329,23.988
2023-12-29 10:15:00+00:00,23.95,23.97,23.94,23.945,212,143,23.9545
2023-12-29 10:30:00+00:00,23.945,23.97,23.93,23.96,453,195,23.95
2023-12-29 10:45:00+00:00,23.955,23.97,23.93,23.93,475,235,23.9465
2023-12-29 11:00:00+00:00,23.935,23.935,23.915,23.925,391,189,23.9245
2023-12-29 11:15:00+00:00,23.92,23.92,23.805,23.84,1412,570,23.864
2023-12-29 11:30:00+00:00,23.845,23.87,23.835,23.865,237,149,23.8565
2023-12-29 11:45:00+00:00,23.86,23.9,23.86,23.89,461,202,23.884
2023-12-29 12:00:00+00:00,23.895,23.97,23.895,23.965,595,203,23.941
2023-12-29 12:15:00+00:00,23.965,23.995,23.95,23.975,594,241,23.973
2023-12-29 12:30:00+00:00,23.975,24.03,23.975,24.005,480,171,24.0125
2023-12-29 12:45:00+00:00,24.005,24.03,23.995,24.025,275,137,24.0095
2023-12-29 13:00:00+00:00,24.025,24.03,23.975,24.0,638,250,24.006
2023-12-29 13:15:00+00:00,24.0,24.04,23.95,24.005,612,283,23.9835
2023-12-29 13:30:00+00:00,24.0,24.0,23.96,23.97,305,176,23.978
2023-12-29 13:45:00+00:00,23.965,23.99,23.96,23.985,204,127,23.9785
2023-12-29 14:00:00+00:00,23.985,24.015,23.92,23.935,659,300,23.9605
2023-12-29 14:15:00+00:00,23.93,23.985,23.92,23.965,852,401,23.957
2023-12-29 14:30:00+00:00,23.97,23.97,23.86,23.875,1272,631,23.9035
2023-12-29 14:45:00+00:00,23.875,23.875,23.76,23.785,2438,987,23.815
2023-12-29 15:00:00+00:00,23.785,23.855,23.78,23.805,1071,525,23.8115
2023-12-29 15:15:00+00:00,23.805,23.87,23.805,23.845,1029,446,23.841
2023-12-29 15:30:00+00:00,23.84,23.92,23.78,23.885,1526,835,23.846
2023-12-29 15:45:00+00:00,23.89,23.975,23.89,23.975,1331,661,23.938
2023-12-29 16:00:00+00:00,23.98,24.065,23.98,24.055,1431,649,24.0305
2023-12-29 16:15:00+00:00,24.055,24.1,24.045,24.1,833,417,24.0725
2023-12-29 16:30:00+00:00,24.1,24.16,24.065,24.075,1513,611,24.1205
2023-12-29 16:45:00+00:00,24.075,24.135,24.045,24.125,762,392,24.096
2023-12-29 17:00:00+00:00,24.12,24.14,24.07,24.105,1080,455,24.118
2023-12-29 17:15:00+00:00,24.105,24.145,24.1,24.115,488,270,24.126
2023-12-29 17:30:00+00:00,24.115,24.145,24.115,24.135,443,229,24.129
2023-12-29 17:45:00+00:00,24.13,24.165,24.125,24.15,432,224,24.1485
2023-12-29 18:00:00+00:00,24.15,24.2,24.15,24.19,535,263,24.173
2023-12-29 18:15:00+00:00,24.19,24.215,24.185,24.195,601,244,24.2035
2023-12-29 18:30:00+00:00,24.19,24.21,24.175,24.19,281,155,24.1895
2023-12-29 18:45:00+00:00,24.19,24.2,24.145,24.19,685,293,24.1695
2023-12-29 19:00:00+00:00,24.185,24.185,24.085,24.13,951,456,24.1215
2023-12-29 19:15:00+00:00,24.13,24.135,24.045,24.045,1784,750,24.085
2023-12-29 19:30:00+00:00,24.045,24.09,24.035,24.085,644,248,24.061
2023-12-29 19:45:00+00:00,24.085,24.085,24.065,24.075,337,99,24.074
2023-12-29 20:00:00+00:00,24.08,24.085,24.06,24.07,200,72,24.0725
2023-12-29 20:15:00+00:00,24.07,24.08,24.06,24.06,176,108,24.068
2023-12-29 20:30:00+00:00,24.06,24.085,24.06,24.075,149,79,24.072
2023-12-29 20:45:00+00:00,24.08,24.09,24.075,24.08,132,57,24.0825
