Date,Open,High,Low,Close,Volume,Barcount,Average
2023-12-29 01:00:00+00:00,15.34,15.34,15.34,15.34,0,0,15.33697517
2023-12-29 01:15:00+00:00,15.34,15.34,15.34,15.34,0,0,15.33697517
2023-12-29 01:30:00+00:00,15.34,15.34,15.34,15.34,0,0,15.33697517
2023-12-29 01:45:00+00:00,15.34,15.34,15.34,15.34,0,0,15.33697517
2023-12-29 02:00:00+00:00,15.3,15.36,15.3,15.36,8,4,15.35233409
2023-12-29 02:15:00+00:00,15.33,15.33,15.33,15.33,3,2,15.32600451
2023-12-29 02:30:00+00:00,15.33,15.33,15.33,15.33,0,0,15.32600451
2023-12-29 02:45:00+00:00,15.33,15.33,15.33,15.33,0,0,15.32600451
2023-12-29 03:00:00+00:00,15.33,15.33,15.33,15.33,0,0,15.32600451
2023-12-29 03:15:00+00:00,15.34,15.34,15.34,15.34,1,1,15.33697517
2023-12-29 03:30:00+00:00,15.35,15.35,15.35,15.35,1,1,15.34794582
2023-12-29 03:45:00+00:00,15.35,15.35,15.35,15.35,0,0,15.34794582
2023-12-29 04:00:00+00:00,15.35,15.35,15.35,15.35,0,0,15.34794582
2023-12-29 04:15:00+00:00,15.35,15.35,15.35,15.35,0,0,15.34794582
2023-12-29 04:30:00+00:00,15.35,15.35,15.35,15.35,0,0,15.34794582
2023-12-29 04:45:00+00:00,15.33,15.33,15.33,15.33,1,1,15.32600451
2023-12-29 05:00:00+00:00,15.33,15.33,15.33,15.33,3,1,15.32600451
2023-12-29 05:15:00+00:00,15.33,15.33,15.33,15.33,0,0,15.32600451
2023-12-29 05:30:00+00:00,15.34,15.34,15.34,15.34,2,2,15.33697517
2023-12-29 05:45:00+00:00,15.34,15.34,15.34,15.34,0,0,15.33697517
2023-12-29 06:00:00+00:00,15.34,15.34,15.34,15.34,0,0,15.33697517
2023-12-29 06:15:00+00:00,15.34,15.34,15.34,15.34,2,2,15.33697517
2023-12-29 06:30:00+00:00,15.35,15.35,15.35,15.35,2,2,15.34794582
2023-12-29 06:45:00+00:00,15.35,15.35,15.35,15.35,1,1,15.34794582
2023-12-29 07:00:00+00:00,15.35,15.35,15.35,15.35,0,0,15.34794582
2023-12-29 07:15:00+00:00,15.35,15.35,15.35,15.35,0,0,15.34794582
2023-12-29 07:30:00+00:00,15.35,15.35,15.35,15.35,1,1,15.34794582
2023-12-29 07:45:00+00:00,15.35,15.35,15.35,15.35,0,0,15.34794582
2023-12-29 08:00:00+00:00,15.32,15.33,15.3,15.33,32,10,15.31832506
2023-12-29 08:15:00+00:00,15.33,15.33,15.33,15.33,0,0,15.32600451
2023-12-29 08:30:00+00:00,15.33,15.33,15.33,15.33,0,0,15.32600451
2023-12-29 08:45:00+00:00,15.35,15.35,15.35,15.35,8,3,15.34794582
2023-12-29 09:00:00+00:00,15.32,15.33,15.3,15.32,45,10,15.31832506
2023-12-29 09:15:00+00:00,15.32,15.32,15.32,15.32,0,0,15.31503386
2023-12-29 09:30:00+00:00,15.32,15.32,15.32,15.32,0,0,15.31503386
2023-12-29 09:45:00+00:00,15.32,15.32,15.32,15.32,0,0,15.31503386
2023-12-29 10:00:00+00:00,15.29,15.29,15.29,15.29,3,3,15.29309255
2023-12-29 10:15:00+00:00,15.3,15.3,15.3,15.3,3,3,15.30406321
2023-12-29 10:30:00+00:00,15.3,15.3,15.3,15.3,0,0,15.30406321
2023-12-29 10:45:00+00:00,15.3,15.3,15.3,15.3,0,0,15.30406321
2023-12-29 11:00:00+00:00,15.3,15.3,15.3,15.3,0,0,15.30406321
2023-12-29 11:15:00+00:00,15.29,15.35,15.29,15.3,24,11,15.31832506
2023-12-29 11:30:00+00:00,15.3,15.3,15.3,15.3,0,0,15.30406321
2023-12-29 11:45:00+00:00,15.3,15.3,15.3,15.3,0,0,15.30406321
2023-12-29 12:00:00+00:00,15.3,15.3,15.3,15.3,0,0,15.30406321
2023-12-29 12:15:00+00:00,15.3,15.3,15.3,15.3,0,0,15.30406321
2023-12-29 12:30:00+00:00,15.3,15.3,15.3,15.3,0,0,15.30406321
2023-12-29 12:45:00+00:00,15.29,15.29,15.29,15.29,7,3,15.29309255
2023-12-29 13:00:00+00:00,15.29,15.29,15.29,15.29,2,2,15.29309255
2023-12-29 13:15:00+00:00,15.29,15.29,15.29,15.29,0,0,15.29309255
2023-12-29 13:30:00+00:00,15.3,15.3,15.3,15.3,20,3,15.30406321
2023-12-29 13:45:00+00:00,15.33,15.34,15.33,15.34,5,5,15.33258691
2023-12-29 14:00:00+00:00,15.32,15.32,15.3,15.3,10,5,15.30516027
2023-12-29 14:15:00+00:00,15.3,15.3,15.28,15.28,2,2,15.29309255
2023-12-29 14:30:00+00:00,15.29,15.29,15.27,15.27,2,2,15.2821219
2023-12-29 14:45:00+00:00,15.27,15.27,15.27,15.27,0,0,15.27115124
2023-12-29 15:00:00+00:00,15.32,15.32,15.32,15.32,2,2,15.31503386
2023-12-29 15:15:00+00:00,15.3,15.3,15.29,15.29,11,5,15.29418962
2023-12-29 15:30:00+00:00,15.3,15.3,15.24,15.28,132,37,15.2788307
2023-12-29 15:45:00+00:00,15.29,15.33,15.29,15.33,20,14,15.31393679
2023-12-29 16:00:00+00:00,15.33,15.39,15.33,15.39,51,29,15.36440181
2023-12-29 16:15:00+00:00,15.38,15.38,15.3,15.32,36,17,15.35123702
2023-12-29 16:30:00+00:00,15.35,15.46,15.34,15.46,243,71,15.38414898
2023-12-29 16:45:00+00:00,15.46,15.56,15.46,15.56,171,52,15.51908804
2023-12-29 17:00:00+00:00,15.52,15.68,15.52,15.67,248,96,15.59039729
2023-12-29 17:15:00+00:00,15.69,15.81,15.67,15.81,359,114,15.7330158
2023-12-29 17:30:00+00:00,15.82,15.83,15.73,15.75,350,127,15.78567494
2023-12-29 17:45:00+00:00,15.74,15.75,15.63,15.74,308,78,15.69352144
2023-12-29 18:00:00+00:00,15.7,15.75,15.68,15.73,340,78,15.71107449
2023-12-29 18:15:00+00:00,15.74,15.75,15.68,15.74,135,54,15.70558916
