Date,Open,High,Low,Close,Volume,Barcount,Average
2023-05-02 02:00:00+00:00,20.59,20.59,20.57,20.57,11,5,20.58578016
2023-05-02 02:15:00+00:00,20.57,20.67,20.57,20.67,15,6,20.62896247
2023-05-02 02:30:00+00:00,20.68,20.74,20.68,20.74,14,9,20.7131126
2023-05-02 02:45:00+00:00,20.75,20.82,20.75,20.82,4,3,20.76626005
2023-05-02 03:00:00+00:00,20.76,20.76,20.76,20.76,10,2,20.76072386
2023-05-02 03:15:00+00:00,20.75,20.75,20.74,20.74,26,14,20.74522252
2023-05-02 03:30:00+00:00,20.72,20.72,20.66,20.66,43,12,20.6787882
2023-05-02 03:45:00+00:00,20.66,20.66,20.66,20.66,10,1,20.66107239
2023-05-02 04:00:00+00:00,20.65,20.71,20.65,20.71,30,9,20.6643941
2023-05-02 04:15:00+00:00,20.71,20.75,20.71,20.75,3,3,20.73525737
2023-05-02 04:30:00+00:00,20.69,20.69,20.69,20.69,1,1,20.69428954
2023-05-02 04:45:00+00:00,20.68,20.68,20.68,20.68,3,2,20.68321716
2023-05-02 05:00:00+00:00,20.69,20.69,20.69,20.69,1,1,20.69428954
2023-05-02 05:15:00+00:00,20.66,20.69,20.66,20.69,2,2,20.67768097
2023-05-02 05:30:00+00:00,20.69,20.69,20.66,20.66,4,4,20.67435925
2023-05-02 05:45:00+00:00,20.66,20.66,20.66,20.66,0,0,20.66107239
2023-05-02 06:00:00+00:00,20.66,20.66,20.66,20.66,0,0,20.66107239
2023-05-02 06:15:00+00:00,20.69,20.69,20.69,20.69,2,1,20.69428954
2023-05-02 06:30:00+00:00,20.69,20.69,20.69,20.69,0,0,20.69428954
2023-05-02 06:45:00+00:00,20.69,20.69,20.69,20.69,0,0,20.69428954
2023-05-02 07:00:00+00:00,20.65,20.65,20.64,20.64,11,3,20.64778552
2023-05-02 07:15:00+00:00,20.65,20.65,20.65,20.65,3,3,20.65
2023-05-02 07:30:00+00:00,20.62,20.62,20.62,20.62,1,1,20.61678284
2023-05-02 07:45:00+00:00,20.62,20.62,20.62,20.62,0,0,20.61678284
2023-05-02 08:00:00+00:00,20.69,20.76,20.69,20.76,9,4,20.71975603
2023-05-02 08:15:00+00:00,20.76,20.76,20.76,20.76,0,0,20.76072386
2023-05-02 08:30:00+00:00,20.77,20.77,20.68,20.68,38,6,20.70425469
2023-05-02 08:45:00+00:00,20.65,20.65,20.65,20.65,1,1,20.65
2023-05-02 09:00:00+00:00,20.72,20.73,20.59,20.66,67,24,20.67214477
2023-05-02 09:15:00+00:00,20.66,20.77,20.66,20.77,14,10,20.71754155
2023-05-02 09:30:00+00:00,20.77,20.81,20.75,20.75,26,11,20.75961662
2023-05-02 09:45:00+00:00,20.72,20.78,20.72,20.78,5,3,20.76958177
2023-05-02 10:00:00+00:00,20.82,20.93,20.82,20.92,64,16,20.89580697
2023-05-02 10:15:00+00:00,20.87,20.93,20.87,20.9,7,6,20.90023592
2023-05-02 10:30:00+00:00,20.89,20.89,20.81,20.82,21,15,20.84819571
2023-05-02 10:45:00+00:00,20.77,20.86,20.77,20.86,11,9,20.80722788
2023-05-02 11:00:00+00:00,20.87,20.93,20.83,20.9,155,25,20.90577212
2023-05-02 11:15:00+00:00,20.92,20.93,20.84,20.86,125,20,20.86591153
2023-05-02 11:30:00+00:00,20.87,20.87,20.77,20.81,15,12,20.81719303
2023-05-02 11:45:00+00:00,20.81,20.86,20.81,20.86,6,5,20.83269437
2023-05-02 12:00:00+00:00,20.82,20.96,20.82,20.93,30,16,20.91463003
2023-05-02 12:15:00+00:00,20.9,20.9,20.9,20.9,3,2,20.90466488
2023-05-02 12:30:00+00:00,20.9,20.93,20.87,20.93,21,14,20.90577212
2023-05-02 12:45:00+00:00,20.87,20.88,20.87,20.88,4,2,20.8736622
2023-05-02 13:00:00+00:00,20.92,20.92,20.82,20.82,49,13,20.86812601
2023-05-02 13:15:00+00:00,20.76,20.82,20.76,20.81,15,9,20.78951206
2023-05-02 13:30:00+00:00,20.75,20.76,20.75,20.76,4,3,20.75740214
2023-05-02 13:45:00+00:00,20.78,20.78,20.78,20.78,2,2,20.78286863
2023-05-02 14:00:00+00:00,20.74,20.77,20.74,20.77,10,8,20.747437
2023-05-02 14:15:00+00:00,20.74,20.74,20.74,20.74,2,1,20.73857909
2023-05-02 14:30:00+00:00,20.76,20.76,20.63,20.63,43,20,20.68543164
