date,Open,High,Low,Close,Volume,Barcount,Average
2024-04-29 00:00:00+00:00,16.52,16.59,16.52,16.54,25,12,16.55006512
2024-04-29 00:15:00+00:00,16.54,16.54,16.54,16.54,0,0,16.54362791
2024-04-29 00:30:00+00:00,16.58,16.58,16.58,16.58,11,4,16.57581395
2024-04-29 00:45:00+00:00,16.59,16.59,16.59,16.59,1,1,16.58654264
2024-04-29 01:00:00+00:00,16.58,16.58,16.58,16.58,8,4,16.57581395
2024-04-29 01:15:00+00:00,16.61,16.61,16.52,16.52,8,7,16.5607938
2024-04-29 01:30:00+00:00,16.55,16.55,16.55,16.55,1,1,16.55435659
2024-04-29 01:45:00+00:00,16.55,16.55,16.55,16.55,1,1,16.55435659
2024-04-29 02:00:00+00:00,16.48,16.5,16.48,16.5,2,2,16.4899845
2024-04-29 02:15:00+00:00,16.5,16.5,16.5,16.5,0,0,16.50071318
2024-04-29 02:30:00+00:00,16.52,16.52,16.52,16.52,1,1,16.52217054
2024-04-29 02:45:00+00:00,16.47,16.47,16.45,16.45,14,9,16.45672558
2024-04-29 03:00:00+00:00,16.46,16.46,16.46,16.46,2,2,16.45779845
2024-04-29 03:15:00+00:00,16.46,16.48,16.46,16.48,9,7,16.46745426
2024-04-29 03:30:00+00:00,16.46,16.47,16.46,16.47,9,5,16.46530853
2024-04-29 03:45:00+00:00,16.47,16.47,16.47,16.47,1,1,16.46852713
2024-04-29 04:00:00+00:00,16.47,16.47,16.47,16.47,0,0,16.46852713
2024-04-29 04:15:00+00:00,16.47,16.47,16.47,16.47,0,0,16.46852713
2024-04-29 04:30:00+00:00,16.47,16.47,16.47,16.47,0,0,16.46852713
2024-04-29 04:45:00+00:00,16.47,16.47,16.47,16.47,0,0,16.46852713
2024-04-29 05:00:00+00:00,16.47,16.47,16.47,16.47,0,0,16.46852713
2024-04-29 05:15:00+00:00,16.47,16.47,16.47,16.47,1,1,16.46852713
2024-04-29 05:30:00+00:00,16.47,16.47,16.47,16.47,0,0,16.46852713
2024-04-29 05:45:00+00:00,16.47,16.47,16.47,16.47,1,1,16.46852713
2024-04-29 06:00:00+00:00,16.47,16.47,16.47,16.47,0,0,16.46852713
2024-04-29 06:15:00+00:00,16.43,16.43,16.38,16.41,12,11,16.40844651
2024-04-29 06:30:00+00:00,16.41,16.41,16.41,16.41,0,0,16.41488372
2024-04-29 06:45:00+00:00,16.4,16.4,16.4,16.4,1,1,16.40415504
2024-04-29 07:00:00+00:00,16.43,16.45,16.43,16.43,17,9,16.42775814
2024-04-29 07:15:00+00:00,16.45,16.45,16.45,16.45,6,5,16.44706977
2024-04-29 07:30:00+00:00,16.44,16.44,16.44,16.44,1,1,16.43634109
2024-04-29 07:45:00+00:00,16.45,16.45,16.45,16.45,16,5,16.44706977
2024-04-29 08:00:00+00:00,16.46,16.48,16.46,16.47,3,3,16.46852713
2024-04-29 08:15:00+00:00,16.47,16.47,16.46,16.46,4,4,16.46101705
2024-04-29 08:30:00+00:00,16.46,16.46,16.46,16.46,0,0,16.45779845
2024-04-29 08:45:00+00:00,16.48,16.48,16.48,16.48,2,2,16.47925581
2024-04-29 09:00:00+00:00,16.47,16.47,16.47,16.47,1,1,16.46852713
2024-04-29 09:15:00+00:00,16.46,16.47,16.46,16.47,3,3,16.46101705
