date,open,high,low,close,volume,barCount,average
2023-07-03 02:00:00+00:00,488.25,490.75,485.25,485.75,4201,950,488.19324458
2023-07-03 02:15:00+00:00,486.25,488.0,485.5,487.0,477,182,486.6622288
2023-07-03 02:30:00+00:00,487.0,488.25,486.0,486.25,657,168,487.26459566
2023-07-03 02:45:00+00:00,486.25,487.25,486.0,486.5,242,94,486.56183432
2023-07-03 03:00:00+00:00,486.5,488.5,486.25,486.75,301,103,487.16420118
2023-07-03 03:15:00+00:00,486.75,489.25,486.5,489.25,286,83,488.04265286
2023-07-03 03:30:00+00:00,489.25,491.0,489.25,490.75,474,136,490.12583826
2023-07-03 03:45:00+00:00,490.75,492.25,490.5,492.25,327,93,491.12978304
2023-07-03 04:00:00+00:00,492.0,492.5,490.75,491.0,427,82,491.90784024
2023-07-03 04:15:00+00:00,491.25,492.5,491.25,492.25,122,33,491.98313609
2023-07-03 04:30:00+00:00,492.25,493.75,492.25,493.5,225,55,492.98708087
2023-07-03 04:45:00+00:00,493.75,494.5,493.5,494.25,230,56,493.84043393
2023-07-03 05:00:00+00:00,494.5,495.0,494.25,495.0,198,59,494.5933925
2023-07-03 05:15:00+00:00,494.75,495.0,494.5,494.75,80,22,494.69378698
2023-07-03 05:30:00+00:00,494.5,495.0,494.25,494.5,24,10,494.61849112
2023-07-03 05:45:00+00:00,494.5,495.5,494.5,495.5,104,36,494.96987179
2023-07-03 06:00:00+00:00,495.75,495.75,495.5,495.75,118,33,495.54714004
2023-07-03 06:15:00+00:00,495.75,495.75,495.0,495.25,78,26,495.3714497
2023-07-03 06:30:00+00:00,495.25,495.25,494.0,495.0,163,52,494.7188856
2023-07-03 06:45:00+00:00,495.25,495.75,494.75,495.75,184,45,495.22085799
2023-07-03 07:00:00+00:00,495.5,495.5,493.75,494.0,114,45,494.39260355
2023-07-03 07:15:00+00:00,494.0,494.0,492.5,493.25,173,71,493.06237673
2023-07-03 07:30:00+00:00,493.0,495.0,493.0,494.5,122,36,493.81533531
2023-07-03 07:45:00+00:00,494.0,495.0,493.0,493.0,119,52,494.16671598
2023-07-03 08:00:00+00:00,493.0,494.75,492.5,494.5,198,66,493.63964497
2023-07-03 08:15:00+00:00,494.5,494.5,491.5,492.25,156,48,492.56040434
2023-07-03 08:30:00+00:00,492.5,493.25,492.25,493.25,125,49,492.78629191
2023-07-03 08:45:00+00:00,493.25,495.0,492.5,494.25,261,97,494.09142012
2023-07-03 09:00:00+00:00,494.25,495.0,494.0,494.0,195,57,494.46789941
2023-07-03 09:15:00+00:00,494.0,494.0,492.25,492.25,228,72,492.88668639
2023-07-03 09:30:00+00:00,492.25,493.5,491.25,493.5,513,155,492.5102071
2023-07-03 09:45:00+00:00,493.5,494.75,493.25,494.0,207,70,494.04122288
2023-07-03 10:00:00+00:00,493.75,494.25,493.0,493.75,247,78,493.53925049
2023-07-03 10:15:00+00:00,494.25,495.25,493.5,495.0,381,73,494.49299803
2023-07-03 10:30:00+00:00,495.25,495.5,493.5,493.5,199,76,494.61849112
2023-07-03 10:45:00+00:00,493.5,495.25,493.0,494.75,202,99,493.71494083
2023-07-03 11:00:00+00:00,494.75,495.75,494.25,495.75,144,78,494.89457594
2023-07-03 11:15:00+00:00,495.75,499.25,495.75,499.0,804,263,497.42953649
2023-07-03 11:30:00+00:00,499.25,501.0,499.0,499.75,585,156,500.165286
2023-07-03 11:45:00+00:00,500.0,500.5,498.25,498.25,377,133,499.31193294
2023-07-03 12:00:00+00:00,498.5,499.0,497.5,499.0,393,107,497.98170611
2023-07-03 12:15:00+00:00,499.0,499.5,497.5,499.0,278,72,498.30798817
2023-07-03 12:30:00+00:00,499.0,500.0,498.5,499.0,209,61,499.03584813
2023-07-03 12:45:00+00:00,499.25,500.5,498.25,500.25,359,107,499.11114398
2023-07-03 13:00:00+00:00,500.0,500.25,496.25,496.5,594,168,498.00680473
2023-07-03 13:15:00+00:00,496.5,498.0,493.0,497.75,830,251,494.79418146
2023-07-03 13:30:00+00:00,497.5,499.25,496.5,497.25,504,170,498.05700197
2023-07-03 13:45:00+00:00,497.25,497.25,495.0,495.5,462,154,496.04911243
2023-07-03 14:00:00+00:00,495.5,500.75,495.25,498.75,548,208,498.38328402
2023-07-03 14:15:00+00:00,498.25,499.0,496.75,497.25,287,97,497.63032544
2023-07-03 14:30:00+00:00,497.25,497.75,495.25,495.25,432,144,496.85226824
2023-07-03 15:30:00+00:00,495.75,501.0,494.75,497.75,9739,2032,497.32914201
2023-07-03 15:45:00+00:00,497.75,498.75,495.25,495.25,3122,775,497.0530572
2023-07-03 16:00:00+00:00,495.5,496.5,492.0,492.25,3384,771,494.16671598
2023-07-03 16:15:00+00:00,492.25,495.0,491.5,494.75,4732,1025,493.06237673
2023-07-03 16:30:00+00:00,494.75,495.0,489.5,489.75,3677,839,491.70705128
2023-07-03 16:45:00+00:00,489.5,493.0,489.25,493.0,4212,760,490.77840237
2023-07-03 17:00:00+00:00,493.0,495.5,492.25,493.5,2715,666,494.0663215
2023-07-03 17:15:00+00:00,493.5,494.25,492.25,493.25,969,338,493.11257396
2023-07-03 17:30:00+00:00,493.25,496.25,493.0,494.75,1824,338,494.64358974
2023-07-03 17:45:00+00:00,494.5,494.5,491.75,493.75,1366,301,492.66079882
2023-07-03 18:00:00+00:00,493.75,494.75,491.0,494.75,1934,445,492.78629191
2023-07-03 18:15:00+00:00,494.5,496.5,494.0,495.5,2106,469,494.79418146
2023-07-03 18:30:00+00:00,495.25,496.5,494.5,495.25,2017,332,495.4969428
2023-07-03 18:45:00+00:00,495.25,497.0,495.0,495.25,1229,241,495.79812623
2023-07-03 19:00:00+00:00,495.25,495.75,493.5,495.25,1823,317,494.56829389
2023-07-03 19:15:00+00:00,495.25,495.5,493.5,494.0,1378,259,494.26711045
2023-07-03 19:30:00+00:00,494.25,495.25,493.5,494.0,1459,266,494.29220907
2023-07-03 19:45:00+00:00,494.0,495.0,492.0,492.5,2230,427,493.18786982
2023-07-03 20:00:00+00:00,492.5,492.75,489.5,490.0,5372,1025,490.4270217
2023-07-03 20:15:00+00:00,490.0,490.5,489.0,489.25,1667,261,489.69916174
2023-07-05 15:30:00+00:00,500.0,500.25,491.0,493.5,14667,2707,494.91967456
2023-07-05 15:45:00+00:00,493.75,495.25,492.25,493.0,5655,1069,493.71494083
2023-07-05 16:00:00+00:00,493.0,494.0,487.0,487.0,4500,909,490.35172584
2023-07-05 16:15:00+00:00,487.0,487.5,482.0,482.25,6125,1068,484.4535503
2023-07-05 16:30:00+00:00,482.0,485.75,481.0,483.0,5436,1001,483.22371795
2023-07-05 16:45:00+00:00,483.0,484.25,481.5,482.75,3253,794,482.72174556
2023-07-05 17:00:00+00:00,483.0,485.0,482.75,484.5,1612,437,483.55
2023-07-05 17:15:00+00:00,484.5,485.25,482.5,483.0,2179,533,483.19861933
2023-07-05 17:30:00+00:00,483.0,483.25,482.25,482.25,1420,346,482.49585799
2023-07-05 17:45:00+00:00,482.25,487.25,481.75,487.25,3567,482,484.2025641
2023-07-05 18:00:00+00:00,487.25,491.0,487.0,488.5,3081,683,489.44817554
2023-07-05 18:15:00+00:00,488.5,492.25,488.25,491.25,1852,452,491.02938856
