Date,Open,High,Low,Close,Volume,Barcount,Average
2023-12-28 02:00:00+00:00,48.68,48.99,48.59,48.66,579,282,48.717
2023-12-28 02:15:00+00:00,48.64,48.65,48.58,48.59,91,40,48.609
2023-12-28 02:30:00+00:00,48.58,48.61,48.52,48.6,77,56,48.576
2023-12-28 02:45:00+00:00,48.6,48.61,48.58,48.58,95,54,48.605
2023-12-28 03:00:00+00:00,48.58,48.61,48.52,48.53,60,37,48.572
2023-12-28 03:15:00+00:00,48.53,48.54,48.52,48.52,11,8,48.527
2023-12-28 03:30:00+00:00,48.52,48.56,48.48,48.51,227,131,48.497
2023-12-28 03:45:00+00:00,48.5,48.59,48.49,48.57,60,51,48.518
2023-12-28 04:00:00+00:00,48.59,48.59,48.53,48.56,16,13,48.547
2023-12-28 04:15:00+00:00,48.56,48.59,48.54,48.55,24,16,48.565
2023-12-28 04:30:00+00:00,48.53,48.53,48.51,48.51,14,4,48.524
2023-12-28 04:45:00+00:00,48.52,48.52,48.52,48.52,1,1,48.52
2023-12-28 05:00:00+00:00,48.51,48.53,48.51,48.53,7,6,48.516
2023-12-28 05:15:00+00:00,48.52,48.53,48.52,48.53,3,2,48.523
2023-12-28 05:30:00+00:00,48.55,48.57,48.53,48.55,17,12,48.549
2023-12-28 05:45:00+00:00,48.54,48.55,48.54,48.55,2,2,48.545
2023-12-28 06:00:00+00:00,48.54,48.57,48.54,48.54,17,9,48.556
2023-12-28 06:15:00+00:00,48.54,48.54,48.54,48.54,3,2,48.54
2023-12-28 06:30:00+00:00,48.56,48.68,48.56,48.67,33,28,48.624
2023-12-28 06:45:00+00:00,48.68,48.7,48.67,48.7,11,7,48.683
2023-12-28 07:00:00+00:00,48.7,48.73,48.7,48.71,43,26,48.709
2023-12-28 07:15:00+00:00,48.73,48.76,48.7,48.7,71,44,48.728
2023-12-28 07:30:00+00:00,48.7,48.71,48.65,48.65,14,10,48.683
2023-12-28 07:45:00+00:00,48.67,48.69,48.65,48.67,18,14,48.669
2023-12-28 08:00:00+00:00,48.67,48.78,48.67,48.78,83,68,48.746
2023-12-28 08:15:00+00:00,48.79,48.79,48.67,48.69,17,12,48.719
2023-12-28 08:30:00+00:00,48.67,48.7,48.66,48.69,13,11,48.685
2023-12-28 08:45:00+00:00,48.69,48.72,48.68,48.71,37,25,48.7
2023-12-28 09:00:00+00:00,48.7,48.73,48.66,48.71,43,23,48.704
2023-12-28 09:15:00+00:00,48.7,48.72,48.65,48.65,42,32,48.68
2023-12-28 09:30:00+00:00,48.66,48.69,48.64,48.64,21,19,48.667
2023-12-28 09:45:00+00:00,48.65,48.68,48.64,48.65,34,27,48.66
2023-12-28 10:00:00+00:00,48.64,48.69,48.64,48.66,73,52,48.663
2023-12-28 10:15:00+00:00,48.66,48.7,48.66,48.68,41,35,48.677
2023-12-28 10:30:00+00:00,48.7,48.8,48.7,48.8,189,72,48.763
2023-12-28 10:45:00+00:00,48.8,48.8,48.71,48.72,95,32,48.751
2023-12-28 11:00:00+00:00,48.71,48.73,48.66,48.67,55,33,48.694
2023-12-28 11:15:00+00:00,48.66,48.69,48.66,48.68,71,36,48.671
2023-12-28 11:30:00+00:00,48.68,48.71,48.62,48.71,190,51,48.664
2023-12-28 11:45:00+00:00,48.7,48.78,48.69,48.77,135,61,48.743
2023-12-28 12:00:00+00:00,48.75,48.78,48.73,48.77,49,24,48.753
2023-12-28 12:15:00+00:00,48.76,48.89,48.76,48.88,295,86,48.837
2023-12-28 12:30:00+00:00,48.88,48.92,48.81,48.86,212,91,48.867
2023-12-28 12:45:00+00:00,48.87,48.87,48.84,48.86,49,25,48.856
2023-12-28 13:00:00+00:00,48.86,48.93,48.84,48.87,148,97,48.883
2023-12-28 13:15:00+00:00,48.86,48.89,48.8,48.8,86,44,48.865
2023-12-28 13:30:00+00:00,48.8,48.83,48.76,48.78,130,81,48.781
2023-12-28 13:45:00+00:00,48.78,48.78,48.72,48.77,46,37,48.757
2023-12-28 14:00:00+00:00,48.78,48.9,48.75,48.76,159,115,48.814
2023-12-28 14:15:00+00:00,48.79,48.81,48.61,48.65,308,169,48.695
2023-12-28 14:30:00+00:00,48.65,48.73,48.62,48.66,270,148,48.677
2023-12-28 15:30:00+00:00,48.66,48.91,48.51,48.83,3188,1705,48.741
2023-12-28 15:45:00+00:00,48.83,49.18,48.78,49.0,2820,1251,49.052
2023-12-28 16:00:00+00:00,49.0,49.22,48.93,48.96,1422,682,49.101
2023-12-28 16:15:00+00:00,48.97,49.03,48.84,49.03,1758,834,48.967
2023-12-28 16:30:00+00:00,49.03,49.15,49.0,49.04,1396,636,49.07
2023-12-28 16:45:00+00:00,49.03,49.08,48.85,48.88,897,468,48.969
2023-12-28 17:00:00+00:00,48.89,48.97,48.79,48.87,961,465,48.881
