Date,Open,High,Low,Close,Volume,Barcount,Average
2023-05-02 02:00:00+00:00,51.81,51.99,51.81,51.88,297,163,51.908
2023-05-02 02:15:00+00:00,51.88,51.96,51.86,51.96,73,45,51.915
2023-05-02 02:30:00+00:00,51.99,52.05,51.95,52.05,137,61,52.019
2023-05-02 02:45:00+00:00,52.05,52.08,52.0,52.0,139,45,52.036
2023-05-02 03:00:00+00:00,52.0,52.17,51.99,52.12,326,113,52.123
2023-05-02 03:15:00+00:00,52.13,52.19,52.1,52.16,115,60,52.157
2023-05-02 03:30:00+00:00,52.17,52.2,52.13,52.2,93,59,52.183
2023-05-02 03:45:00+00:00,52.21,52.24,52.2,52.23,234,105,52.215
2023-05-02 04:00:00+00:00,52.23,52.29,52.2,52.21,86,43,52.246
2023-05-02 04:15:00+00:00,52.21,52.24,52.19,52.21,71,24,52.218
2023-05-02 04:30:00+00:00,52.21,52.21,52.19,52.2,56,39,52.203
2023-05-02 04:45:00+00:00,52.2,52.23,52.15,52.16,34,29,52.186
2023-05-02 05:00:00+00:00,52.19,52.19,52.06,52.11,240,114,52.113
2023-05-02 05:15:00+00:00,52.09,52.13,52.09,52.13,10,9,52.115
2023-05-02 05:30:00+00:00,52.16,52.19,52.16,52.19,41,30,52.173
2023-05-02 05:45:00+00:00,52.19,52.25,52.18,52.24,70,48,52.22
2023-05-02 06:00:00+00:00,52.24,52.26,52.19,52.19,31,27,52.223
2023-05-02 06:15:00+00:00,52.18,52.19,52.14,52.15,17,14,52.16
2023-05-02 06:30:00+00:00,52.14,52.14,52.11,52.12,12,10,52.127
2023-05-02 06:45:00+00:00,52.13,52.13,52.1,52.12,19,15,52.121
2023-05-02 07:00:00+00:00,52.13,52.17,52.12,52.17,13,11,52.142
2023-05-02 07:15:00+00:00,52.16,52.18,52.13,52.14,24,24,52.154
2023-05-02 07:30:00+00:00,52.14,52.16,52.13,52.14,11,11,52.144
2023-05-02 07:45:00+00:00,52.12,52.12,52.07,52.1,52,31,52.089
2023-05-02 08:00:00+00:00,52.09,52.11,52.07,52.07,15,14,52.086
2023-05-02 08:15:00+00:00,52.07,52.15,52.07,52.12,32,23,52.109
2023-05-02 08:30:00+00:00,52.14,52.15,52.11,52.13,26,22,52.13
2023-05-02 08:45:00+00:00,52.13,52.19,52.05,52.16,212,87,52.085
2023-05-02 09:00:00+00:00,52.16,52.22,52.12,52.13,181,106,52.184
2023-05-02 09:15:00+00:00,52.11,52.22,52.1,52.11,166,92,52.17
2023-05-02 09:30:00+00:00,52.12,52.21,52.12,52.15,116,78,52.174
2023-05-02 09:45:00+00:00,52.13,52.13,51.99,52.02,175,99,52.054
2023-05-02 10:00:00+00:00,52.0,52.18,51.96,52.18,351,259,52.005
2023-05-02 10:15:00+00:00,52.19,52.2,52.15,52.2,157,103,52.166
