date,open,high,low,close,volume,barCount,average
2024-01-29 02:00:00+00:00,48.52,48.53,48.22,48.38,802,366,48.3839348
2024-01-29 02:15:00+00:00,48.37,48.46,48.34,48.43,286,101,48.41276295
2024-01-29 02:30:00+00:00,48.44,48.45,48.25,48.34,150,79,48.32216019
2024-01-29 02:45:00+00:00,48.37,48.37,48.32,48.32,25,15,48.33554469
2024-01-29 03:00:00+00:00,48.27,48.28,48.19,48.24,49,32,48.2418532
2024-01-29 03:15:00+00:00,48.25,48.27,48.22,48.23,68,49,48.23979404
2024-01-29 03:30:00+00:00,48.2,48.24,48.18,48.2,128,45,48.20684758
2024-01-29 03:45:00+00:00,48.22,48.24,48.19,48.2,52,29,48.22640954
2024-01-29 04:00:00+00:00,48.25,48.25,48.17,48.17,33,17,48.19655181
2024-01-29 04:15:00+00:00,48.17,48.17,48.12,48.13,93,47,48.13271805
2024-01-29 04:30:00+00:00,48.15,48.19,48.15,48.17,34,11,48.18007858
2024-01-29 04:45:00+00:00,48.18,48.25,48.18,48.23,39,15,48.22332081
2024-01-29 05:00:00+00:00,48.24,48.25,48.23,48.23,25,17,48.2418532
2024-01-29 05:15:00+00:00,48.23,48.23,48.19,48.19,13,6,48.20993631
2024-01-29 05:30:00+00:00,48.2,48.24,48.2,48.24,15,12,48.22332081
2024-01-29 05:45:00+00:00,48.24,48.24,48.23,48.23,4,3,48.2284687
2024-01-29 06:00:00+00:00,48.19,48.19,48.19,48.19,1,1,48.19449266
2024-01-29 06:15:00+00:00,48.19,48.19,48.17,48.19,7,6,48.1883152
2024-01-29 06:30:00+00:00,48.16,48.29,48.14,48.18,138,83,48.21405462
2024-01-29 06:45:00+00:00,48.15,48.17,48.12,48.14,89,58,48.13889551
2024-01-29 07:00:00+00:00,48.14,48.18,48.09,48.15,100,57,48.12551101
2024-01-29 07:15:00+00:00,48.15,48.15,48.1,48.14,92,52,48.13889551
2024-01-29 07:30:00+00:00,48.15,48.15,48.06,48.06,96,47,48.11830397
2024-01-29 07:45:00+00:00,48.06,48.06,47.96,47.98,156,81,48.01431671
2024-01-29 08:00:00+00:00,47.98,48.02,47.92,47.99,150,51,47.95460125
2024-01-29 08:15:00+00:00,48.02,48.03,47.99,47.99,17,12,48.01225756
2024-01-29 08:30:00+00:00,48.02,48.06,48.01,48.06,19,14,48.04932232
2024-01-29 08:45:00+00:00,48.07,48.1,48.04,48.06,122,65,48.06785471
2024-01-29 09:00:00+00:00,48.07,48.11,48.06,48.09,109,60,48.08844624
2024-01-29 09:15:00+00:00,48.09,48.09,48.03,48.03,65,41,48.06888428
2024-01-29 09:30:00+00:00,48.03,48.04,47.98,48.02,167,106,48.00813925
2024-01-29 09:45:00+00:00,48.01,48.01,47.96,47.97,23,20,47.98651813
2024-01-29 10:00:00+00:00,47.96,47.99,47.88,47.89,308,141,47.93503929
2024-01-29 10:15:00+00:00,47.91,47.98,47.89,47.89,147,73,47.93195056
2024-01-29 10:30:00+00:00,47.88,47.93,47.84,47.92,115,62,47.87944214
2024-01-29 10:45:00+00:00,47.9,47.91,47.85,47.89,63,49,47.88253087
2024-01-29 11:00:00+00:00,47.88,47.89,47.8,47.87,227,90,47.84752526
2024-01-29 11:15:00+00:00,47.88,47.98,47.87,47.96,142,74,47.92886183
2024-01-29 11:30:00+00:00,47.96,48.01,47.95,47.97,92,56,47.98239983
2024-01-29 11:45:00+00:00,47.96,47.96,47.88,47.93,105,58,47.90415199
2024-01-29 12:00:00+00:00,47.91,47.96,47.9,47.95,14,13,47.92371395
2024-01-29 12:15:00+00:00,47.94,47.94,47.82,47.82,116,68,47.84546611
2024-01-29 12:30:00+00:00,47.83,47.84,47.82,47.83,94,60,47.83208161
2024-01-29 12:45:00+00:00,47.82,47.82,47.79,47.82,53,38,47.80737176
2024-01-29 13:00:00+00:00,47.8,47.82,47.78,47.78,47,28,47.79913515
2024-01-29 13:15:00+00:00,47.79,47.85,47.78,47.81,123,79,47.81869711
2024-01-29 13:30:00+00:00,47.8,47.82,47.77,47.81,195,89,47.79913515
2024-01-29 13:45:00+00:00,47.8,47.9,47.8,47.82,242,126,47.84443653
2024-01-29 14:00:00+00:00,47.84,47.92,47.8,47.83,199,117,47.85370272
2024-01-29 14:15:00+00:00,47.82,47.84,47.74,47.84,337,216,47.8011943
2024-01-29 14:30:00+00:00,47.82,47.9,47.77,47.87,532,245,47.83928864
2024-01-29 15:30:00+00:00,47.82,47.83,47.51,47.54,5253,2034,47.68279296
2024-01-29 15:45:00+00:00,47.55,47.59,47.29,47.3,4342,1528,47.44393113
