date,open,high,low,close,volume,barCount,average
2023-06-01 02:00:00+00:00,44.88,44.95,44.76,44.81,706,307,44.84698095
2023-06-01 02:15:00+00:00,44.79,44.81,44.74,44.75,140,61,44.76851447
2023-06-01 02:30:00+00:00,44.74,44.76,44.72,44.74,22,18,44.74042154
2023-06-01 02:45:00+00:00,44.74,44.8,44.72,44.8,53,30,44.75301492
2023-06-01 03:00:00+00:00,44.77,44.9,44.77,44.84,129,83,44.82954395
2023-06-01 03:15:00+00:00,44.82,44.95,44.82,44.92,68,45,44.9070417
2023-06-01 03:30:00+00:00,44.92,44.92,44.87,44.92,69,46,44.90219809
2023-06-01 03:45:00+00:00,44.91,45.06,44.89,45.05,274,126,44.97000863
2023-06-01 04:00:00+00:00,45.04,45.09,45.0,45.07,205,103,45.04944383
2023-06-01 04:15:00+00:00,45.06,45.06,44.98,45.01,77,55,45.02135089
2023-06-01 04:30:00+00:00,45.02,45.14,45.02,45.12,228,137,45.10659842
2023-06-01 04:45:00+00:00,45.13,45.14,45.06,45.1,86,53,45.11628564
2023-06-01 05:00:00+00:00,45.09,45.24,45.09,45.19,241,85,45.19475211
2023-06-01 05:15:00+00:00,45.16,45.24,45.12,45.23,132,41,45.18215873
2023-06-01 05:30:00+00:00,45.23,45.25,45.21,45.21,75,34,45.23543843
2023-06-01 05:45:00+00:00,45.22,45.23,45.2,45.21,7,7,45.21993888
2023-06-01 06:00:00+00:00,45.2,45.2,45.18,45.19,38,21,45.1899085
2023-06-01 06:15:00+00:00,45.2,45.23,45.19,45.22,26,14,45.21412655
2023-06-01 06:30:00+00:00,45.22,45.22,45.2,45.2,11,10,45.20250189
2023-06-01 06:45:00+00:00,45.18,45.21,45.18,45.19,16,13,45.19378339
2023-06-01 07:00:00+00:00,45.2,45.22,45.16,45.16,68,54,45.18409617
2023-06-01 07:15:00+00:00,45.18,45.2,45.16,45.19,52,25,45.18409617
2023-06-01 07:30:00+00:00,45.2,45.2,45.16,45.19,48,27,45.18506489
2023-06-01 07:45:00+00:00,45.19,45.2,45.13,45.14,59,40,45.16956534
2023-06-01 08:00:00+00:00,45.13,45.18,45.06,45.07,142,91,45.13566008
2023-06-01 08:15:00+00:00,45.08,45.1,45.02,45.08,125,83,45.05622488
2023-06-01 08:30:00+00:00,45.07,45.15,45.03,45.13,222,90,45.10466097
2023-06-01 08:45:00+00:00,45.13,45.17,45.11,45.17,47,41,45.14244113
2023-06-01 09:00:00+00:00,45.17,45.19,45.13,45.14,103,56,45.16472173
2023-06-01 09:15:00+00:00,45.13,45.13,45.08,45.09,53,34,45.10078609
2023-06-01 09:30:00+00:00,45.09,45.14,45.05,45.14,56,35,45.09497376
2023-06-01 09:45:00+00:00,45.13,45.13,45.05,45.07,22,18,45.0794742
2023-06-01 10:00:00+00:00,45.05,45.13,45.05,45.13,50,34,45.08916142
2023-06-01 10:15:00+00:00,45.11,45.11,45.05,45.06,86,47,45.06978699
2023-06-01 10:30:00+00:00,45.06,45.06,44.97,45.0,63,37,45.00197645
2023-06-01 10:45:00+00:00,45.01,45.05,44.98,45.05,81,34,45.0087575
2023-06-01 11:00:00+00:00,45.07,45.09,45.04,45.09,85,39,45.06688082
2023-06-01 11:15:00+00:00,45.09,45.14,45.06,45.12,71,55,45.10659842
2023-06-01 11:30:00+00:00,45.12,45.15,45.07,45.12,113,72,45.11144203
2023-06-01 11:45:00+00:00,45.13,45.37,45.12,45.36,367,154,45.28096836
2023-06-01 12:00:00+00:00,45.36,45.52,45.36,45.48,424,245,45.42530793
