date,Open,High,Low,Close,Volume,Barcount,Average
2024-04-15 02:00:00+00:00,46.47,46.78,46.42,46.7,753,304,46.576
2024-04-15 02:15:00+00:00,46.73,46.78,46.66,46.75,36,23,46.731
2024-04-15 02:30:00+00:00,46.75,46.75,46.7,46.71,16,13,46.733
2024-04-15 02:45:00+00:00,46.71,46.74,46.71,46.72,8,8,46.721
2024-04-15 03:00:00+00:00,46.72,46.73,46.58,46.58,90,41,46.627
2024-04-15 03:15:00+00:00,46.58,46.66,46.56,46.62,76,41,46.591
2024-04-15 03:30:00+00:00,46.64,46.67,46.64,46.67,5,5,46.654
2024-04-15 03:45:00+00:00,46.61,46.62,46.54,46.62,54,26,46.605
2024-04-15 04:00:00+00:00,46.64,46.64,46.59,46.64,39,18,46.605
2024-04-15 04:15:00+00:00,46.64,46.64,46.62,46.63,3,3,46.63
2024-04-15 04:30:00+00:00,46.69,46.7,46.64,46.67,10,9,46.673
2024-04-15 04:45:00+00:00,46.67,46.68,46.61,46.66,54,25,46.632
2024-04-15 05:00:00+00:00,46.65,46.66,46.62,46.66,16,7,46.636
2024-04-15 05:15:00+00:00,46.64,46.65,46.63,46.65,10,6,46.641
2024-04-15 05:30:00+00:00,46.67,46.68,46.66,46.66,17,16,46.676
2024-04-15 05:45:00+00:00,46.67,46.68,46.66,46.66,7,7,46.669
2024-04-15 06:00:00+00:00,46.67,46.67,46.67,46.67,1,1,46.67
2024-04-15 06:15:00+00:00,46.68,46.71,46.68,46.7,20,18,46.687
2024-04-15 06:30:00+00:00,46.69,46.7,46.64,46.7,74,19,46.679
2024-04-15 06:45:00+00:00,46.7,46.76,46.7,46.76,15,9,46.731
2024-04-15 07:00:00+00:00,46.75,46.8,46.73,46.8,22,17,46.76
2024-04-15 07:15:00+00:00,46.78,46.79,46.71,46.75,66,26,46.748
2024-04-15 07:30:00+00:00,46.75,46.75,46.69,46.72,55,33,46.722
2024-04-15 07:45:00+00:00,46.71,46.75,46.67,46.67,68,24,46.712
2024-04-15 08:00:00+00:00,46.66,46.66,46.57,46.6,61,34,46.622
2024-04-15 08:15:00+00:00,46.6,46.6,46.51,46.51,180,85,46.545
2024-04-15 08:30:00+00:00,46.51,46.55,46.46,46.47,196,103,46.496
2024-04-15 08:45:00+00:00,46.48,46.48,46.38,46.39,103,40,46.424
2024-04-15 09:00:00+00:00,46.38,46.41,46.32,46.36,171,97,46.359
2024-04-15 09:15:00+00:00,46.42,46.51,46.42,46.46,81,55,46.452
2024-04-15 09:30:00+00:00,46.46,46.46,46.34,46.4,235,83,46.366
2024-04-15 09:45:00+00:00,46.39,46.39,46.3,46.34,136,99,46.348
2024-04-15 10:00:00+00:00,46.35,46.42,46.32,46.41,238,161,46.355
2024-04-15 10:15:00+00:00,46.43,46.47,46.37,46.47,123,63,46.432
