date,open,high,low,close,volume,barCount,average
2024-02-26 02:00:00+00:00,328.8,330.8,328.8,330.3,1402,629,330.11
2024-02-26 02:15:00+00:00,330.3,330.9,329.8,330.8,329,189,330.22
2024-02-26 02:30:00+00:00,330.7,331.0,330.6,330.8,169,83,330.79
2024-02-26 02:45:00+00:00,330.8,330.8,330.1,330.1,129,63,330.49
2024-02-26 03:00:00+00:00,330.0,330.2,329.8,330.0,98,59,329.94
2024-02-26 03:15:00+00:00,330.0,330.0,329.3,329.3,139,54,329.51
2024-02-26 03:30:00+00:00,329.3,329.5,329.0,329.5,102,38,329.22
2024-02-26 03:45:00+00:00,329.6,330.2,329.6,330.2,43,29,329.85
2024-02-26 04:00:00+00:00,330.0,330.2,329.9,330.1,21,16,330.09
2024-02-26 04:15:00+00:00,330.1,330.3,329.3,329.4,92,44,329.8
2024-02-26 04:30:00+00:00,329.3,329.3,329.0,329.2,33,28,329.18
2024-02-26 04:45:00+00:00,329.2,329.4,329.2,329.2,10,9,329.28
2024-02-26 05:00:00+00:00,329.2,329.5,329.2,329.5,23,14,329.42
2024-02-26 05:15:00+00:00,329.5,329.5,329.0,329.1,54,32,329.24
2024-02-26 05:30:00+00:00,329.1,329.4,329.1,329.4,28,17,329.27
2024-02-26 05:45:00+00:00,329.4,329.5,329.4,329.5,26,20,329.48
2024-02-26 06:00:00+00:00,329.6,329.6,329.3,329.3,13,10,329.5
2024-02-26 06:15:00+00:00,329.4,329.5,329.3,329.3,7,6,329.4
2024-02-26 06:30:00+00:00,329.3,329.5,329.3,329.5,18,15,329.37
2024-02-26 06:45:00+00:00,329.6,329.6,329.3,329.3,8,7,329.45
2024-02-26 07:00:00+00:00,329.0,329.1,328.7,328.7,58,26,328.9
2024-02-26 07:15:00+00:00,329.0,329.1,328.8,329.0,59,33,328.98
2024-02-26 07:30:00+00:00,329.1,329.2,328.9,329.1,27,18,329.09
2024-02-26 07:45:00+00:00,329.1,329.2,328.8,329.0,70,36,328.98
2024-02-26 08:00:00+00:00,329.0,329.3,329.0,329.3,19,17,329.16
2024-02-26 08:15:00+00:00,329.2,329.4,329.1,329.4,26,17,329.23
2024-02-26 08:30:00+00:00,329.4,329.6,329.2,329.2,66,35,329.43
2024-02-26 08:45:00+00:00,329.2,329.4,329.1,329.3,85,45,329.24
2024-02-26 09:00:00+00:00,329.2,329.6,329.2,329.5,59,37,329.33
2024-02-26 09:15:00+00:00,329.5,329.6,329.0,329.0,76,42,329.3
2024-02-26 09:30:00+00:00,328.9,329.1,328.7,328.8,62,41,328.84
2024-02-26 09:45:00+00:00,328.8,328.9,328.2,328.6,155,72,328.62
2024-02-26 10:00:00+00:00,328.5,329.1,328.5,328.8,78,45,328.77
2024-02-26 10:15:00+00:00,328.8,328.9,328.7,328.7,30,20,328.73
2024-02-26 10:30:00+00:00,328.6,328.8,328.5,328.7,194,81,328.61
2024-02-26 10:45:00+00:00,328.6,328.7,328.3,328.7,152,77,328.52
2024-02-26 11:00:00+00:00,328.7,329.2,328.7,329.2,189,82,329.04
2024-02-26 11:15:00+00:00,329.2,329.4,329.1,329.1,59,34,329.21
2024-02-26 11:30:00+00:00,329.1,329.1,328.1,328.4,413,168,328.44
2024-02-26 11:45:00+00:00,328.4,328.4,328.0,328.1,92,48,328.16
2024-02-26 12:00:00+00:00,328.0,328.0,327.7,327.8,115,56,327.89
2024-02-26 12:15:00+00:00,327.7,328.3,327.7,328.2,144,64,328.11
