date,Open,High,Low,Close,Volume,Barcount,Average
2023-12-28 02:00:00+00:00,394.0,395.2,393.8,395.1,341,154,394.52
2023-12-28 02:15:00+00:00,395.1,395.1,394.6,395.1,37,22,394.81
2023-12-28 02:30:00+00:00,395.1,395.1,394.5,394.7,24,16,394.8
2023-12-28 02:45:00+00:00,394.9,395.1,393.5,394.6,410,166,394.03
2023-12-28 03:00:00+00:00,394.7,394.7,394.3,394.3,18,15,394.53
2023-12-28 03:15:00+00:00,394.3,394.3,394.0,394.2,19,9,394.14
2023-12-28 03:30:00+00:00,394.2,394.4,394.1,394.2,22,14,394.22
2023-12-28 03:45:00+00:00,394.2,394.3,394.2,394.3,12,11,394.28
2023-12-28 04:00:00+00:00,394.4,394.4,394.0,394.4,15,11,394.23
2023-12-28 04:15:00+00:00,394.4,394.6,394.3,394.3,5,4,394.44
2023-12-28 04:30:00+00:00,394.2,394.4,394.2,394.4,9,5,394.36
2023-12-28 04:45:00+00:00,394.3,394.4,394.3,394.4,6,3,394.37
2023-12-28 05:00:00+00:00,394.5,394.5,394.5,394.5,8,5,394.5
2023-12-28 05:15:00+00:00,394.5,394.7,394.5,394.6,18,13,394.61
2023-12-28 05:30:00+00:00,394.6,394.7,394.5,394.5,22,7,394.63
2023-12-28 05:45:00+00:00,394.5,394.6,394.5,394.6,4,3,394.58
2023-12-28 06:00:00+00:00,394.5,394.5,394.3,394.3,13,6,394.37
2023-12-28 06:15:00+00:00,394.4,394.4,394.4,394.4,3,3,394.4
2023-12-28 06:30:00+00:00,394.4,394.5,394.4,394.4,33,22,394.41
2023-12-28 06:45:00+00:00,394.5,394.5,394.5,394.5,6,3,394.5
2023-12-28 07:00:00+00:00,394.5,394.7,394.4,394.5,41,21,394.52
2023-12-28 07:15:00+00:00,394.5,394.8,394.5,394.5,27,15,394.59
2023-12-28 07:30:00+00:00,394.5,394.8,394.4,394.8,20,12,394.63
2023-12-28 07:45:00+00:00,394.8,395.1,394.8,394.9,41,23,394.93
2023-12-28 08:00:00+00:00,394.8,394.8,394.7,394.7,19,12,394.76
2023-12-28 08:15:00+00:00,394.6,394.6,394.3,394.3,35,15,394.39
2023-12-28 08:30:00+00:00,394.3,394.5,394.3,394.3,34,14,394.37
2023-12-28 08:45:00+00:00,394.2,394.4,394.2,394.4,44,20,394.32
2023-12-28 09:00:00+00:00,394.5,394.9,394.5,394.7,33,16,394.7
2023-12-28 09:15:00+00:00,394.6,394.8,394.2,394.2,16,13,394.61
2023-12-28 09:30:00+00:00,394.1,394.2,393.5,393.6,154,87,393.75
2023-12-28 09:45:00+00:00,393.6,393.6,393.2,393.2,227,162,393.47
2023-12-28 10:00:00+00:00,393.3,393.3,393.1,393.2,144,55,393.27
2023-12-28 10:15:00+00:00,393.1,393.3,393.1,393.3,70,41,393.27
2023-12-28 10:30:00+00:00,393.2,393.3,393.0,393.2,127,66,393.21
2023-12-28 10:45:00+00:00,393.1,393.4,393.0,393.4,199,76,393.15
2023-12-28 11:00:00+00:00,393.4,393.4,393.0,393.1,55,27,393.21
2023-12-28 11:15:00+00:00,393.2,393.2,392.9,393.0,40,21,393.05
2023-12-28 11:30:00+00:00,393.0,393.5,393.0,393.5,13,10,393.32
2023-12-28 11:45:00+00:00,393.4,393.4,393.1,393.2,20,14,393.24
2023-12-28 12:00:00+00:00,393.3,394.1,393.3,393.8,164,69,393.88
2023-12-28 12:15:00+00:00,393.9,393.9,393.6,393.7,53,36,393.74
2023-12-28 12:30:00+00:00,393.6,393.7,392.8,393.1,163,69,393.16
2023-12-28 12:45:00+00:00,393.1,393.5,393.1,393.3,85,56,393.27
2023-12-28 13:00:00+00:00,393.2,393.5,393.1,393.4,64,32,393.33
2023-12-28 13:15:00+00:00,393.3,393.8,393.1,393.7,73,38,393.45
2023-12-28 13:30:00+00:00,393.8,394.0,393.4,393.8,50,29,393.68
2023-12-28 13:45:00+00:00,393.8,394.1,393.6,394.1,159,56,393.91
2023-12-28 14:00:00+00:00,394.1,394.9,394.1,394.3,179,70,394.58
2023-12-28 14:15:00+00:00,394.2,394.7,394.2,394.4,166,86,394.48
2023-12-28 14:30:00+00:00,394.2,394.8,394.1,394.7,393,122,394.41
2023-12-28 15:30:00+00:00,395.0,397.5,394.0,394.3,3692,1407,395.26
2023-12-28 15:45:00+00:00,394.5,395.0,393.4,393.7,2573,934,394.05
2023-12-28 16:00:00+00:00,393.6,393.7,391.4,393.1,2871,964,392.4
2023-12-28 16:15:00+00:00,393.2,394.1,392.8,393.1,1860,750,393.55
2023-12-28 16:30:00+00:00,393.0,393.5,391.7,391.8,1586,562,392.74
2023-12-28 16:45:00+00:00,391.9,392.8,391.7,392.8,1166,606,392.18
2023-12-28 17:00:00+00:00,392.7,392.7,390.9,391.1,1589,575,391.51
2023-12-28 17:15:00+00:00,391.0,391.9,390.9,391.6,1184,430,391.33
2023-12-28 17:30:00+00:00,391.6,391.9,391.1,391.7,1629,567,391.44
2023-12-28 17:45:00+00:00,391.7,391.8,390.5,390.8,1072,464,391.13
2023-12-28 18:00:00+00:00,390.7,391.0,390.0,390.4,1583,569,390.33
2023-12-28 18:15:00+00:00,390.4,390.8,390.3,390.5,839,374,390.52
2023-12-28 18:30:00+00:00,390.5,390.7,390.0,390.1,723,323,390.31
2023-12-28 18:45:00+00:00,390.0,390.2,389.5,390.1,1059,467,389.83
2023-12-28 19:00:00+00:00,390.2,390.2,389.1,389.7,882,343,389.59
2023-12-28 19:15:00+00:00,389.6,390.2,389.3,389.7,1376,490,389.91
2023-12-28 19:30:00+00:00,389.7,390.2,389.3,389.9,1258,526,389.69
2023-12-28 19:45:00+00:00,390.0,390.7,389.9,390.2,762,337,390.31
2023-12-28 20:00:00+00:00,390.1,390.9,389.6,390.7,2117,793,390.36
2023-12-28 20:15:00+00:00,390.7,391.0,390.2,390.2,681,214,390.63
2023-12-29 02:00:00+00:00,390.7,391.2,390.3,390.7,386,194,390.67
2023-12-29 02:15:00+00:00,390.8,390.8,390.4,390.5,43,21,390.64
2023-12-29 02:30:00+00:00,390.5,391.2,390.3,391.1,60,29,390.79
2023-12-29 02:45:00+00:00,391.2,391.3,390.6,390.6,46,23,390.91
2023-12-29 03:00:00+00:00,390.7,391.0,390.7,390.9,46,16,390.96
