date,open,high,low,close,volume,barCount,average
2023-07-03 02:00:00+00:00,1343.75,1356.75,1343.25,1346.75,6795,2351,1349.675
2023-07-03 02:15:00+00:00,1346.75,1350.25,1346.0,1348.25,1465,621,1348.4
2023-07-03 02:30:00+00:00,1348.0,1353.25,1348.0,1350.25,1158,455,1351.45
2023-07-03 02:45:00+00:00,1350.0,1353.75,1350.0,1352.0,674,304,1352.4
2023-07-03 03:00:00+00:00,1352.25,1360.0,1352.0,1358.75,2417,687,1356.575
2023-07-03 03:15:00+00:00,1359.25,1368.0,1358.25,1367.5,2117,667,1362.975
2023-07-03 03:30:00+00:00,1367.75,1369.0,1365.75,1367.25,1972,526,1367.6
2023-07-03 03:45:00+00:00,1367.5,1369.0,1366.25,1368.0,1138,348,1367.75
2023-07-03 04:00:00+00:00,1367.5,1368.5,1364.0,1365.0,650,265,1366.2
2023-07-03 04:15:00+00:00,1365.25,1368.0,1364.75,1367.0,335,136,1366.525
2023-07-03 04:30:00+00:00,1367.0,1367.0,1363.5,1363.75,627,209,1364.65
2023-07-03 04:45:00+00:00,1364.0,1366.25,1364.0,1366.0,213,87,1365.1
2023-07-03 05:00:00+00:00,1365.75,1367.0,1365.0,1365.75,345,141,1365.7
2023-07-03 05:15:00+00:00,1365.75,1366.5,1365.5,1366.0,172,66,1365.75
2023-07-03 05:30:00+00:00,1365.75,1366.0,1365.0,1366.0,60,37,1365.525
2023-07-03 05:45:00+00:00,1366.0,1371.75,1365.75,1371.5,1197,268,1368.975
2023-07-03 06:00:00+00:00,1371.5,1373.0,1371.5,1372.5,302,137,1371.975
2023-07-03 06:15:00+00:00,1372.75,1373.0,1371.5,1372.25,290,100,1372.4
2023-07-03 06:30:00+00:00,1372.25,1373.75,1370.75,1373.0,283,103,1372.7
2023-07-03 06:45:00+00:00,1372.75,1376.5,1372.5,1375.75,843,149,1374.7
2023-07-03 07:00:00+00:00,1376.0,1376.0,1372.75,1373.25,238,115,1374.075
2023-07-03 07:15:00+00:00,1373.25,1374.0,1372.0,1373.25,389,143,1372.725
2023-07-03 07:30:00+00:00,1373.25,1374.5,1371.25,1373.75,1134,330,1372.425
2023-07-03 07:45:00+00:00,1373.25,1379.25,1373.25,1378.5,1332,387,1376.85
2023-07-03 08:00:00+00:00,1378.5,1382.0,1378.0,1380.5,1078,295,1380.125
2023-07-03 08:15:00+00:00,1380.75,1381.0,1377.0,1377.25,1184,255,1379.275
2023-07-03 08:30:00+00:00,1377.5,1382.0,1377.25,1381.75,652,252,1379.4
2023-07-03 08:45:00+00:00,1381.75,1382.0,1378.5,1379.25,1133,288,1380.45
2023-07-03 09:00:00+00:00,1379.0,1379.25,1375.5,1376.0,1417,320,1377.075
2023-07-03 09:15:00+00:00,1376.25,1378.0,1376.0,1376.25,383,168,1376.8
2023-07-03 09:30:00+00:00,1376.5,1380.75,1375.75,1379.0,707,269,1378.225
2023-07-03 09:45:00+00:00,1379.0,1381.5,1379.0,1380.5,710,193,1380.375
2023-07-03 10:00:00+00:00,1380.5,1381.5,1379.25,1381.5,510,188,1380.35
2023-07-03 10:15:00+00:00,1381.75,1383.75,1380.25,1383.75,776,212,1382.125
2023-07-03 10:30:00+00:00,1383.75,1385.0,1380.75,1380.75,1334,410,1383.35
2023-07-03 10:45:00+00:00,1380.75,1385.0,1380.75,1383.5,795,284,1383.125
2023-07-03 11:00:00+00:00,1383.5,1387.0,1383.5,1384.75,1261,364,1385.3
2023-07-03 11:15:00+00:00,1384.75,1389.0,1384.5,1389.0,1166,312,1387.55
2023-07-03 11:30:00+00:00,1389.0,1391.25,1389.0,1391.25,1822,524,1390.175
