date,Open,High,Low,Close,Volume,Barcount,Average
2024-04-15 02:00:00+00:00,1185.25,1188.5,1185.0,1186.25,1593,443,1186.825
2024-04-15 02:15:00+00:00,1186.0,1188.25,1185.25,1187.25,414,162,1186.5
2024-04-15 02:30:00+00:00,1187.25,1187.75,1186.25,1187.25,33,23,1187.15
2024-04-15 02:45:00+00:00,1186.5,1186.75,1185.75,1186.5,101,50,1186.175
2024-04-15 03:00:00+00:00,1185.25,1186.5,1184.0,1184.0,314,146,1184.975
2024-04-15 03:15:00+00:00,1184.0,1185.25,1183.75,1185.0,213,92,1184.5
2024-04-15 03:30:00+00:00,1185.0,1187.0,1184.75,1185.0,185,71,1185.725
2024-04-15 03:45:00+00:00,1185.0,1185.75,1183.75,1185.25,181,59,1184.875
2024-04-15 04:00:00+00:00,1185.5,1185.5,1184.25,1184.25,66,25,1185.025
2024-04-15 04:15:00+00:00,1184.75,1184.75,1184.5,1184.75,7,7,1184.675
2024-04-15 04:30:00+00:00,1184.75,1186.25,1184.75,1185.5,31,20,1185.475
2024-04-15 04:45:00+00:00,1185.5,1187.0,1185.0,1186.5,77,44,1186.025
2024-04-15 05:00:00+00:00,1186.5,1187.5,1186.25,1187.0,45,32,1186.9
2024-04-15 05:15:00+00:00,1187.25,1187.5,1186.0,1186.5,31,28,1186.925
2024-04-15 05:30:00+00:00,1186.75,1186.75,1186.75,1186.75,3,3,1186.75
2024-04-15 05:45:00+00:00,1186.25,1186.25,1186.0,1186.0,7,5,1186.225
2024-04-15 06:00:00+00:00,1185.75,1185.75,1185.75,1185.75,1,1,1185.75
2024-04-15 06:15:00+00:00,1186.0,1186.0,1186.0,1186.0,3,3,1186.0
2024-04-15 06:30:00+00:00,1185.75,1185.75,1185.25,1185.5,4,4,1185.45
2024-04-15 06:45:00+00:00,1185.0,1185.75,1185.0,1185.75,30,14,1185.4
2024-04-15 07:00:00+00:00,1185.75,1185.75,1185.5,1185.5,5,5,1185.6
2024-04-15 07:15:00+00:00,1185.25,1185.25,1185.0,1185.25,34,20,1185.075
2024-04-15 07:30:00+00:00,1185.5,1186.0,1185.0,1185.0,52,38,1185.45
