Date,Open,High,Low,Close,Volume,Barcount,Average
2023-12-28 02:00:00+00:00,624.25,625.75,623.5,624.75,278,146,624.625
2023-12-28 02:15:00+00:00,624.75,625.5,624.75,625.25,19,9,624.925
2023-12-28 02:30:00+00:00,625.0,626.0,625.0,625.75,32,23,625.5
2023-12-28 02:45:00+00:00,625.75,626.0,625.75,626.0,24,17,625.95
2023-12-28 03:00:00+00:00,626.0,626.5,625.75,626.0,26,24,625.975
2023-12-28 03:15:00+00:00,625.75,625.75,625.5,625.5,16,13,625.6
2023-12-28 03:30:00+00:00,625.75,626.0,625.5,626.0,11,7,625.8
2023-12-28 03:45:00+00:00,625.75,626.25,625.75,626.25,23,12,626.025
2023-12-28 04:00:00+00:00,626.0,626.0,625.75,626.0,11,11,625.875
2023-12-28 04:15:00+00:00,626.0,626.5,626.0,626.25,41,14,626.275
2023-12-28 04:30:00+00:00,626.5,626.5,626.0,626.25,11,6,626.275
2023-12-28 04:45:00+00:00,626.25,626.25,626.25,626.25,5,3,626.25
2023-12-28 05:00:00+00:00,626.25,626.5,626.0,626.0,5,4,626.2
2023-12-28 05:15:00+00:00,626.0,626.0,626.0,626.0,9,8,626.0
2023-12-28 05:30:00+00:00,626.0,626.0,626.0,626.0,5,2,626.0
2023-12-28 05:45:00+00:00,626.0,626.5,626.0,626.5,16,15,626.375
2023-12-28 06:00:00+00:00,626.5,626.5,626.5,626.5,5,3,626.5
2023-12-28 06:15:00+00:00,626.75,626.75,626.75,626.75,1,1,626.75
2023-12-28 06:30:00+00:00,626.75,626.75,626.5,626.5,18,14,626.65
2023-12-28 06:45:00+00:00,626.75,626.75,626.5,626.5,15,9,626.625
2023-12-28 07:00:00+00:00,626.5,626.75,626.25,626.75,13,8,626.6
2023-12-28 07:15:00+00:00,626.75,626.75,626.5,626.5,13,7,626.55
2023-12-28 07:30:00+00:00,626.25,626.5,626.0,626.0,28,10,626.15
2023-12-28 07:45:00+00:00,626.25,626.5,626.0,626.25,19,14,626.3
2023-12-28 08:00:00+00:00,626.0,626.5,625.5,626.25,62,35,625.875
2023-12-28 08:15:00+00:00,626.0,626.25,625.5,625.5,26,19,625.875
2023-12-28 08:30:00+00:00,625.25,625.75,625.25,625.5,17,13,625.475
2023-12-28 08:45:00+00:00,625.25,625.75,625.25,625.75,31,18,625.375
2023-12-28 09:00:00+00:00,626.0,626.75,626.0,626.25,40,21,626.35
2023-12-28 09:15:00+00:00,626.25,626.25,624.25,624.25,128,65,625.0
2023-12-28 09:30:00+00:00,624.25,624.25,623.0,623.5,153,51,623.525
2023-12-28 09:45:00+00:00,623.5,623.75,623.0,623.25,45,21,623.425
2023-12-28 10:00:00+00:00,623.25,623.5,623.0,623.25,15,13,623.225
2023-12-28 10:15:00+00:00,623.25,623.25,621.75,623.25,238,72,622.425
2023-12-28 10:30:00+00:00,623.5,623.75,623.0,623.5,52,23,623.45
2023-12-28 10:45:00+00:00,623.5,623.5,622.0,623.5,125,63,622.825
2023-12-28 11:00:00+00:00,623.5,623.75,622.5,622.75,65,30,623.225
2023-12-28 11:15:00+00:00,622.75,623.25,622.25,622.75,32,19,622.675
2023-12-28 11:30:00+00:00,623.0,623.5,622.5,623.5,27,22,623.1
2023-12-28 11:45:00+00:00,623.0,623.75,623.0,623.75,27,17,623.45
2023-12-28 12:00:00+00:00,623.75,624.25,623.0,623.0,54,22,623.825
2023-12-28 12:15:00+00:00,623.25,623.75,623.0,623.75,27,18,623.3
2023-12-28 12:30:00+00:00,623.75,624.5,623.5,623.5,91,51,624.0
2023-12-28 12:45:00+00:00,623.75,623.75,623.25,623.25,17,13,623.625
2023-12-28 13:00:00+00:00,623.5,624.75,623.5,624.5,24,18,624.0
2023-12-28 13:15:00+00:00,624.5,625.5,624.5,625.25,98,56,625.0
2023-12-28 13:30:00+00:00,625.5,628.0,625.5,628.0,417,242,627.35
2023-12-28 13:45:00+00:00,628.0,629.5,627.5,629.5,298,118,628.825
2023-12-28 14:00:00+00:00,629.0,631.0,629.0,629.25,357,162,630.125
2023-12-28 14:15:00+00:00,629.25,630.25,629.0,629.25,215,78,629.55
2023-12-28 14:30:00+00:00,629.25,629.75,629.0,629.75,122,77,629.25
2023-12-28 15:30:00+00:00,630.0,633.25,629.5,632.0,3297,1221,631.025
2023-12-28 15:45:00+00:00,632.25,632.75,629.0,630.25,1807,534,631.25
2023-12-28 16:00:00+00:00,630.5,633.25,628.5,629.5,1588,524,631.4
2023-12-28 16:15:00+00:00,629.25,630.75,628.25,630.5,1151,408,629.725
2023-12-28 16:30:00+00:00,630.5,632.5,630.25,631.0,1231,403,631.5
2023-12-28 16:45:00+00:00,631.25,632.0,630.0,630.5,892,273,631.05
2023-12-28 17:00:00+00:00,630.5,631.25,630.0,630.75,763,228,630.625
2023-12-28 17:15:00+00:00,631.0,632.5,630.5,632.0,627,233,631.7
2023-12-28 17:30:00+00:00,632.0,636.25,631.75,634.25,2242,591,634.6
2023-12-28 17:45:00+00:00,634.5,635.75,632.5,632.5,1489,358,634.475
2023-12-28 18:00:00+00:00,632.5,633.25,631.5,632.0,624,202,632.4
2023-12-28 18:15:00+00:00,632.0,632.75,630.5,631.0,721,228,631.55
2023-12-28 18:30:00+00:00,631.0,632.25,630.5,631.75,832,234,631.525
2023-12-28 18:45:00+00:00,632.0,632.25,631.25,631.75,503,152,631.85
2023-12-28 19:00:00+00:00,632.0,632.25,631.0,631.25,457,159,631.475
2023-12-28 19:15:00+00:00,631.0,631.25,630.5,630.75,330,129,630.925
2023-12-28 19:30:00+00:00,630.75,630.75,630.0,630.0,583,183,630.325
2023-12-28 19:45:00+00:00,630.0,631.75,630.0,630.75,758,239,631.05
2023-12-28 20:00:00+00:00,631.0,632.5,630.25,631.5,2343,701,631.525
2023-12-28 20:15:00+00:00,631.75,632.25,631.25,632.25,466,109,631.9
2023-12-29 02:00:00+00:00,631.0,632.5,630.5,630.75,257,120,631.5
2023-12-29 02:15:00+00:00,630.75,631.25,630.5,630.5,71,32,630.9
2023-12-29 02:30:00+00:00,630.75,631.5,630.25,631.5,21,14,630.85
2023-12-29 02:45:00+00:00,631.25,631.25,631.0,631.0,7,7,631.225
2023-12-29 03:00:00+00:00,631.5,631.5,631.5,631.5,3,3,631.5
2023-12-29 03:15:00+00:00,631.5,631.75,631.5,631.75,5,3,631.7
2023-12-29 03:30:00+00:00,631.75,632.0,630.5,631.25,65,22,631.025
2023-12-29 03:45:00+00:00,631.5,631.75,631.5,631.75,6,6,631.575
2023-12-29 04:00:00+00:00,632.0,632.0,631.75,632.0,11,9,631.975
2023-12-29 04:15:00+00:00,631.75,632.5,631.75,632.25,11,11,632.2
2023-12-29 04:30:00+00:00,632.5,632.5,632.0,632.0,9,6,632.25
2023-12-29 04:45:00+00:00,632.0,632.25,632.0,632.25,5,5,632.2
2023-12-29 05:00:00+00:00,632.25,632.5,632.25,632.5,6,6,632.375
2023-12-29 05:15:00+00:00,632.25,632.25,632.25,632.25,1,1,632.25
2023-12-29 05:30:00+00:00,632.5,632.75,632.5,632.75,24,15,632.65
2023-12-29 05:45:00+00:00,632.25,632.5,632.25,632.5,8,5,632.275
2023-12-29 06:00:00+00:00,632.5,632.5,632.25,632.25,2,2,632.375
2023-12-29 06:15:00+00:00,632.5,632.5,632.0,632.0,8,7,632.2
2023-12-29 06:30:00+00:00,632.0,632.0,631.25,631.75,31,16,631.6
2023-12-29 06:45:00+00:00,631.5,631.5,631.5,631.5,5,5,631.5
2023-12-29 07:00:00+00:00,631.5,631.75,631.0,631.0,23,19,631.425
2023-12-29 07:15:00+00:00,630.75,631.0,630.5,631.0,24,19,630.675
2023-12-29 07:30:00+00:00,631.0,631.75,630.5,631.5,72,41,631.35
2023-12-29 07:45:00+00:00,631.5,631.5,631.0,631.0,19,13,631.4
2023-12-29 08:00:00+00:00,631.25,632.0,631.25,631.75,27,17,631.75
2023-12-29 08:15:00+00:00,631.5,631.75,631.0,631.0,13,9,631.3
2023-12-29 08:30:00+00:00,631.25,631.25,630.5,630.5,24,14,630.7
2023-12-29 08:45:00+00:00,630.5,630.5,630.25,630.5,25,23,630.425
2023-12-29 09:00:00+00:00,630.5,630.75,630.5,630.75,38,22,630.675
2023-12-29 09:15:00+00:00,631.0,631.0,629.5,629.5,94,29,630.125
2023-12-29 09:30:00+00:00,629.5,629.5,628.75,629.25,72,43,629.125
