date,open,high,low,close,volume,barCount,average
2023-08-30 02:00:00+00:00,602.75,602.75,599.75,601.0,823,361,601.175
2023-08-30 02:15:00+00:00,601.0,602.5,600.25,602.0,223,102,601.725
2023-08-30 02:30:00+00:00,602.25,602.5,601.25,601.25,179,42,602.025
2023-08-30 02:45:00+00:00,601.25,602.0,601.25,602.0,46,25,601.65
2023-08-30 03:00:00+00:00,602.0,602.25,601.5,601.5,52,27,601.9
2023-08-30 03:15:00+00:00,601.5,601.5,600.5,600.5,55,29,600.975
2023-08-30 03:30:00+00:00,600.5,600.5,600.25,600.5,74,36,600.425
2023-08-30 03:45:00+00:00,600.5,600.75,600.0,600.25,71,34,600.35
2023-08-30 04:00:00+00:00,600.25,600.25,599.75,600.0,109,46,600.0
2023-08-30 04:15:00+00:00,599.75,600.75,599.5,600.5,67,33,600.05
2023-08-30 04:30:00+00:00,600.25,600.5,599.75,600.5,79,34,600.125
2023-08-30 04:45:00+00:00,600.25,601.5,600.25,601.25,97,40,600.975
2023-08-30 05:00:00+00:00,601.0,602.0,601.0,601.5,73,36,601.425
2023-08-30 05:15:00+00:00,601.75,603.0,601.75,603.0,312,77,602.6
2023-08-30 05:30:00+00:00,603.0,604.5,603.0,604.5,293,141,603.825
2023-08-30 05:45:00+00:00,604.25,604.75,603.5,604.25,93,44,604.225
2023-08-30 06:00:00+00:00,604.25,604.75,604.0,604.25,31,18,604.325
2023-08-30 06:15:00+00:00,604.0,605.0,603.75,604.75,121,57,604.325
2023-08-30 06:30:00+00:00,605.0,605.0,603.5,604.25,216,89,604.075
2023-08-30 06:45:00+00:00,604.25,604.25,603.25,604.0,55,33,603.825
2023-08-30 07:00:00+00:00,604.0,604.0,603.5,604.0,32,20,603.85
2023-08-30 07:15:00+00:00,604.0,605.0,604.0,604.0,122,51,604.5
2023-08-30 07:30:00+00:00,604.0,604.0,602.5,603.25,124,63,603.075
2023-08-30 07:45:00+00:00,603.25,603.5,602.5,602.75,73,45,602.925
2023-08-30 08:00:00+00:00,602.5,604.25,602.5,604.0,354,139,603.55
2023-08-30 08:15:00+00:00,604.0,604.25,603.5,603.75,85,39,603.85
2023-08-30 08:30:00+00:00,603.75,604.0,603.25,603.5,46,30,603.575
2023-08-30 08:45:00+00:00,603.25,603.75,603.0,603.0,78,44,603.35
2023-08-30 09:00:00+00:00,603.0,603.25,602.75,602.75,36,28,602.95
2023-08-30 09:15:00+00:00,602.75,603.5,602.25,602.75,184,137,602.75
2023-08-30 09:30:00+00:00,602.75,604.5,602.75,603.75,235,83,603.475
2023-08-30 09:45:00+00:00,603.5,605.25,603.0,605.0,323,101,604.675
2023-08-30 10:00:00+00:00,605.25,605.25,603.5,603.75,99,56,604.4
2023-08-30 10:15:00+00:00,603.5,604.0,603.25,603.25,65,35,603.55
2023-08-30 10:30:00+00:00,603.0,604.5,602.75,604.25,120,57,603.525
2023-08-30 10:45:00+00:00,604.5,607.25,604.5,606.75,523,220,606.325
2023-08-30 11:00:00+00:00,606.75,606.75,605.0,605.0,157,86,605.625
2023-08-30 11:15:00+00:00,605.5,606.25,605.5,606.0,93,58,605.975
2023-08-30 11:30:00+00:00,606.0,606.5,604.5,604.75,164,76,605.325
2023-08-30 11:45:00+00:00,605.0,605.75,604.5,604.75,69,38,605.025
2023-08-30 12:00:00+00:00,604.75,605.0,604.25,604.75,97,47,604.625
2023-08-30 12:15:00+00:00,604.75,606.25,604.75,606.0,105,57,605.7
2023-08-30 12:30:00+00:00,605.75,606.25,605.25,605.25,73,49,605.725
2023-08-30 12:45:00+00:00,605.25,606.75,605.25,606.25,347,226,606.2
2023-08-30 13:00:00+00:00,606.0,607.75,606.0,606.75,454,175,606.6
2023-08-30 13:15:00+00:00,607.0,607.75,606.25,606.75,170,73,607.075
2023-08-30 13:30:00+00:00,606.5,607.5,606.0,606.75,187,89,606.75
2023-08-30 13:45:00+00:00,606.25,607.25,606.25,606.75,122,69,606.85
2023-08-30 14:00:00+00:00,607.0,607.25,606.0,606.75,307,134,606.625
2023-08-30 14:15:00+00:00,607.0,609.5,606.75,608.75,625,279,608.175
2023-08-30 14:30:00+00:00,608.5,609.25,607.0,607.5,445,155,608.225
2023-08-30 15:30:00+00:00,607.75,608.5,602.75,607.25,4800,1742,605.875
2023-08-30 15:45:00+00:00,607.0,609.25,602.5,603.5,2724,940,606.275
2023-08-30 16:00:00+00:00,603.5,605.0,602.25,604.0,2384,771,603.425
2023-08-30 16:15:00+00:00,603.75,604.0,602.0,602.25,1446,507,603.1
2023-08-30 16:30:00+00:00,602.5,604.5,600.75,600.75,1986,694,602.525
2023-08-30 16:45:00+00:00,600.75,604.5,599.5,604.25,1960,648,601.775
2023-08-30 17:00:00+00:00,604.25,606.75,604.25,606.5,1380,485,605.35
2023-08-30 17:15:00+00:00,606.25,607.75,604.75,606.0,2019,540,606.2
2023-08-30 17:30:00+00:00,606.0,608.75,605.5,606.5,1506,528,607.375
2023-08-30 17:45:00+00:00,606.5,610.5,606.5,609.5,1920,558,608.7
2023-08-30 18:00:00+00:00,609.75,610.5,608.0,608.5,1811,553,609.45
2023-08-30 18:15:00+00:00,608.25,610.75,607.25,609.5,979,422,609.0
2023-08-30 18:30:00+00:00,609.5,610.75,608.75,609.0,1017,350,609.825
2023-08-30 18:45:00+00:00,609.0,610.25,608.5,609.5,538,190,609.4
2023-08-30 19:00:00+00:00,609.75,609.75,607.0,608.25,878,301,607.95
2023-08-30 19:15:00+00:00,608.25,609.0,608.0,608.5,719,274,608.65
2023-08-30 19:30:00+00:00,608.25,608.75,607.5,608.0,603,208,608.1
2023-08-30 19:45:00+00:00,608.0,608.25,607.25,607.75,771,322,607.725
2023-08-30 20:00:00+00:00,607.5,608.25,606.5,607.0,2729,891,607.3
2023-08-30 20:15:00+00:00,607.0,607.5,605.0,606.0,1657,354,606.575
2023-08-31 02:00:00+00:00,605.0,606.5,603.0,606.25,720,270,604.45
2023-08-31 02:15:00+00:00,606.0,606.5,605.75,606.0,32,21,606.125
2023-08-31 02:30:00+00:00,606.0,606.25,604.75,605.5,61,34,605.375
2023-08-31 02:45:00+00:00,605.75,606.25,605.5,606.25,187,68,605.9
2023-08-31 03:00:00+00:00,605.75,605.75,605.0,605.75,101,59,605.3
2023-08-31 03:15:00+00:00,605.5,605.5,605.0,605.25,27,18,605.15
2023-08-31 03:30:00+00:00,605.25,605.75,604.75,605.0,106,54,605.25
2023-08-31 03:45:00+00:00,604.75,605.0,604.5,604.5,42,29,604.875
2023-08-31 04:00:00+00:00,604.5,604.75,604.0,604.25,129,51,604.15
2023-08-31 04:15:00+00:00,604.25,604.75,604.0,604.0,60,23,604.3
2023-08-31 04:30:00+00:00,604.0,604.75,604.0,604.25,49,24,604.275
2023-08-31 04:45:00+00:00,604.0,604.25,603.5,603.75,128,46,603.975
2023-08-31 05:00:00+00:00,603.5,603.5,603.0,603.25,74,27,603.225
2023-08-31 05:15:00+00:00,603.0,604.0,603.0,604.0,92,41,603.675
2023-08-31 05:30:00+00:00,604.0,604.5,604.0,604.25,54,21,604.425
2023-08-31 05:45:00+00:00,604.0,604.25,604.0,604.25,22,17,604.125
2023-08-31 06:00:00+00:00,604.25,604.5,603.75,604.0,20,11,603.975
2023-08-31 06:15:00+00:00,604.0,604.0,604.0,604.0,8,7,604.0
2023-08-31 06:30:00+00:00,603.75,604.5,603.75,604.25,33,20,604.2
2023-08-31 06:45:00+00:00,604.0,605.25,603.75,604.75,50,24,604.425
2023-08-31 07:00:00+00:00,605.0,605.0,604.75,604.75,4,4,604.95
2023-08-31 07:15:00+00:00,604.75,604.75,603.0,604.0,184,64,603.65
2023-08-31 07:30:00+00:00,604.0,604.75,603.75,604.0,45,22,604.2
2023-08-31 07:45:00+00:00,603.75,603.75,603.0,603.5,153,43,603.325
2023-08-31 08:00:00+00:00,603.75,604.0,603.5,603.75,53,32,603.85
2023-08-31 08:15:00+00:00,603.75,604.0,603.25,603.25,45,20,603.5
2023-08-31 08:30:00+00:00,603.25,603.25,601.5,601.75,223,110,602.525
2023-08-31 08:45:00+00:00,602.0,602.0,600.0,600.5,422,117,600.525
2023-08-31 09:00:00+00:00,600.25,601.25,600.0,601.0,101,47,600.55
2023-08-31 09:15:00+00:00,600.75,601.5,600.5,600.75,155,93,601.075
2023-08-31 09:30:00+00:00,600.75,602.75,600.5,602.25,177,70,601.725
2023-08-31 09:45:00+00:00,602.0,602.0,601.25,601.75,50,30,601.675
2023-08-31 10:00:00+00:00,601.5,601.5,600.75,601.25,175,93,600.95
2023-08-31 10:15:00+00:00,601.5,601.75,600.75,601.0,131,58,601.2
2023-08-31 10:30:00+00:00,601.0,601.25,600.5,601.0,180,68,600.8
2023-08-31 10:45:00+00:00,601.0,601.0,595.5,596.5,1715,503,597.825
2023-08-31 11:00:00+00:00,596.5,600.0,596.25,600.0,593,219,598.25
2023-08-31 11:15:00+00:00,600.0,600.25,598.75,599.5,259,98,599.5
2023-08-31 11:30:00+00:00,599.5,599.5,597.5,598.5,236,101,598.3
2023-08-31 11:45:00+00:00,598.5,598.5,597.0,597.0,258,95,597.65
2023-08-31 12:00:00+00:00,597.25,598.0,596.5,597.75,190,98,597.3
2023-08-31 12:15:00+00:00,597.75,599.25,597.25,599.0,163,60,598.525
2023-08-31 12:30:00+00:00,599.0,599.5,598.5,599.25,220,94,598.925
2023-08-31 12:45:00+00:00,599.25,599.75,598.5,599.0,90,47,599.15
2023-08-31 13:00:00+00:00,599.0,600.0,598.5,599.5,104,56,598.975
2023-08-31 13:15:00+00:00,599.5,600.25,598.75,599.0,225,107,599.375
2023-08-31 13:30:00+00:00,599.25,599.5,597.5,598.5,289,112,598.4
2023-08-31 13:45:00+00:00,598.5,599.5,598.25,599.25,294,98,598.8
2023-08-31 14:00:00+00:00,599.5,600.5,598.5,599.75,286,113,599.625
2023-08-31 14:15:00+00:00,599.75,600.75,599.5,600.0,444,137,600.075
2023-08-31 14:30:00+00:00,599.75,600.75,598.0,599.0,786,276,599.45
2023-08-31 15:30:00+00:00,598.5,598.75,593.5,595.0,4788,1497,596.125
2023-08-31 15:45:00+00:00,595.25,601.0,595.0,600.75,3437,1094,599.225
2023-08-31 16:00:00+00:00,600.5,602.5,600.0,600.75,1739,632,601.025
2023-08-31 16:15:00+00:00,600.75,606.0,598.25,605.0,2498,828,602.35
2023-08-31 16:30:00+00:00,605.0,608.0,604.0,606.25,2981,1091,606.325
2023-08-31 16:45:00+00:00,606.5,609.75,605.25,609.5,1714,697,607.5
2023-08-31 17:00:00+00:00,609.25,615.75,609.25,610.75,4352,1376,612.975
2023-08-31 17:15:00+00:00,610.5,610.5,607.75,609.5,1644,630,609.325
2023-08-31 17:30:00+00:00,609.25,610.25,607.25,607.75,1161,450,608.775
2023-08-31 17:45:00+00:00,607.75,610.5,607.5,610.0,860,355,609.1
2023-08-31 18:00:00+00:00,609.75,613.25,609.75,611.75,1654,650,611.9
2023-08-31 18:15:00+00:00,611.75,612.25,607.75,608.0,856,393,610.375
2023-08-31 18:30:00+00:00,607.75,608.0,606.25,607.25,893,348,607.075
2023-08-31 18:45:00+00:00,607.25,608.25,606.25,607.25,484,245,607.45
2023-08-31 19:00:00+00:00,607.25,608.0,605.25,605.75,648,223,606.725
2023-08-31 19:15:00+00:00,605.75,606.5,603.75,604.0,658,252,605.325
2023-08-31 19:30:00+00:00,604.25,605.25,603.5,603.75,574,272,604.55
2023-08-31 19:45:00+00:00,603.75,604.75,602.5,604.25,1283,475,603.625
2023-08-31 20:00:00+00:00,604.25,605.0,601.25,601.5,3616,1048,602.8
2023-08-31 20:15:00+00:00,601.5,602.25,600.75,601.25,755,228,601.6
2023-09-01 02:00:00+00:00,602.0,604.75,596.25,602.5,673,299,600.65
2023-09-01 02:15:00+00:00,602.25,603.25,600.5,600.5,79,36,602.125
2023-09-01 02:30:00+00:00,600.5,600.5,599.5,599.5,49,29,599.975
2023-09-01 02:45:00+00:00,599.75,600.0,599.5,599.75,36,25,599.75
2023-09-01 03:00:00+00:00,600.0,605.0,599.75,604.5,598,198,602.725
2023-09-01 03:15:00+00:00,604.25,604.75,603.75,604.75,76,44,604.3
2023-09-01 03:30:00+00:00,604.5,607.25,603.75,605.75,280,97,605.575
2023-09-01 03:45:00+00:00,606.0,606.5,605.75,606.5,65,39,606.2
2023-09-01 04:00:00+00:00,606.75,607.75,606.5,607.0,246,100,607.25
2023-09-01 04:15:00+00:00,607.0,607.0,604.25,604.75,266,141,605.5
2023-09-01 04:30:00+00:00,605.0,605.25,603.75,604.25,108,45,604.2
2023-09-01 04:45:00+00:00,604.0,604.5,604.0,604.25,37,23,604.25
2023-09-01 05:00:00+00:00,604.5,604.75,604.25,604.25,35,27,604.625
2023-09-01 05:15:00+00:00,604.25,604.25,603.75,604.0,11,7,603.95
2023-09-01 05:30:00+00:00,604.25,604.5,603.75,604.25,24,14,604.3
2023-09-01 05:45:00+00:00,604.75,605.0,604.0,605.0,34,12,604.725
2023-09-01 06:00:00+00:00,604.5,604.5,603.75,604.0,27,20,604.075
2023-09-01 06:15:00+00:00,604.0,604.25,604.0,604.25,12,8,604.125
2023-09-01 06:30:00+00:00,604.0,604.75,603.25,604.5,59,28,604.0
2023-09-01 06:45:00+00:00,604.5,604.75,604.25,604.25,7,7,604.5
2023-09-01 07:00:00+00:00,604.25,605.5,604.0,604.75,129,50,604.925
2023-09-01 07:15:00+00:00,604.5,604.5,604.25,604.25,15,9,604.475
2023-09-01 07:30:00+00:00,604.5,604.5,603.5,603.5,47,26,603.825
2023-09-01 07:45:00+00:00,603.25,603.5,602.75,603.5,61,33,603.075
2023-09-01 08:00:00+00:00,603.0,604.25,603.0,604.0,71,36,603.9
2023-09-01 08:15:00+00:00,604.0,604.75,602.75,603.25,106,46,604.1
