date,Open,High,Low,Close,Volume,Barcount,Average
2024-01-29 02:00:00+00:00,610.75,611.25,606.75,607.25,674,286,609.01571618
2024-01-29 02:15:00+00:00,607.25,607.5,605.75,607.25,166,72,606.60291777
2024-01-29 02:30:00+00:00,607.5,608.25,606.75,606.75,94,45,607.39025199
2024-01-29 02:45:00+00:00,607.0,607.5,607.0,607.25,166,99,607.2632626
2024-01-29 03:00:00+00:00,607.25,607.5,606.75,607.25,56,26,607.23786472
2024-01-29 03:15:00+00:00,607.5,607.5,607.5,607.5,9,5,607.51724138
2024-01-29 03:30:00+00:00,607.5,607.5,606.75,606.75,20,9,607.08547745
2024-01-29 03:45:00+00:00,606.75,607.0,606.5,606.5,21,9,606.57751989
2024-01-29 04:00:00+00:00,606.5,606.75,605.75,606.0,20,13,606.2219496
2024-01-29 04:15:00+00:00,606.25,606.25,606.0,606.25,9,6,606.2219496
2024-01-29 04:30:00+00:00,606.25,606.5,605.25,605.75,22,11,605.71399204
2024-01-29 04:45:00+00:00,605.75,605.75,605.5,605.75,12,4,605.68859416
2024-01-29 05:00:00+00:00,606.0,606.0,605.75,605.75,35,20,605.91717507
2024-01-29 05:15:00+00:00,606.0,606.0,605.75,606.0,11,7,605.94257294
2024-01-29 05:30:00+00:00,606.0,606.25,606.0,606.25,26,15,606.19655172
2024-01-29 05:45:00+00:00,606.25,606.25,605.75,606.0,12,6,605.9933687
2024-01-29 06:00:00+00:00,605.75,606.0,605.75,606.0,9,8,605.84098143
2024-01-29 06:15:00+00:00,606.0,606.0,605.75,606.0,29,13,605.96797082
2024-01-29 06:30:00+00:00,606.0,607.0,606.0,606.5,63,22,606.75530504
2024-01-29 06:45:00+00:00,606.5,606.75,606.25,606.5,24,15,606.57751989
2024-01-29 07:00:00+00:00,606.75,606.75,606.25,606.75,39,17,606.52672414
2024-01-29 07:15:00+00:00,606.5,607.0,606.5,606.5,60,18,606.65371353
2024-01-29 07:30:00+00:00,606.75,606.75,606.0,606.0,14,10,606.14575597
2024-01-29 07:45:00+00:00,606.0,606.25,605.5,606.25,36,18,606.01876658
2024-01-29 08:00:00+00:00,606.0,606.5,606.0,606.25,37,19,606.24734748
2024-01-29 08:15:00+00:00,606.25,606.25,606.25,606.25,3,3,606.24734748
2024-01-29 08:30:00+00:00,606.25,606.75,606.25,606.5,30,17,606.62831565
2024-01-29 08:45:00+00:00,606.25,606.75,606.25,606.25,41,17,606.37433687
2024-01-29 09:00:00+00:00,606.0,606.0,603.25,603.75,459,105,604.46949602
2024-01-29 09:15:00+00:00,604.0,605.25,603.75,605.0,272,79,604.57108753
2024-01-29 09:30:00+00:00,604.75,604.75,603.5,603.5,128,45,603.70755968
2024-01-29 09:45:00+00:00,603.25,603.25,602.25,603.0,90,34,602.64084881
2024-01-29 10:00:00+00:00,603.0,603.0,599.75,599.75,391,98,600.76140584
2024-01-29 10:15:00+00:00,599.75,601.25,599.5,601.0,165,55,600.30424403
2024-01-29 10:30:00+00:00,601.0,601.75,600.5,601.0,103,41,601.19316976
2024-01-29 10:45:00+00:00,601.0,601.5,599.25,600.0,220,97,599.9994695
2024-01-29 11:00:00+00:00,600.0,601.25,599.75,601.25,73,25,600.4566313
2024-01-29 11:15:00+00:00,601.25,601.75,601.25,601.75,35,29,601.4979443
2024-01-29 11:30:00+00:00,602.0,602.5,601.25,601.5,174,56,601.9551061
2024-01-29 11:45:00+00:00,601.25,601.25,601.0,601.25,29,20,601.09157825
2024-01-29 12:00:00+00:00,601.25,602.0,600.75,601.5,146,68,601.14237401
2024-01-29 12:15:00+00:00,601.5,601.75,600.0,600.0,105,36,600.55822281
2024-01-29 12:30:00+00:00,600.25,600.5,599.75,600.0,68,37,599.9994695
2024-01-29 12:45:00+00:00,599.75,599.75,599.25,599.5,80,30,599.38992042
2024-01-29 13:00:00+00:00,599.5,600.25,599.0,599.75,206,75,599.4153183
2024-01-29 13:15:00+00:00,600.0,600.25,599.75,600.0,41,16,599.82168435
2024-01-29 13:30:00+00:00,600.0,601.5,600.0,601.0,483,187,600.83759947
2024-01-29 13:45:00+00:00,601.0,602.5,600.75,601.5,169,83,601.65033156
2024-01-29 14:00:00+00:00,601.5,603.25,601.25,602.5,232,113,602.43766578
2024-01-29 14:15:00+00:00,602.25,602.5,601.5,602.0,89,50,601.7265252
2024-01-29 14:30:00+00:00,601.75,602.25,601.5,601.75,97,58,601.80271883
2024-01-29 15:30:00+00:00,600.25,604.5,599.75,600.25,4035,1567,601.7265252
2024-01-29 15:45:00+00:00,600.25,601.5,596.75,600.5,2858,821,599.31372679
2024-01-29 16:00:00+00:00,600.5,602.0,599.25,599.75,1430,472,600.83759947
2024-01-29 16:15:00+00:00,600.0,602.5,599.0,600.75,1143,397,600.73600796
2024-01-29 16:30:00+00:00,600.75,602.75,600.25,602.75,734,254,601.39635279
2024-01-29 16:45:00+00:00,603.0,603.5,601.5,602.5,1021,296,602.48846154
2024-01-29 17:00:00+00:00,602.25,604.0,601.5,601.5,896,315,602.86942971
2024-01-29 17:15:00+00:00,601.75,602.25,600.0,600.25,741,252,601.29476127
2024-01-29 17:30:00+00:00,600.25,600.75,599.25,599.75,1019,259,599.69469496
2024-01-29 17:45:00+00:00,599.75,600.0,598.0,598.75,692,198,599.00895225
2024-01-29 18:00:00+00:00,599.0,599.5,597.5,598.25,831,283,598.62798408
2024-01-29 18:15:00+00:00,598.75,599.5,598.0,598.25,858,294,598.80576923
2024-01-29 18:30:00+00:00,598.25,599.0,597.75,598.0,587,199,598.50099469
2024-01-29 18:45:00+00:00,598.25,599.25,597.75,599.0,628,200,598.65338196
2024-01-29 19:00:00+00:00,598.75,601.0,598.0,601.0,903,269,599.56770557
2024-01-29 19:15:00+00:00,600.75,601.75,599.75,601.75,766,207,600.58362069
2024-01-29 19:30:00+00:00,602.0,603.75,601.75,603.75,753,202,602.64084881
2024-01-29 19:45:00+00:00,603.5,604.0,603.0,603.25,700,244,603.37738727
2024-01-29 20:00:00+00:00,603.0,604.0,602.75,603.0,2312,706,603.17420424
2024-01-29 20:15:00+00:00,603.0,604.5,603.0,604.0,961,226,603.70755968
2024-01-30 02:00:00+00:00,603.0,605.5,602.75,604.75,430,191,604.08852785
2024-01-30 02:15:00+00:00,604.75,604.75,604.25,604.25,17,15,604.44409814
2024-01-30 02:30:00+00:00,604.0,604.5,603.25,603.25,86,46,603.47897878
2024-01-30 02:45:00+00:00,603.25,603.25,601.75,601.75,386,60,602.86942971
2024-01-30 03:00:00+00:00,601.75,601.75,601.5,601.5,104,49,601.59953581
2024-01-30 03:15:00+00:00,601.25,601.5,601.25,601.25,15,13,601.32015915
2024-01-30 03:30:00+00:00,601.25,601.5,601.25,601.5,18,8,601.19316976
2024-01-30 03:45:00+00:00,601.0,601.25,601.0,601.0,8,5,600.98998674
2024-01-30 04:00:00+00:00,601.0,601.25,601.0,601.25,9,8,600.93919098
2024-01-30 04:15:00+00:00,601.25,601.5,601.25,601.25,16,13,601.37095491
2024-01-30 04:30:00+00:00,601.5,601.75,600.75,601.0,75,40,601.42175066
2024-01-30 04:45:00+00:00,601.25,601.25,601.25,601.25,6,6,601.16777188
2024-01-30 05:00:00+00:00,601.25,601.25,601.0,601.0,13,7,601.01538462
2024-01-30 05:15:00+00:00,601.0,601.0,600.5,600.5,25,16,600.71061008
2024-01-30 05:30:00+00:00,600.5,600.75,600.5,600.75,26,12,600.43123342
2024-01-30 05:45:00+00:00,601.0,601.0,600.75,600.75,6,6,600.71061008
2024-01-30 06:00:00+00:00,600.75,600.75,600.5,600.5,18,12,600.55822281
2024-01-30 06:15:00+00:00,600.75,601.25,600.75,600.75,52,14,600.88839523
2024-01-30 06:30:00+00:00,600.75,601.0,600.25,600.25,39,27,600.55822281
2024-01-30 06:45:00+00:00,600.5,601.25,600.5,601.0,29,17,600.76140584
2024-01-30 07:00:00+00:00,600.75,601.25,600.75,601.25,19,9,600.83759947
2024-01-30 07:15:00+00:00,601.25,601.25,600.75,600.75,19,8,600.96458886
2024-01-30 07:30:00+00:00,600.5,601.0,600.0,600.25,106,26,600.32964191
2024-01-30 07:45:00+00:00,600.25,600.25,599.75,599.75,70,23,599.84708223
2024-01-30 08:00:00+00:00,600.25,600.75,600.0,600.0,45,22,600.30424403
2024-01-30 08:15:00+00:00,600.25,601.0,600.0,600.25,51,30,600.4566313
2024-01-30 08:30:00+00:00,600.25,601.0,600.25,601.0,55,18,600.63441645
2024-01-30 08:45:00+00:00,600.75,601.5,600.75,601.0,53,28,601.09157825
2024-01-30 09:00:00+00:00,601.25,602.75,601.25,601.75,268,98,602.03129973
2024-01-30 09:15:00+00:00,601.5,602.5,601.0,602.25,145,47,601.70112732
2024-01-30 09:30:00+00:00,602.0,602.75,601.75,602.75,101,53,602.36147215
2024-01-30 09:45:00+00:00,602.5,602.75,602.0,602.25,90,63,602.23448276
2024-01-30 10:00:00+00:00,602.25,602.25,602.0,602.0,28,11,602.05669761
2024-01-30 10:15:00+00:00,602.25,602.25,602.0,602.25,41,14,602.00590186
2024-01-30 10:30:00+00:00,602.0,602.0,601.0,601.5,48,19,601.21856764
2024-01-30 10:45:00+00:00,601.5,601.75,601.0,601.25,87,50,601.37095491
2024-01-30 11:00:00+00:00,601.25,601.5,600.75,601.25,56,32,601.06618037
2024-01-30 11:15:00+00:00,601.25,602.25,601.25,601.75,146,62,601.70112732
