Date,Open,High,Low,Close,Volume,Barcount,Average
2024-04-15 02:00:00+00:00,446.0,446.75,445.75,446.25,1137,178,446.375
2024-04-15 02:15:00+00:00,446.0,446.75,445.75,446.5,135,22,446.275
2024-04-15 02:30:00+00:00,446.5,447.0,446.5,446.75,95,11,446.7
2024-04-15 02:45:00+00:00,447.0,447.0,446.75,446.75,9,6,446.775
2024-04-15 03:00:00+00:00,446.5,446.75,446.25,446.25,52,18,446.575
2024-04-15 03:15:00+00:00,446.25,446.5,446.25,446.25,25,10,446.275
2024-04-15 03:30:00+00:00,446.5,446.5,446.25,446.5,46,7,446.475
2024-04-15 03:45:00+00:00,446.0,446.75,446.0,446.5,45,9,446.475
2024-04-15 04:00:00+00:00,446.5,446.75,446.25,446.25,25,12,446.6
2024-04-15 04:15:00+00:00,446.5,446.5,446.25,446.25,16,9,446.475
2024-04-15 04:30:00+00:00,446.25,446.25,446.25,446.25,4,3,446.25
2024-04-15 04:45:00+00:00,446.25,446.5,446.25,446.5,22,6,446.5
2024-04-15 05:00:00+00:00,446.75,446.75,446.5,446.5,14,6,446.7
2024-04-15 05:15:00+00:00,446.5,446.75,446.5,446.5,5,4,446.55
2024-04-15 05:30:00+00:00,446.5,446.75,446.5,446.75,63,7,446.725
2024-04-15 05:45:00+00:00,446.5,446.5,446.5,446.5,2,2,446.5
2024-04-15 06:00:00+00:00,446.5,446.75,446.5,446.75,5,4,446.55
2024-04-15 06:15:00+00:00,446.5,446.5,446.25,446.25,29,7,446.4
2024-04-15 06:30:00+00:00,446.25,446.25,446.25,446.25,26,1,446.25
2024-04-15 06:45:00+00:00,446.25,446.25,446.25,446.25,34,7,446.25
2024-04-15 07:00:00+00:00,446.0,446.0,446.0,446.0,8,3,446.0
2024-04-15 07:15:00+00:00,446.0,446.0,446.0,446.0,36,7,446.0
2024-04-15 07:30:00+00:00,446.0,446.0,446.0,446.0,13,6,446.0
2024-04-15 07:45:00+00:00,446.0,446.0,446.0,446.0,10,5,446.0
2024-04-15 08:00:00+00:00,446.0,446.0,445.75,445.75,32,12,445.975
2024-04-15 08:15:00+00:00,446.0,446.0,445.25,445.75,132,32,445.7
2024-04-15 08:30:00+00:00,445.75,445.75,445.0,445.0,252,18,445.425
2024-04-15 08:45:00+00:00,445.0,445.25,445.0,445.0,14,7,445.025
2024-04-15 09:00:00+00:00,445.0,445.0,444.75,444.75,323,68,444.825
2024-04-15 09:15:00+00:00,444.75,445.0,444.75,445.0,54,23,444.975
2024-04-15 09:30:00+00:00,444.75,445.25,444.75,445.0,42,17,444.875
2024-04-15 09:45:00+00:00,445.0,445.0,444.75,445.0,133,24,444.85
2024-04-15 10:00:00+00:00,444.75,445.0,444.75,445.0,160,18,444.95
2024-04-15 10:15:00+00:00,445.0,445.25,444.75,445.0,32,14,444.925
2024-04-15 10:30:00+00:00,445.0,445.25,445.0,445.0,8,6,445.025
2024-04-15 10:45:00+00:00,445.0,445.25,445.0,445.0,158,37,445.025
2024-04-15 11:00:00+00:00,444.75,445.0,444.5,444.75,183,48,444.75
2024-04-15 11:15:00+00:00,444.5,444.75,444.5,444.5,84,14,444.575
2024-04-15 11:30:00+00:00,444.75,444.75,444.75,444.75,17,9,444.75
2024-04-15 11:45:00+00:00,444.75,445.0,444.5,444.75,213,60,444.775
2024-04-15 12:00:00+00:00,444.75,445.0,444.75,445.0,53,18,444.975
2024-04-15 12:15:00+00:00,445.25,445.5,445.0,445.5,85,29,445.3
2024-04-15 12:30:00+00:00,445.25,445.75,445.0,445.5,35,16,445.5
2024-04-15 12:45:00+00:00,445.25,445.5,445.25,445.25,15,10,445.325
2024-04-15 13:00:00+00:00,445.5,446.0,445.5,445.75,24,10,445.625
2024-04-15 13:15:00+00:00,445.75,445.75,445.5,445.5,18,8,445.575
2024-04-15 13:30:00+00:00,445.25,445.25,445.0,445.25,43,26,445.025
2024-04-15 13:45:00+00:00,445.0,445.25,444.75,444.75,49,14,444.975
2024-04-15 14:00:00+00:00,444.75,445.25,444.25,444.5,196,51,444.725
2024-04-15 14:15:00+00:00,444.75,445.25,444.25,445.0,232,72,444.675
2024-04-15 14:30:00+00:00,445.0,445.25,444.25,444.75,147,50,444.775
2024-04-15 15:30:00+00:00,445.0,445.25,443.25,443.5,4010,859,444.125
2024-04-15 15:45:00+00:00,443.5,444.5,442.5,443.25,2117,486,443.225
2024-04-15 16:00:00+00:00,443.0,443.25,442.25,442.5,1245,327,442.725
2024-04-15 16:15:00+00:00,442.5,443.25,442.25,442.75,1294,233,442.775
2024-04-15 16:30:00+00:00,442.5,443.25,442.25,442.75,1144,302,442.8
2024-04-15 16:45:00+00:00,443.0,444.5,442.25,442.25,2926,438,443.25
2024-04-15 17:00:00+00:00,442.25,443.75,442.25,443.25,1147,246,443.0
2024-04-15 17:15:00+00:00,443.25,443.75,442.5,443.0,1185,224,442.85
2024-04-15 17:30:00+00:00,442.75,443.75,442.75,443.0,632,176,443.15
2024-04-15 17:45:00+00:00,443.25,443.75,443.0,443.25,586,141,443.325
2024-04-15 18:00:00+00:00,443.25,444.0,443.0,443.25,940,239,443.525
2024-04-15 18:15:00+00:00,443.25,444.0,443.25,443.25,643,175,443.65
2024-04-15 18:30:00+00:00,443.25,444.25,443.25,444.0,586,147,443.825
2024-04-15 18:45:00+00:00,444.0,444.5,443.5,444.0,697,137,443.95
2024-04-15 19:00:00+00:00,444.25,444.75,444.0,444.5,492,107,444.475
2024-04-15 19:15:00+00:00,444.25,444.5,443.75,443.75,830,174,444.1
2024-04-15 19:30:00+00:00,443.75,444.25,443.5,444.0,662,154,443.875
2024-04-15 19:45:00+00:00,444.0,444.75,443.75,444.75,949,173,444.425
2024-04-15 20:00:00+00:00,444.5,444.75,443.75,444.0,5308,850,444.225
2024-04-15 20:15:00+00:00,444.25,444.25,443.75,443.75,814,96,443.9
